Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Green Bay Packers (GB),7,2,1,1,0,0,0,1,23,23,84.7%,2018,4
2,Chicago Bears (CHI),4,3,0,1,0,0,0,1,14,14,3.2%,2018,4
3,Houston Texans (HOU),4,0,2,2,1,0,0,1,13,13,0.8%,2018,4
4,Las Vegas Raiders (LV),2,2,2,2,1,0,0,1,12,12,3.2%,2018,4
5,New England Patriots (NE),2,1,1,0,0,0,0,1,10,10,46.5%,2018,4
6,Jacksonville Jaguars (JAC),3,0,0,0,0,1,0,1,9,9,1.3%,2018,4
7,New Orleans Saints (NO),3,0,2,2,0,0,0,1,8,8,94.3%,2018,4
8,Indianapolis Colts (IND),7,1,0,0,0,0,0,1,8,8,89.9%,2018,4
9,San Francisco 49ers (SF),1,1,0,1,1,0,0,1,8,8,95.5%,2018,4
10,New York Jets (NYJ),2,1,2,2,0,0,0,1,7,7,1.6%,2018,4
11,Tennessee Titans (TEN),4,0,1,3,0,0,0,1,6,6,15.8%,2018,4
12,Buffalo Bills (BUF),2,1,1,3,0,0,0,1,6,6,99.0%,2018,4
13,Kansas City Chiefs (KC),4,1,0,0,0,0,0,1,6,6,28.4%,2018,4
14,Baltimore Ravens (BAL),1,1,1,1,0,0,0,1,6,6,84.6%,2018,4
15,Philadelphia Eagles (PHI),3,1,0,0,0,0,0,1,5,5,29.7%,2018,4
16,Los Angeles Rams (LAR),4,0,1,1,0,0,0,1,5,5,67.3%,2018,4
17,Los Angeles Chargers (LAC),1,2,0,0,0,0,0,1,5,5,58.2%,2018,4
18,Seattle Seahawks (SEA),1,0,1,1,0,0,0,1,4,4,1.5%,2018,4
19,Pittsburgh Steelers (PIT),2,0,1,1,0,0,0,1,4,4,43.7%,2018,4
20,Detroit Lions (DET),3,0,0,2,0,0,0,1,3,3,1.5%,2018,4
21,Dallas Cowboys (DAL),3,0,0,0,0,0,0,1,3,3,75.5%,2018,4
22,Cleveland Browns (CLE),3,2,0,0,0,0,0,1,3,3,33.7%,2018,4
23,Arizona Cardinals (ARI),2,0,0,2,0,0,0,1,3,3,3.3%,2018,4
24,Atlanta Falcons (ATL),3,1,0,0,0,0,0,1,2,2,0.7%,2018,4
25,Denver Broncos (DEN),1,0,0,0,0,0,0,1,1,1,50.3%,2018,4
26,Miami Dolphins (MIA),0,2,0,0,0,0,0,1,0,0,23.4%,2018,4
27,New York Giants (NYG),1,0,0,0,0,0,0,1,0,0,1.7%,2018,4
28,Cincinnati Bengals (CIN),3,0,0,0,0,0,0,1,-1,-1,38.1%,2018,4
29,Minnesota Vikings (MIN),1,0,0,1,0,0,0,1,-3,-3,13.2%,2018,4
30,Tampa Bay Buccaneers (TB),1,0,0,0,0,0,0,1,-3,-3,95.2%,2018,4
