Round,Rank,Pos,Player,PosRank,Role,Score2022,Score2021,Score2020,Score2019,Score,ValueFactor,AdjValue
6,54,DST,New England Patriots (NE),DST1,DST1,12.36,8.561,5.54,14.32,10.826,5,54.132
6,58,DST,Dallas Cowboys (DAL),DST2,DST1,11.291,11.075,3.331,5.629,10.158,5,50.79
8,80,DST,Philadelphia Eagles (PHI),DST3,DST1,11.335,5.494,5.162,5.722,8.977,5,44.884
9,89,DST,San Francisco 49ers (SF),DST4,DST1,9.262,7.508,4.217,10.315,8.371,5,41.857
10,92,DST,Buffalo Bills (BUF),DST5,DST1,8.426,8.472,6.959,9.44,8.342,5,41.708
11,106,DST,New Orleans Saints (NO),DST6,DST1,7.137,8.998,7.597,9.652,7.774,5,38.869
13,126,DST,Baltimore Ravens (BAL),DST7,DST1,8.468,3.588,8.828,9.79,7.35,5,36.752
14,136,DST,Green Bay Packers (GB),DST8,DST1,7.784,5.938,5.431,6.287,7.012,5,35.062
15,144,DST,Kansas City Chiefs (KC),DST9,DST1,6.606,6.913,5.434,9.375,6.704,5,33.521
15,150,DST,Seattle Seahawks (SEA),DST10,DST1,7.159,5.089,6.918,7.708,6.645,5,33.224
NA,164,DST,Miami Dolphins (MIA),DST11,DST2,5.304,8.677,8.946,0.565,6.274,5,31.372
NA,165,DST,Indianapolis Colts (IND),DST12,DST2,4.784,8.309,9.378,7.454,6.258,5,31.289
NA,170,DST,Tampa Bay Buccaneers (TB),DST13,DST2,4.96,8.021,7.246,7.994,6.106,5,30.529
NA,172,DST,Los Angeles Rams (LAR),DST14,DST2,4.726,6.892,9.995,9.427,6.03,5,30.148
NA,173,DST,Arizona Cardinals (ARI),DST15,DST2,5.871,6.801,6.728,2.468,6.019,5,30.095
NA,184,DST,Jacksonville Jaguars (JAC),DST16,DST2,8.318,1.455,1.139,5.866,5.761,5,28.807
NA,191,DST,Denver Broncos (DEN),DST17,DST2,5.63,6.752,3.521,5.417,5.689,5,28.444
NA,193,DST,Carolina Panthers (CAR),DST18,DST2,6.578,4.106,4.795,4.211,5.663,5,28.317
NA,197,DST,Pittsburgh Steelers (PIT),DST19,DST2,4.571,5.52,8.662,11.868,5.582,5,27.91
NA,201,DST,Tennessee Titans (TEN),DST20,DST2,5.474,6.249,1.315,8.268,5.391,5,26.956
NA,203,DST,New York Giants (NYG),DST21,Depth,6.146,3.562,6.323,3.359,5.379,5,26.893
NA,204,DST,Minnesota Vikings (MIN),DST22,Depth,4.754,7.505,1.664,9.062,5.348,5,26.739
NA,209,DST,Washington Commanders (WAS),DST23,Depth,5.401,4.033,7.837,4.756,5.27,5,26.351
NA,211,DST,Cincinnati Bengals (CIN),DST24,Depth,6.05,5.817,0.468,2.216,5.242,5,26.209
NA,212,DST,Cleveland Browns (CLE),DST25,Depth,5.566,4.715,4.719,4.839,5.232,5,26.16
NA,213,DST,New York Jets (NYJ),DST26,Depth,6.92,1.505,2.486,8.615,5.207,5,26.037
NA,227,DST,Los Angeles Chargers (LAC),DST27,Depth,5.835,2.858,3.698,3.949,4.783,5,23.915
NA,232,DST,Houston Texans (HOU),DST28,Depth,5.903,3.543,0.361,4.488,4.688,5,23.44
NA,261,DST,Detroit Lions (DET),DST29,Depth,5.567,1.266,-0.624,3.254,3.757,5,18.784
NA,282,DST,Atlanta Falcons (ATL),DST30,Depth,4.27,1.58,2.037,4.067,3.364,5,16.819
NA,297,DST,Chicago Bears (CHI),DST31,Depth,1.082,4.858,4.803,6.115,2.65,5,13.249
NA,315,DST,Las Vegas Raiders (LV),DST32,Depth,2.355,2.139,-0.175,2.266,2.044,5,10.218
