Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
2,Adam Vinatieri (FA),3,4,75,55,0,0,0,1,2,0,1,1,14,14,0.2%,2019,8
4,Adam Vinatieri (FA),4,4,100,32,0,1,3,0,0,1,1,1,13,13,0.2%,2019,5
4,Adam Vinatieri (FA),2,2,100,49,0,1,0,1,0,3,3,1,10,10,0.2%,2019,3
12,Adam Vinatieri (FA),1,1,100,34,0,0,1,0,0,4,4,1,7,7,0.2%,2019,11
19,Adam Vinatieri (FA),1,2,50,26,0,1,0,0,0,3,3,1,6,6,0.2%,2019,4
20,Adam Vinatieri (FA),2,2,100,39,0,1,1,0,0,0,1,1,6,6,0.2%,2019,10
23,Adam Vinatieri (FA),1,3,33.3,44,0,0,0,1,0,1,2,1,5,5,0.2%,2019,1
21,Adam Vinatieri (FA),1,1,100,36,0,0,1,0,0,2,2,1,5,5,0.2%,2019,12
26,Adam Vinatieri (FA),1,4,25,28,0,1,0,0,0,2,2,1,5,5,0.2%,2019,13
23,Adam Vinatieri (FA),0,0,0,0,0,0,0,0,0,4,4,1,4,4,0.2%,2019,7
25,Adam Vinatieri (FA),1,2,50,25,0,1,0,0,0,1,2,1,4,4,0.2%,2019,9
31,Adam Vinatieri (FA),0,0,0,0,0,0,0,0,0,1,3,1,1,1,0.2%,2019,2
7,Aldrick Rosas (FA),4,4,100,29,0,4,0,0,0,0,1,1,12,12,0.0%,2019,9
16,Aldrick Rosas (FA),2,2,100,45,0,1,0,1,0,1,1,1,8,8,0.0%,2019,13
22,Aldrick Rosas (FA),1,1,100,36,0,0,1,0,0,3,3,1,6,6,0.0%,2019,3
16,Aldrick Rosas (FA),1,1,100,30,0,0,1,0,0,3,3,1,6,6,0.0%,2019,4
21,Aldrick Rosas (FA),1,1,100,28,0,1,0,0,0,2,2,1,5,5,0.0%,2019,1
27,Aldrick Rosas (FA),1,1,100,34,0,0,1,0,0,2,2,1,5,5,0.0%,2019,14
26,Aldrick Rosas (FA),0,1,0,0,0,0,0,0,0,5,5,1,5,5,0.0%,2019,16
26,Aldrick Rosas (FA),1,1,100,37,0,0,1,0,0,2,2,1,5,5,0.0%,2019,17
24,Aldrick Rosas (FA),1,1,100,32,0,0,1,0,0,1,1,1,4,4,0.0%,2019,5
26,Aldrick Rosas (FA),0,0,0,0,0,0,0,0,0,4,5,1,4,4,0.0%,2019,15
25,Aldrick Rosas (FA),0,1,0,0,0,0,0,0,0,3,3,1,3,3,0.0%,2019,7
29,Aldrick Rosas (FA),0,1,0,0,0,0,0,0,0,2,2,1,2,2,0.0%,2019,2
26,Aldrick Rosas (FA),0,0,0,0,0,0,0,0,0,2,2,1,2,2,0.0%,2019,6
28,Aldrick Rosas (FA),0,0,0,0,0,0,0,0,0,2,3,1,2,2,0.0%,2019,8
27,Aldrick Rosas (FA),0,2,0,0,0,0,0,0,0,2,2,1,2,2,0.0%,2019,12
26,Aldrick Rosas (FA),0,0,0,0,0,0,0,0,0,1,2,1,1,1,0.0%,2019,10
3,Austin Seibert (FA),3,3,100,48,0,1,0,2,0,2,2,1,13,13,0.2%,2019,2
5,Austin Seibert (FA),4,4,100,39,0,1,3,0,0,1,1,1,13,13,0.2%,2019,9
3,Austin Seibert (FA),2,3,66.7,40,0,1,0,1,0,5,5,1,12,12,0.2%,2019,12
9,Austin Seibert (FA),2,2,100,43,0,1,0,1,0,4,4,1,11,11,0.2%,2019,4
11,Austin Seibert (FA),2,2,100,53,0,0,1,0,1,3,3,1,11,11,0.2%,2019,14
