Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
1,Greg Zuerlein (NYJ),3,4,75,55,0,2,0,0,1,4,4,1,15,15,13.3%,2019,7
2,Brett Maher (DAL),3,3,100,63,0,2,0,0,1,4,4,1,15,15,79.4%,2019,7
3,Josh Lambo (FA),4,4,100,37,0,3,1,0,0,1,1,1,13,13,0.0%,2019,7
4,Stephen Hauschka (FA),3,3,100,45,0,0,1,2,0,2,2,1,13,13,0.0%,2019,7
5,Harrison Butker (KC),3,3,100,39,0,1,2,0,0,3,3,1,12,12,89.1%,2019,7
6,Ka'imi Fairbairn (HOU),3,3,100,47,0,1,1,1,0,2,2,1,12,12,1.9%,2019,7
7,Justin Tucker (BAL),3,3,100,28,0,3,0,0,0,3,3,1,12,12,98.9%,2019,7
8,Jason Myers (SEA),3,4,75,35,0,0,3,0,0,1,1,1,10,10,54.2%,2019,7
9,Chase McLaughlin (IND),2,2,100,50,0,1,0,0,1,2,2,1,10,10,7.7%,2019,7
10,Zane Gonzalez (CAR),2,2,100,47,0,0,1,1,0,3,3,1,10,10,0.1%,2019,7
11,Wil Lutz (NO),2,4,50,39,0,0,2,0,0,4,4,1,10,10,6.7%,2019,7
12,Robbie Gould (SF),3,4,75,29,0,3,0,0,0,0,0,1,9,9,43.1%,2019,7
13,Matt Prater (ARI),1,1,100,46,0,0,0,1,0,3,3,1,7,7,15.5%,2019,7
14,Daniel Carlson (LV),1,1,100,45,0,0,0,1,0,3,3,1,7,7,91.4%,2019,7
15,Mike Nugent (FA),1,1,100,34,0,0,1,0,0,4,4,1,7,7,1.0%,2019,7
16,Cody Parkey (FA),1,1,100,45,0,0,0,1,0,2,3,1,6,6,0.0%,2019,7
17,Dan Bailey (FA),0,1,0,0,0,0,0,0,0,6,6,1,6,6,0.0%,2019,7
18,Mason Crosby (GB),0,0,0,0,0,0,0,0,0,6,6,1,6,6,4.5%,2019,7
19,Eddy Pineiro (CAR),1,1,100,46,0,0,0,1,0,2,2,1,6,6,4.6%,2019,7
20,Matt Bryant (FA),1,2,50,52,0,0,0,0,1,1,1,1,6,6,1.1%,2019,7
21,Randy Bullock (TEN),1,1,100,38,0,0,1,0,0,2,2,1,5,5,1.5%,2019,7
22,Jake Elliott (PHI),1,1,100,38,0,0,1,0,0,1,1,1,4,4,27.6%,2019,7
23,Adam Vinatieri (FA),0,0,0,0,0,0,0,0,0,4,4,1,4,4,0.2%,2019,7
24,Jason Sanders (MIA),0,0,0,0,0,0,0,0,0,3,3,1,3,3,13.7%,2019,7
25,Aldrick Rosas (FA),0,1,0,0,0,0,0,0,0,3,3,1,3,3,0.0%,2019,7
26,Sam Ficken (DET),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,7
27,Kasey Redfern (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,7
28,Brandon McManus (DEN),0,1,0,0,0,0,0,0,0,0,0,1,0,0,34.8%,2019,7
29,Ty Long (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7%,2019,7
30,Dustin Hopkins (LAC),0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.6%,2019,7
