Pos,Player,Score2022,Score2021,Score2020,Score2019,Score
K,Justin Tucker (BAL),10.143882103672118,10.263235737716695,9.008866274996581,10.142114475436358,10.06013054790392
K,Daniel Carlson (LV),10.252998833321474,10.031999632286803,11.06522307074181,4.785613807100637,10.0056022054938
K,Matthew Wright (KC),12.569703410878025,4.16752994335458,4.0282330538745645,0,9.459674742980145
K,Cameron Dicker (LAC),9.026944640958307,0,0,0,9.026944640958307
K,Brett Maher (DAL),10.103241561606229,6.551922392679342,0,7.732619739092375,8.98511558532882
K,Robbie Gould (SF),8.598105155456834,9.077530836303012,5.821083163797458,9.372788191125817,8.478993528285889
K,Michael Badgley (DET),9.308331117006908,7.625853448303008,6.374446969059298,5.60616300617561,8.409214879494607
K,Jason Myers (SEA),10.0310726803364,4.37380758778784,8.55599620333323,6.721147865697858,8.303752518767016
K,Matt Prater (ARI),8.243436732680495,9.13527452035844,5.993373013245262,7.235624452493577,8.190999193647112
K,Tyler Bass (BUF),7.951245339504988,8.180263157971561,9.641999970048243,0,8.189536390139748
K,Nick Folk (NE),7.593956007450609,10.035539989202743,6.845562830001789,7.689345818480964,8.134282175695278
K,Chris Boswell (PIT),7.6593218755121555,9.570552048506507,6.83530211647883,6.984160667198582,8.020969382441733
K,Younghoe Koo (ATL),7.662584642812346,6.646377198242308,11.544647830047282,12.136489717274296,8.020434354116428
K,Eddy Pineiro (CAR),8.907740761100975,6.4476733683997765,0,5.1291685684310115,8.014623282715398
K,Harrison Butker (KC),7.065738553158475,9.388737065435638,8.212853197300817,11.604345113625936,7.988129973665373
K,Greg Zuerlein (NYJ),7.159627343895163,9.080928323091666,9.911466171678342,7.382603952481773,7.926285301901937
K,Riley Patterson (JAC),7.970008979163303,7.6351052428788195,0,0,7.871513790322036
K,Matt Gay (LAR),6.173378795756522,9.637248223134202,10.653454086828814,9.009098082491509,7.62913964604492
K,Graham Gano (NYG),8.418064627879541,5.502436065397081,7.643660827124905,0,7.569418032870943
K,Dustin Hopkins (LAC),7.171779476708183,8.76016538180367,7.978723495703736,5.109642236512495,7.546463492871825
K,Brandon McManus (DEN),7.417483648151417,7.066586130202861,7.881658255363494,8.104644712365218,7.410534782596176
K,Evan McPherson (CIN),5.999507883590355,9.983689149828406,0,0,7.171255593990965
K,Wil Lutz (NO),6.486672413524618,0,8.824412896313117,11.632226318812311,7.141501665363014
K,Jason Sanders (MIA),7.041799895861098,5.948325038456936,11.265264220714268,5.413823995674155,7.109378818986028
K,Ryan Succop (TB),6.879752786451963,7.835926362836144,9.158673002532042,1.0322707681397596,7.054314101240406
K,Greg Joseph (MIN),5.7977443816042085,9.641302054139732,0,-0.8992944070180809,6.49379905026604
K,Mason Crosby (GB),6.05938929666364,7.217213584094882,6.358557890156784,6.324536730089602,6.3920195995420634
K,Cade York (CLE),6.39110339406592,0,0,0,6.39110339406592
K,Zane Gonzalez (CAR),0,7.150221422217349,7.817105257836468,8.43787221488746,6.131876958768832
K,Ka'imi Fairbairn (HOU),7.20925472771996,2.1586213822970777,7.843164313007289,5.78198041815807,5.938623634414878
K,Jake Elliott (PHI),5.746625493492718,7.907042536523597,1.8759446647515574,5.995052951709175,5.912083044287145
K,Chase McLaughlin (IND),6.987457758985964,3.1074381189632714,1.8778927612461942,7.971878040711003,5.555717363292566
K,Joey Slye (WAS),4.265564777700405,7.409775827355077,7.6105821468406525,6.793398576260938,5.512510966956124
K,Rodrigo Blankenship (FA),3.392792396246574,8.082413293001276,9.74197494367807,0,5.2952005764272725
K,Austin Seibert (FA),5.626776952932028,5.137078120455831,2.2567427016964787,6.431717434701682,5.207595843777907
K,Cairo Santos (CHI),4.759373748138082,5.289991488409257,8.421107634451797,3.0304803881354183,5.171756903837114
K,Randy Bullock (TEN),2.331154311484241,7.325608379491022,7.899495938269554,6.128426293539624,4.326465590267237
K,Matt Ammendola (GB),2.018154871818734,2.6985439475774955,0,0,2.2182572989993856
K,Taylor Bertolet (LAC),1.6506199692065004,0,0,0,1.6506199692065004
K,Tristan Vizcaino (NE),-0.1866152876517545,2.0751490837455386,0,0,0.47856961397618936
K,Michael Palardy (NE),0,0,0,0,0
K,Quinn Nordin (NE),0,0,0,0,0
