Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season
29,Adam Vinatieri (FA),17,25,68,55,0,6,6,3,2,22,28,12,80,6.7,0.2%,2019
30,Aldrick Rosas (FA),12,17,70.6,45,0,6,5,1,0,35,39,16,72,4.5,0.0%,2019
33,Aldrick Rosas (FA),8,11,72.7,54,0,3,2,0,3,9,9,6,39,6.5,0.0%,2020
38,Aldrick Rosas (FA),2,5,40,44,0,0,0,2,0,14,14,5,22,4.4,0.0%,2021
49,Alex Kessman (FA),0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.0%,2021
16,Austin Seibert (FA),25,29,86.2,53,0,6,9,9,1,30,35,16,116,7.3,0.2%,2019
35,Austin Seibert (FA),10,12,83.3,52,0,0,4,5,1,5,5,6,42,7,0.2%,2021
37,Austin Seibert (FA),6,9,66.7,48,0,0,5,1,0,8,9,5,27,5.4,0.2%,2020
35,Austin Seibert (FA),3,5,60,48,0,0,1,2,0,12,12,3,23,7.7,0.2%,2022
11,Brandon McManus (DEN),28,34,82.4,58,0,6,4,8,10,24,27,15,136,9.1,34.8%,2020
9,Brandon McManus (DEN),29,34,85.3,53,0,6,8,11,4,25,26,16,131,8.2,34.8%,2019
17,Brandon McManus (DEN),26,31,83.9,61,0,7,6,8,5,33,34,17,129,7.6,34.8%,2021
14,Brandon McManus (DEN),27,35,77.1,55,0,6,3,10,8,21,23,16,128,8,34.8%,2022
45,Brandon Wright (FA),0,0,0,0,0,0,0,0,0,1,2,1,1,1,0.0%,2020
1,Brett Maher (DAL),29,32,90.6,60,0,9,5,6,9,50,52,16,161,10.1,79.4%,2022
22,Brett Maher (DAL),20,30,66.7,63,0,9,6,1,4,36,36,13,105,8.1,79.4%,2019
30,Brett Maher (DAL),16,18,88.9,42,0,4,8,4,0,10,12,8,62,7.8,79.4%,2021
34,Brian Johnson (FA),10,10,100,52,0,5,3,1,1,9,13,8,42,5.3,0.0%,2021
21,Cade York (CLE),24,32,75,58,0,5,9,6,4,33,35,16,119,7.4,8.3%,2022
9,Cairo Santos (CHI),30,32,93.8,55,0,9,10,9,2,36,37,16,139,8.7,12.0%,2020
20,Cairo Santos (CHI),26,30,86.7,47,0,10,5,11,0,27,28,17,116,6.8,12.0%,2021
26,Cairo Santos (CHI),21,23,91.3,51,0,4,7,6,4,26,31,15,103,6.9,12.0%,2022
