Round,Rank,Pos,Player,PosRank,Role,Score2022,Score2021,Score2020,Score2019,Score,ValueFactor,AdjValue
8,75,K,Justin Tucker (BAL),K1,K1,10.144,10.263,9.009,10.142,10.06,4.5,45.271
8,79,K,Daniel Carlson (LV),K2,K1,10.253,10.032,11.065,4.786,10.006,4.5,45.025
9,85,K,Matthew Wright (KC),K3,K1,12.57,4.168,4.028,0,9.46,4.5,42.569
10,96,K,Cameron Dicker (LAC),K4,K1,9.027,0,0,0,9.027,4.5,40.621
11,101,K,Brett Maher (DAL),K5,K1,10.103,6.552,0,7.733,8.985,4.5,40.433
12,113,K,Robbie Gould (SF),K6,K1,8.598,9.078,5.821,9.373,8.479,4.5,38.155
12,116,K,Michael Badgley (DET),K7,K1,9.308,7.626,6.374,5.606,8.409,4.5,37.841
12,120,K,Jason Myers (SEA),K8,K1,10.031,4.374,8.556,6.721,8.304,4.5,37.367
13,124,K,Matt Prater (ARI),K9,K1,8.243,9.135,5.993,7.236,8.191,4.5,36.859
13,125,K,Tyler Bass (BUF),K10,K1,7.951,8.18,9.642,0,8.19,4.5,36.853
13,128,K,Nick Folk (NE),K11,K2,7.594,10.036,6.846,7.689,8.134,4.5,36.604
13,129,K,Chris Boswell (PIT),K12,K2,7.659,9.571,6.835,6.984,8.021,4.5,36.094
13,130,K,Younghoe Koo (ATL),K13,K2,7.663,6.646,11.545,12.136,8.02,4.5,36.092
14,131,K,Eddy Pineiro (CAR),K14,K2,8.908,6.448,0,5.129,8.015,4.5,36.066
14,132,K,Harrison Butker (KC),K15,K2,7.066,9.389,8.213,11.604,7.988,4.5,35.947
14,133,K,Greg Zuerlein (NYJ),K16,K2,7.16,9.081,9.911,7.383,7.926,4.5,35.668
14,135,K,Riley Patterson (JAC),K17,K2,7.97,7.635,0,0,7.872,4.5,35.422
14,138,K,Matt Gay (LAR),K18,K2,6.173,9.637,10.653,9.009,7.629,4.5,34.331
14,140,K,Graham Gano (NYG),K19,K2,8.418,5.502,7.644,0,7.569,4.5,34.062
15,142,K,Dustin Hopkins (LAC),K20,K2,7.172,8.76,7.979,5.11,7.546,4.5,33.959
15,148,K,Brandon McManus (DEN),K21,Depth,7.417,7.067,7.882,8.105,7.411,4.5,33.347
NA,157,K,Evan McPherson (CIN),K22,Depth,6,9.984,0,0,7.171,4.5,32.271
NA,159,K,Wil Lutz (NO),K23,Depth,6.487,0,8.824,11.632,7.142,4.5,32.137
NA,160,K,Jason Sanders (MIA),K24,Depth,7.042,5.948,11.265,5.414,7.109,4.5,31.992
NA,161,K,Ryan Succop (TB),K25,Depth,6.88,7.836,9.159,1.032,7.054,4.5,31.744
NA,181,K,Greg Joseph (MIN),K26,Depth,5.798,9.641,0,-0.899,6.494,4.5,29.222
NA,185,K,Mason Crosby (GB),K27,Depth,6.059,7.217,6.359,6.325,6.392,4.5,28.764
NA,186,K,Cade York (CLE),K28,Depth,6.391,0,0,0,6.391,4.5,28.76
NA,199,K,Zane Gonzalez (CAR),K29,Depth,0,7.15,7.817,8.438,6.132,4.5,27.593
NA,205,K,Ka'imi Fairbairn (HOU),K30,Depth,7.209,2.159,7.843,5.782,5.939,4.5,26.724
NA,206,K,Jake Elliott (PHI),K31,Depth,5.747,7.907,1.876,5.995,5.912,4.5,26.604
NA,220,K,Chase McLaughlin (IND),K32,Depth,6.987,3.107,1.878,7.972,5.556,4.5,25.001
NA,223,K,Joey Slye (WAS),K33,Depth,4.266,7.41,7.611,6.793,5.513,4.5,24.806
NA,228,K,Rodrigo Blankenship (FA),K34,Depth,3.393,8.082,9.742,0,5.295,4.5,23.828
NA,233,K,Austin Seibert (FA),K35,Depth,5.627,5.137,2.257,6.432,5.208,4.5,23.434
NA,235,K,Cairo Santos (CHI),K36,Depth,4.759,5.29,8.421,3.03,5.172,4.5,23.273
NA,258,K,Randy Bullock (TEN),K37,Depth,2.331,7.326,7.899,6.128,4.326,4.5,19.469
NA,320,K,Matt Ammendola (GB),K38,Depth,2.018,2.699,0,0,2.218,4.5,9.982
NA,339,K,Taylor Bertolet (LAC),K39,Depth,1.651,0,0,0,1.651,4.5,7.428
NA,381,K,Tristan Vizcaino (NE),K40,Depth,-0.187,2.075,0,0,0.479,4.5,2.154
NA,403,K,Michael Palardy (NE),K41,Depth,0,0,0,0,0,4.5,0
NA,404,K,Quinn Nordin (NE),K42,Depth,0,0,0,0,0,4.5,0
