Rank,Player,CMP,PassATT,PCT,PassYDS,PassY/A,PassTD,INT,SACKS,RushATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Patrick Mahomes II (KC),30,39,76.9,360,9.2,5,0,0,3,5,0,0,1,34.9,34.9,100.0%,2022,1
2,Josh Allen (BUF),26,31,83.9,297,9.6,3,2,2,10,56,1,0,1,33.5,33.5,100.0%,2022,1
3,Carson Wentz (WAS),27,41,65.9,313,7.6,4,2,1,6,12,0,0,1,29.7,29.7,8.4%,2022,1
4,Jalen Hurts (PHI),18,32,56.3,243,7.6,0,0,1,17,90,1,0,1,24.7,24.7,98.9%,2022,1
5,Justin Herbert (LAC),26,34,76.5,279,8.2,3,0,0,4,1,0,0,1,23.3,23.3,98.4%,2022,1
6,Joe Burrow (CIN),33,53,62.3,338,6.4,2,4,7,6,47,0,1,1,22.2,22.2,99.7%,2022,1
7,Jameis Winston (NO),23,34,67.6,269,7.9,2,0,4,2,9,0,0,1,21.7,21.7,5.5%,2022,1
8,Lamar Jackson (BAL),17,30,56.7,213,7.1,3,1,2,6,17,0,0,1,21.2,21.2,92.4%,2022,1
9,Kyler Murray (ARI),22,34,64.7,193,5.7,2,0,2,5,29,0,0,1,20.6,20.6,53.7%,2022,1
10,Marcus Mariota (ATL),20,33,60.6,215,6.5,0,0,0,12,72,1,1,1,19.8,19.8,16.1%,2022,1
11,Ryan Tannehill (TEN),20,33,60.6,266,8.1,2,0,1,2,7,0,0,1,19.3,19.3,18.6%,2022,1
12,Kirk Cousins (MIN),23,32,71.9,277,8.7,2,0,1,0,0,0,0,1,19.1,19.1,92.3%,2022,1
13,Baker Mayfield (LAR),16,27,59.3,235,8.7,1,1,4,5,6,1,0,1,19,19,8.3%,2022,1
14,Russell Wilson (DEN),29,42,69,340,8.1,1,0,2,1,2,0,0,1,17.8,17.8,45.7%,2022,1
15,Geno Smith (SEA),23,28,82.1,195,7,2,0,2,6,14,0,0,1,17.2,17.2,86.2%,2022,1
16,Daniel Jones (NYG),17,21,81,188,9,2,1,5,6,25,0,1,1,17,17,64.1%,2022,1
17,Derek Carr (LV),22,37,59.5,295,8,2,3,5,0,0,0,0,1,16.8,16.8,54.7%,2022,1
18,Jared Goff (DET),21,37,56.8,215,5.8,2,1,1,2,9,0,0,1,16.5,16.5,77.6%,2022,1
19,Matt Ryan (IND),32,50,64,352,7,1,1,2,4,12,0,1,1,16.3,16.3,8.8%,2022,1
20,Davis Mills (HOU),23,37,62.2,240,6.5,2,0,3,2,-1,0,1,1,15.5,15.5,3.4%,2022,1
21,Joe Flacco (NYJ),37,59,62.7,309,5.2,1,1,3,1,0,0,0,1,15.4,15.4,0.9%,2022,1
22,Tua Tagovailoa (MIA),23,33,69.7,270,8.2,1,0,3,2,0,0,0,1,14.8,14.8,81.9%,2022,1
23,Justin Fields (CHI),8,17,47.1,121,7.1,2,1,2,11,28,0,0,1,14.6,14.6,92.2%,2022,1
24,Trevor Lawrence (JAC),24,42,57.1,275,6.5,1,1,2,2,4,0,0,1,14.4,14.4,85.9%,2022,1
25,Mitch Trubisky (PIT),21,38,55.3,194,5.1,1,0,1,3,9,0,0,1,12.7,12.7,0.8%,2022,1
26,Tom Brady (TB),18,27,66.7,212,7.9,1,1,2,2,-1,0,0,1,11.4,11.4,87.4%,2022,1
27,Trey Lance (SF),13,28,46.4,164,5.9,0,1,2,13,54,0,0,1,11,11,15.9%,2022,1
28,Jacoby Brissett (CLE),18,34,52.9,147,4.3,1,0,1,4,10,0,0,1,10.9,10.9,3.8%,2022,1
29,Matthew Stafford (LAR),29,41,70.7,240,5.9,1,3,7,1,2,0,0,1,10.8,10.8,28.1%,2022,1
30,Mac Jones (NE),21,30,70,213,7.1,1,1,2,2,0,0,1,1,9.5,9.5,14.5%,2022,1
31,Dak Prescott (DAL),14,29,48.3,134,4.6,0,1,2,2,11,0,0,1,5.5,5.5,93.5%,2022,1
32,Aaron Rodgers (GB),22,34,64.7,195,5.7,0,1,4,1,-1,0,1,1,4.7,4.7,83.7%,2022,1
33,Cooper Rush (DAL),7,13,53.8,64,4.9,0,0,2,0,0,0,0,1,2.6,2.6,0.5%,2022,1
34,Jordan Love (GB),4,5,80,65,13,0,0,0,0,0,0,0,1,2.6,2.6,0.9%,2022,1
35,Trace McSorley (ARI),2,4,50,12,3,0,0,1,3,20,0,0,1,2.5,2.5,0.8%,2022,1
36,Jeff Driskel (HOU),0,0,0,0,0,0,0,0,1,5,0,0,1,0.5,0.5,5.1%,2022,1
71,Matt Corral (CAR),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2022,1
89,Chad Henne (KC),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2022,1
107,Taysom Hill (NO),0,0,0,0,0,0,0,0,4,81,1,0,1,0,0,49.2%,2022,1
