Round,Rank,Pos,Player,PosRank,Role,Score2022,Score2021,Score2020,Score2019,Score,ValueFactor,AdjValue
3,23,QB,Patrick Mahomes II (KC),QB1,QB1,29.259,22.243,26.901,21.643,26.888,2.5,67.221
3,27,QB,Jalen Hurts (PHI),QB2,QB1,29.715,22.762,16.708,0,26.516,2.5,66.291
4,40,QB,Josh Allen (BUF),QB3,QB1,22.984,25.397,26.323,18.635,23.704,2.5,59.259
5,41,QB,Joe Burrow (CIN),QB4,QB1,25.291,20.566,16.731,0,23.146,2.5,57.866
5,42,QB,Kyler Murray (ARI),QB5,QB1,23.007,23.099,24.39,18.906,22.963,2.5,57.409
5,48,QB,Lamar Jackson (BAL),QB6,QB1,20.789,22.996,25.11,30.823,22.275,2.5,55.687
6,60,QB,Justin Herbert (LAC),QB7,QB1,17.16,23.718,23.718,0,19.576,2.5,48.94
7,61,QB,Geno Smith (SEA),QB8,QB1,19.532,0,0,0,19.532,2.5,48.831
7,62,QB,Dak Prescott (DAL),QB9,QB1,18.252,20.481,23.111,22.936,19.529,2.5,48.823
7,66,QB,Tom Brady (TB),QB10,QB1,17.15,23.047,21.897,16.901,19.087,2.5,47.717
7,70,QB,Kirk Cousins (MIN),QB11,QB2,17.592,20.366,20.529,16.211,18.51,2.5,46.276
8,78,QB,Aaron Rodgers (GB),QB12,QB2,14.937,22.087,27.337,16.057,18.02,2.5,45.051
9,90,QB,Russell Wilson (DEN),QB13,QB2,14.847,17.642,24.239,19.962,16.74,2.5,41.851
10,91,QB,Daniel Jones (NYG),QB14,QB2,18.666,13.692,12.197,17.147,16.699,2.5,41.749
10,99,QB,Tua Tagovailoa (MIA),QB15,QB2,17.211,14.832,13.58,0,16.203,2.5,40.507
10,100,QB,Jimmy Garoppolo (SF),QB16,QB2,17.798,15.911,7.957,14.664,16.185,2.5,40.464
11,102,QB,Justin Fields (CHI),QB17,QB2,18.877,8.846,0,0,15.927,2.5,39.817
11,104,QB,Jared Goff (DET),QB18,QB2,16.848,12.953,15.92,15.706,15.724,2.5,39.31
11,109,QB,Matthew Stafford (LAR),QB19,QB2,11.272,22.497,19.098,21.094,15.352,2.5,38.379
11,110,QB,Derek Carr (LV),QB20,QB2,15.097,15.213,16.814,15.527,15.319,2.5,38.298
12,112,QB,Gardner Minshew II (PHI),QB21,Depth,14.447,0,19.341,17.01,15.271,2.5,38.176
12,114,QB,Ryan Tannehill (TEN),QB22,Depth,12.506,17.377,22.891,22.092,15.242,2.5,38.104
12,115,QB,Marcus Mariota (ATL),QB23,Depth,15.553,0,0,11.404,15.234,2.5,38.084
12,117,QB,Deshaun Watson (CLE),QB24,Depth,12.652,0,26.183,21.667,15.057,2.5,37.643
13,121,QB,Trevor Lawrence (JAC),QB25,Depth,16.571,10.936,0,0,14.914,2.5,37.284
13,122,QB,Sam Darnold (CAR),QB26,Depth,17.228,11.492,9.191,14.204,14.839,2.5,37.098
14,139,QB,Jacoby Brissett (CLE),QB27,Depth,15.759,8.626,0,13.264,13.639,2.5,34.097
15,145,QB,Carson Wentz (WAS),QB28,Depth,11.76,14.808,17.13,18.279,13.385,2.5,33.462
15,146,QB,Brock Purdy (SF),QB29,Depth,13.372,0,0,0,13.372,2.5,33.431
15,147,QB,Jameis Winston (NO),QB30,Depth,12.174,14.651,0,20.974,13.35,2.5,33.375
NA,158,QB,Matt Ryan (IND),QB31,Depth,12.167,11.276,18.056,18.632,12.857,2.5,32.142
NA,163,QB,Kenny Pickett (PIT),QB32,Depth,12.57,0,0,0,12.57,2.5,31.426
NA,168,QB,Taylor Heinicke (WAS),QB33,Depth,11.998,13.196,0,0,12.35,2.5,30.876
NA,182,QB,Teddy Bridgewater (MIA),QB34,Depth,0,13.954,16.325,11.583,11.686,2.5,29.214
NA,188,QB,Taysom Hill (NO),QB35,Depth,0,14.269,13.318,0,11.478,2.5,28.695
NA,194,QB,Mac Jones (NE),QB36,Depth,10.994,11.911,0,0,11.264,2.5,28.16
