Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Aaron Jones (GB),19,107,5.6,18,0,4,7,8,75,10.7,0,0,1,45.7,45.7,99.2%,2019,5
1,Aaron Jones (GB),13,67,5.2,9,0,0,7,8,159,22.7,2,0,1,38.1,38.1,99.2%,2019,8
2,Aaron Jones (GB),16,134,8.4,42,4,1,6,7,58,9.7,0,0,1,28.2,28.2,99.2%,2019,14
3,Aaron Jones (GB),13,93,7.2,28,1,3,0,0,0,0,0,0,1,27.3,27.3,99.2%,2019,10
4,Aaron Jones (GB),23,154,6.7,56,4,2,2,3,6,3,0,1,1,27,27,99.2%,2019,16
2,Aaron Jones (GB),23,116,5,15,0,1,4,6,34,8.5,0,0,1,23,23,99.2%,2019,2
12,Aaron Jones (GB),13,51,3.9,21,1,2,0,0,0,0,0,0,1,17.1,17.1,99.2%,2019,15
8,Aaron Jones (GB),12,50,4.2,15,0,0,4,4,33,8.3,1,0,1,16.3,16.3,99.2%,2019,7
17,Aaron Jones (GB),25,100,4,14,0,0,2,6,43,21.5,0,0,1,15.3,15.3,99.2%,2019,17
15,Aaron Jones (GB),10,19,1.9,7,0,2,1,1,4,4,0,0,1,14.8,14.8,99.2%,2019,3
15,Aaron Jones (GB),13,21,1.6,7,0,1,6,7,37,6.2,0,0,1,14.8,14.8,99.2%,2019,4
36,Aaron Jones (GB),11,47,4.3,9,0,0,4,7,13,3.3,0,1,1,6,6,99.2%,2019,6
45,Aaron Jones (GB),11,18,1.6,9,0,0,4,6,13,3.3,0,0,1,5.1,5.1,99.2%,2019,13
52,Aaron Jones (GB),13,39,3,9,0,0,1,1,0,0,0,0,1,4.4,4.4,99.2%,2019,1
44,Aaron Jones (GB),13,38,2.9,11,0,0,0,1,0,0,0,0,1,3.8,3.8,99.2%,2019,12
45,Aaron Jones (GB),8,30,3.8,7,0,0,1,3,-1,-1,0,0,1,3.4,3.4,99.2%,2019,9
14,Adrian Peterson (FA),16,66,4.1,14,0,1,3,3,25,8.3,0,0,1,16.6,16.6,2.1%,2019,15
13,Adrian Peterson (FA),13,99,7.6,22,2,1,0,1,0,0,0,0,1,15.9,15.9,2.1%,2019,13
12,Adrian Peterson (FA),23,118,5.1,25,1,0,2,2,18,9,0,0,1,14.6,14.6,2.1%,2019,6
16,Adrian Peterson (FA),20,76,3.8,13,0,1,0,0,0,0,0,0,1,13.6,13.6,2.1%,2019,14
20,Adrian Peterson (FA),18,108,6,28,1,0,1,1,22,22,0,0,1,13.5,13.5,2.1%,2019,9
20,Adrian Peterson (FA),15,36,2.4,17,0,1,2,2,19,9.5,0,0,1,12.5,12.5,2.1%,2019,16
20,Adrian Peterson (FA),14,76,5.4,29,1,0,2,2,27,13.5,0,0,1,11.3,11.3,2.1%,2019,8
25,Adrian Peterson (FA),10,25,2.5,10,0,1,2,2,7,3.5,0,0,1,10.2,10.2,2.1%,2019,2
42,Adrian Peterson (FA),13,78,6,32,2,0,1,4,0,0,0,1,1,6.3,6.3,2.1%,2019,17
34,Adrian Peterson (FA),20,81,4.1,15,0,0,0,0,0,0,0,1,1,6.1,6.1,2.1%,2019,7
33,Adrian Peterson (FA),10,27,2.7,7,0,0,1,1,22,22,0,0,1,5.4,5.4,2.1%,2019,12
55,Adrian Peterson (FA),9,25,2.8,8,0,0,2,2,5,2.5,0,0,1,4,4,2.1%,2019,11
50,Adrian Peterson (FA),12,37,3.1,7,0,0,1,3,-3,-3,0,0,1,3.9,3.9,2.1%,2019,3
57,Adrian Peterson (FA),11,28,2.5,9,0,0,0,0,0,0,0,0,1,2.8,2.8,2.1%,2019,4
63,Adrian Peterson (FA),7,18,2.6,7,0,0,0,0,0,0,0,0,1,1.8,1.8,2.1%,2019,5
115,Adrian Peterson (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.1%,2019,1
23,Alec Ingold (MIA),1,3,3,3,0,0,1,1,9,9,1,0,1,7.7,7.7,0.1%,2019,10
53,Alec Ingold (MIA),0,0,0,0,0,0,3,3,22,7.3,0,0,1,3.7,3.7,0.1%,2019,15
59,Alec Ingold (MIA),1,4,4,4,0,0,2,2,13,6.5,0,0,1,2.7,2.7,0.1%,2019,13
77,Alec Ingold (MIA),1,3,3,3,0,0,0,0,0,0,0,0,1,0.3,0.3,0.1%,2019,5
79,Alec Ingold (MIA),1,3,3,3,0,0,0,0,0,0,0,0,1,0.3,0.3,0.1%,2019,11
78,Alec Ingold (MIA),1,2,2,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.1%,2019,8
70,Alec Ingold (MIA),1,2,2,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.1%,2019,9
76,Alec Ingold (MIA),1,1,1,1,0,0,0,0,0,0,0,0,1,0.1,0.1,0.1%,2019,4
89,Alec Ingold (MIA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,1
84,Alec Ingold (MIA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,2
78,Alec Ingold (MIA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,3
85,Alec Ingold (MIA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,7
75,Alec Ingold (MIA),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,12
80,Alec Ingold (MIA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,16
86,Alec Ingold (MIA),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,17
121,Alec Ingold (MIA),1,-1,-1,0,0,0,0,0,0,0,0,0,1,-0.1,-0.1,0.1%,2019,14
42,Alex Armah Jr. (WAS),1,1,1,1,0,1,0,0,0,0,0,0,1,6.1,6.1,0.0%,2019,1
65,Alex Armah Jr. (WAS),1,4,4,4,0,0,1,1,2,2,0,0,1,1.1,1.1,0.0%,2019,3
71,Alex Armah Jr. (WAS),0,0,0,0,0,0,1,1,4,4,0,0,1,0.9,0.9,0.0%,2019,5
66,Alex Armah Jr. (WAS),2,4,2,3,0,0,0,0,0,0,0,0,1,0.4,0.4,0.0%,2019,6
81,Alex Armah Jr. (WAS),1,2,2,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.0%,2019,13
110,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,2
107,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,4
107,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,8
100,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,9
89,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,10
103,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,11
100,Alex Armah Jr. (WAS),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,12
113,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
114,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,15
110,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,16
111,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,17
126,Alex Collins (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.0%,2019,1
21,Alexander Mattison (MIN),12,58,4.8,21,1,1,0,0,0,0,0,0,1,11.8,11.8,25.1%,2019,3
30,Alexander Mattison (MIN),4,22,5.5,15,0,0,4,5,51,12.8,0,0,1,9.3,9.3,25.1%,2019,13
33,Alexander Mattison (MIN),13,61,4.7,28,1,0,2,2,3,1.5,0,0,1,7.4,7.4,25.1%,2019,8
40,Alexander Mattison (MIN),14,46,3.3,9,0,0,2,2,18,9,0,0,1,7.4,7.4,25.1%,2019,14
34,Alexander Mattison (MIN),8,52,6.5,16,0,0,1,1,2,2,0,0,1,5.9,5.9,25.1%,2019,10
45,Alexander Mattison (MIN),7,52,7.4,19,0,0,0,0,0,0,0,0,1,5.2,5.2,25.1%,2019,5
48,Alexander Mattison (MIN),9,49,5.4,23,1,0,0,0,0,0,0,0,1,4.9,4.9,25.1%,2019,1
42,Alexander Mattison (MIN),14,63,4.5,35,2,0,0,0,0,0,0,1,1,4.3,4.3,25.1%,2019,6
60,Alexander Mattison (MIN),4,25,6.3,14,0,0,0,0,0,0,0,0,1,2.5,2.5,25.1%,2019,2
66,Alexander Mattison (MIN),2,5,2.5,3,0,0,1,1,8,8,0,0,1,1.8,1.8,25.1%,2019,4
57,Alexander Mattison (MIN),7,18,2.6,9,0,0,0,0,0,0,0,0,1,1.8,1.8,25.1%,2019,7
68,Alexander Mattison (MIN),3,6,2,3,0,0,0,1,0,0,0,0,1,0.6,0.6,25.1%,2019,9
76,Alexander Mattison (MIN),3,5,1.7,6,0,0,0,0,0,0,0,0,1,0.5,0.5,25.1%,2019,11
69,Alfred Morris (FA),1,4,4,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.0%,2019,9
2,Alvin Kamara (NO),16,69,4.3,16,0,1,9,10,92,10.2,1,0,1,32.6,32.6,99.3%,2019,3
5,Alvin Kamara (NO),11,80,7.3,40,3,2,6,7,30,5,0,0,1,26,26,99.3%,2019,16
10,Alvin Kamara (NO),13,97,7.5,28,2,0,7,8,72,10.3,0,0,1,20.4,20.4,99.3%,2019,1
12,Alvin Kamara (NO),8,39,4.9,15,0,2,2,3,18,9,0,0,1,18.7,18.7,99.3%,2019,17
5,Alvin Kamara (NO),13,75,5.8,14,0,0,10,10,47,4.7,0,0,1,17.2,17.2,99.3%,2019,11
8,Alvin Kamara (NO),11,54,4.9,30,2,0,9,9,48,5.3,0,0,1,14.7,14.7,99.3%,2019,12
19,Alvin Kamara (NO),16,62,3.9,16,0,0,6,7,42,7,0,0,1,13.9,13.9,99.3%,2019,5
16,Alvin Kamara (NO),4,24,6,8,0,0,8,10,50,6.3,0,0,1,11.4,11.4,99.3%,2019,10
23,Alvin Kamara (NO),14,66,4.7,15,0,0,5,5,23,4.6,0,0,1,11.4,11.4,99.3%,2019,15
25,Alvin Kamara (NO),17,69,4.1,13,0,0,3,3,20,6.7,0,0,1,10.4,10.4,99.3%,2019,4
27,Alvin Kamara (NO),11,61,5.5,24,1,0,4,8,23,5.8,0,0,1,10.4,10.4,99.3%,2019,13
24,Alvin Kamara (NO),11,31,2.8,7,0,0,7,8,35,5,0,0,1,10.1,10.1,99.3%,2019,6
41,Alvin Kamara (NO),13,45,3.5,12,0,0,1,3,15,15,0,0,1,6.5,6.5,99.3%,2019,2
55,Alvin Kamara (NO),13,25,1.9,17,0,0,4,6,18,4.5,0,1,1,4.3,4.3,99.3%,2019,14
31,Ameer Abdullah (LV),4,27,6.8,14,0,0,6,7,31,5.2,0,0,1,8.8,8.8,2.7%,2019,16
34,Ameer Abdullah (LV),1,2,2,2,0,0,1,1,16,16,1,0,1,8.3,8.3,2.7%,2019,9
