Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season
1,Christian McCaffrey (SF),287,"1,387",4.8,84,18,15,116,142,"1,005",8.7,4,0,16,413.2,25.8,100.0%,2019
2,Aaron Jones (GB),236,"1,084",4.6,56,10,16,49,68,474,9.7,3,2,16,290.3,18.1,99.2%,2019
3,Derrick Henry (TEN),303,"1,540",5.1,74,20,16,18,24,206,11.4,2,3,15,285.6,19,98.4%,2019
4,Ezekiel Elliott (DAL),301,"1,357",4.5,33,7,12,54,71,420,7.8,2,2,16,284.7,17.8,97.4%,2019
5,Dalvin Cook (MIN),250,"1,135",4.5,75,12,13,53,63,519,9.8,0,2,14,265.9,19,99.9%,2019
6,Austin Ekeler (LAC),132,557,4.2,35,5,3,92,108,993,10.8,8,2,16,263,16.4,100.0%,2019
7,Nick Chubb (CLE),298,"1,494",5,88,24,8,36,49,278,7.7,0,3,16,237.2,14.8,99.9%,2019
8,Mark Ingram II (NO),202,"1,018",5,53,11,10,26,29,247,9.5,5,2,15,229.5,15.3,4.2%,2019
9,Leonard Fournette (TB),265,"1,152",4.3,81,18,3,76,100,522,6.9,0,1,15,221.4,14.8,97.5%,2019
10,Saquon Barkley (NYG),217,"1,003",4.6,68,18,6,52,73,438,8.4,2,0,13,218.1,16.8,99.7%,2019
11,Chris Carson (FA),278,"1,230",4.4,59,11,7,37,47,266,7.2,2,4,15,214.1,14.3,0.3%,2019
12,Alvin Kamara (NO),171,797,4.7,40,8,5,81,97,533,6.6,1,1,14,208,14.9,99.3%,2019
13,Joe Mixon (CIN),278,"1,137",4.1,41,9,5,35,45,287,8.2,3,0,16,207.9,13,99.9%,2019
14,Todd Gurley II (FA),223,857,3.8,25,5,12,31,49,207,6.7,2,2,15,203.9,13.6,0.1%,2019
15,Miles Sanders (PHI),179,818,4.6,65,13,3,50,63,509,10.2,3,1,16,193.7,12.1,96.7%,2019
