Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Alvin Kamara (NO),20,51,2.6,12,0,0,10,11,128,12.8,1,0,1,28.9,28.9,99.3%,2021,7
2,D'Andre Swift (DET),13,48,3.7,14,0,0,8,10,96,12,1,0,1,24.4,24.4,97.7%,2021,7
3,Damien Harris (NE),14,106,7.6,32,2,2,2,2,7,3.5,0,0,1,24.3,24.3,50.3%,2021,7
4,D'Ernest Johnson (CLE),22,146,6.6,20,2,1,2,2,22,11,0,0,1,23.8,23.8,0.7%,2021,7
5,Brandon Bolden (LV),2,0,0,0,0,0,6,7,79,13.2,1,0,1,16.9,16.9,0.2%,2021,7
6,Elijah Mitchell (SF),18,107,5.9,20,1,1,0,0,0,0,0,0,1,16.7,16.7,29.5%,2021,7
7,Jonathan Taylor (IND),18,107,5.9,33,2,1,3,3,3,1,0,1,1,16.5,16.5,80.5%,2021,7
8,Leonard Fournette (TB),15,81,5.4,15,0,1,2,4,9,4.5,0,0,1,16,16,97.5%,2021,7
9,Khalil Herbert (CHI),18,100,5.6,29,1,0,5,5,33,6.6,0,0,1,15.8,15.8,31.3%,2021,7
10,Myles Gaskin (MIA),15,67,4.5,16,0,0,4,4,10,2.5,1,0,1,15.7,15.7,0.3%,2021,7
11,Kenyan Drake (BAL),14,69,4.9,12,0,1,3,3,10,3.3,0,0,1,15.4,15.4,22.0%,2021,7
12,Derrick Henry (TEN),29,86,3,11,0,0,2,2,16,8,0,0,1,15.4,15.4,98.4%,2021,7
13,J.J. Taylor (NE),9,21,2.3,15,0,2,1,1,5,5,0,0,1,15.1,15.1,0.1%,2021,7
14,Josh Jacobs (LV),6,29,4.8,9,0,1,3,3,39,13,0,0,1,14.3,14.3,99.4%,2021,7
15,Javonte Williams (DEN),4,20,5,7,0,0,6,7,32,5.3,1,0,1,14.2,14.2,24.3%,2021,7
16,Samaje Perine (CIN),11,52,4.7,46,3,1,1,1,23,23,0,0,1,14,14,46.7%,2021,7
17,Devontae Booker (FA),14,51,3.6,19,0,1,2,3,15,7.5,0,0,1,13.6,13.6,0.0%,2021,7
18,Cordarrelle Patterson (ATL),14,60,4.3,13,0,1,2,5,1,0.5,0,0,1,13.1,13.1,83.0%,2021,7
19,James Conner (ARI),10,64,6.4,18,0,1,0,0,0,0,0,0,1,12.4,12.4,97.1%,2021,7
20,Michael Carter (NYJ),11,37,3.4,6,0,0,8,9,67,8.4,0,1,1,12.4,12.4,70.3%,2021,7
21,Kenneth Gainwell (PHI),5,20,4,7,0,0,4,8,41,10.3,1,1,1,12.1,12.1,11.2%,2021,7
22,Joe Mixon (CIN),12,59,4.9,21,1,1,0,0,0,0,0,0,1,11.9,11.9,99.9%,2021,7
23,Devonta Freeman (FA),4,14,3.5,10,0,1,3,3,25,8.3,0,0,1,11.4,11.4,0.0%,2021,7
24,Melvin Gordon III (KC),8,18,2.3,5,0,0,2,3,14,7,1,0,1,10.2,10.2,27.2%,2021,7
25,Ty Johnson (NYJ),5,6,1.2,5,0,0,6,7,65,10.8,0,0,1,10.1,10.1,2.7%,2021,7
26,Chase Edmonds (DEN),15,81,5.4,16,0,0,1,3,9,9,0,0,1,9.5,9.5,24.1%,2021,7
27,Boston Scott (PHI),7,24,3.4,5,0,1,1,2,5,5,0,0,1,9.4,9.4,1.2%,2021,7
28,Darrell Henderson Jr. (FA),15,45,3,10,0,0,3,6,19,6.3,0,0,1,7.9,7.9,22.3%,2021,7
29,David Johnson (NO),7,25,3.6,13,0,0,5,6,27,5.4,0,0,1,7.7,7.7,0.1%,2021,7
30,Chuba Hubbard (CAR),12,28,2.3,13,0,0,4,5,28,7,0,0,1,7.6,7.6,33.1%,2021,7
31,J.D. McKissic (WAS),4,22,5.5,8,0,0,4,6,34,8.5,0,0,1,7.6,7.6,8.2%,2021,7
32,Johnny Stanton IV (FA),2,5,2.5,3,0,0,1,1,1,1,1,0,1,7.1,7.1,0.0%,2021,7
33,Antonio Gibson (WAS),14,51,3.6,6,0,0,2,2,5,2.5,0,0,1,6.6,6.6,77.4%,2021,7
34,Darrel Williams (ARI),5,20,4,11,0,0,3,4,30,10,0,0,1,6.5,6.5,1.5%,2021,7
35,Aaron Jones (GB),6,19,3.2,9,0,0,5,5,20,4,0,0,1,6.4,6.4,99.2%,2021,7
36,Salvon Ahmed (MIA),7,26,3.7,7,0,0,2,2,26,13,0,0,1,6.2,6.2,0.1%,2021,7
37,Jamaal Williams (DET),12,57,4.8,14,0,0,0,0,0,0,0,0,1,5.7,5.7,88.5%,2021,7
38,Demetric Felton Jr. (CLE),2,13,6.5,12,0,0,3,3,21,7,0,0,1,4.9,4.9,0.0%,2021,7
39,Alex Collins (FA),16,35,2.2,6,0,0,1,1,9,9,0,0,1,4.9,4.9,19.0%,2021,7
40,Ty'Son Williams (ARI),2,10,5,6,0,0,2,2,24,12,0,0,1,4.4,4.4,0.0%,2021,7
41,Ronald Jones II (KC),10,63,6.3,19,0,0,0,0,0,0,0,1,1,4.3,4.3,2.5%,2021,7
42,Mark Ingram II (NO),6,9,1.5,4,0,0,3,3,18,6,0,0,1,4.2,4.2,4.2%,2021,7
43,Jakob Johnson (LV),0,0,0,0,0,0,2,2,32,16,0,0,1,4.2,4.2,0.0%,2021,7
44,Jalen Richard (FA),4,8,2,5,0,0,3,4,17,5.7,0,0,1,4,4,1.0%,2021,7
45,Alec Ingold (MIA),1,1,1,1,0,0,1,1,29,29,0,0,1,3.5,3.5,0.1%,2021,7
46,Miles Sanders (PHI),6,30,5,9,0,0,1,1,-3,-3,0,0,1,3.2,3.2,96.7%,2021,7
47,JaMycal Hasty (JAC),3,1,0.3,2,0,0,3,6,15,5,0,0,1,3.1,3.1,4.2%,2021,7
48,Darrynton Evans (CHI),2,7,3.5,5,0,0,2,2,11,5.5,0,0,1,2.8,2.8,0.2%,2021,7
49,Ke'Shawn Vaughn (TB),5,27,5.4,15,0,0,0,0,0,0,0,0,1,2.7,2.7,0.5%,2021,7
50,Jerick McKinnon (KC),0,0,0,0,0,0,2,4,17,8.5,0,0,1,2.7,2.7,86.0%,2021,7
51,Elijhaa Penny (FA),9,24,2.7,9,0,0,0,0,0,0,0,0,1,2.4,2.4,0.0%,2021,7
52,Royce Freeman (HOU),3,18,6,7,0,0,1,2,1,1,0,0,1,2.4,2.4,1.5%,2021,7
53,Nyheim Hines (BUF),8,14,1.8,8,0,0,1,3,-2,-2,0,0,1,1.7,1.7,28.2%,2021,7
54,Giovani Bernard (TB),0,0,0,0,0,0,2,3,5,2.5,0,0,1,1.5,1.5,0.2%,2021,7
55,Jeremy McNichols (PIT),0,0,0,0,0,0,1,1,10,10,0,0,1,1.5,1.5,0.0%,2021,7
56,Travis Homer (SEA),1,14,14,14,0,0,0,0,0,0,0,0,1,1.4,1.4,15.5%,2021,7
57,Malcolm Brown (LAR),3,10,3.3,4,0,0,1,1,-1,-1,0,0,1,1.4,1.4,0.1%,2021,7
58,John Kelly Jr. (CLE),2,13,6.5,11,0,0,0,0,0,0,0,0,1,1.3,1.3,0.0%,2021,7
59,Damien Williams (FA),3,5,1.7,4,0,0,1,1,3,3,0,0,1,1.3,1.3,1.0%,2021,7
60,Derrick Gore (NO),0,0,0,0,0,0,1,1,7,7,0,0,1,1.2,1.2,0.0%,2021,7
61,Keith Smith (ATL),0,0,0,0,0,0,1,1,6,6,0,0,1,1.1,1.1,0.0%,2021,7
62,Mike Davis (FA),4,10,2.5,3,0,0,0,0,0,0,0,0,1,1,1,1.0%,2021,7
63,Devine Ozigbo (FA),1,-3,-3,0,0,0,1,1,7,7,0,0,1,0.9,0.9,0.0%,2021,7
64,Rashaad Penny (SEA),6,9,1.5,5,0,0,0,0,0,0,0,0,1,0.9,0.9,15.8%,2021,7
65,Ryan Nall (FA),0,0,0,0,0,0,1,1,4,4,0,0,1,0.9,0.9,0.0%,2021,7
66,Le'Veon Bell (FA),5,5,1,7,0,0,1,2,-1,-1,0,0,1,0.9,0.9,0.1%,2021,7
67,Phillip Lindsay (FA),2,8,4,4,0,0,0,0,0,0,0,0,1,0.8,0.8,0.3%,2021,7
68,Eno Benjamin (NO),2,7,3.5,8,0,0,0,0,0,0,0,0,1,0.7,0.7,10.5%,2021,7
69,Jonathan Ward (TEN),1,7,7,7,0,0,0,0,0,0,0,0,1,0.7,0.7,0.0%,2021,7
70,Sony Michel (FA),2,4,2,4,0,0,0,0,0,0,0,0,1,0.4,0.4,2.1%,2021,7
71,Marlon Mack (DEN),3,4,1.3,3,0,0,0,0,0,0,0,0,1,0.4,0.4,5.7%,2021,7
72,Ty Montgomery (NE),1,4,4,4,0,0,0,1,0,0,0,0,1,0.4,0.4,0.5%,2021,7
73,Kylin Hill (FA),3,2,0.7,3,0,0,0,1,0,0,0,0,1,0.2,0.2,0.0%,2021,7
74,Alex Armah Jr. (WAS),1,2,2,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.0%,2021,7
75,Wayne Gallman Jr. (SEA),1,2,2,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.0%,2021,7
76,DeeJay Dallas (SEA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0%,2021,7
77,Buddy Howell (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021,7
78,Cullen Gillaspia (SEA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021,7
79,Nick Bellore (SEA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2021,7
80,Rex Burkhead (HOU),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.1%,2021,7
81,Trenton Cannon (TEN),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021,7
82,Godwin Igwebuike (SEA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021,7
83,Ameer Abdullah (LV),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.7%,2021,7
84,AJ Dillon (GB),3,6,2,3,0,0,1,2,2,2,0,1,1,-0.7,-0.7,84.3%,2021,7
