Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season
2,Aaron Jones (GB),236,"1,084",4.6,56,10,16,49,68,474,9.7,3,2,16,290.3,18.1,99.2%,2019
5,Aaron Jones (GB),201,"1,104",5.5,77,17,9,47,63,355,7.6,2,0,14,235.4,16.8,99.2%,2020
9,Aaron Jones (GB),201,"1,073",5.3,36,10,2,56,68,375,6.7,5,2,16,212.8,13.3,99.2%,2022
12,Aaron Jones (GB),171,799,4.7,57,8,4,52,65,391,7.5,6,1,15,203,13.5,99.2%,2021
142,Adam Prentice (NO),3,5,1.7,2,0,0,3,3,16,5.3,0,0,5,3.6,0.7,0.0%,2021
138,Adam Prentice (NO),4,9,2.3,3,0,0,3,3,9,3,0,0,6,3.3,0.6,0.0%,2022
184,Adrian Killins Jr. (FA),1,-12,-12,0,0,0,1,1,2,2,0,0,1,-0.5,-0.5,0.0%,2020
30,Adrian Peterson (FA),211,898,4.3,32,7,5,17,23,142,8.4,0,2,16,138.5,8.7,2.1%,2019
37,Adrian Peterson (FA),156,604,3.9,38,5,7,12,18,101,8.4,0,0,16,118.5,7.4,2.1%,2020
99,Adrian Peterson (FA),38,98,2.6,16,0,2,4,4,8,2,0,0,4,24.6,6.2,2.1%,2021
23,AJ Dillon (GB),187,803,4.3,36,3,5,34,37,313,9.2,2,1,17,168.6,9.9,84.3%,2021
26,AJ Dillon (GB),177,737,4.2,27,3,7,28,40,206,7.4,0,0,16,150.3,9.4,84.3%,2022
79,AJ Dillon (GB),46,242,5.3,30,3,2,2,2,21,10.5,0,0,11,39.3,3.6,84.3%,2020
84,Alec Ingold (MIA),6,8,1.3,2,0,1,15,23,105,7,1,0,12,30.8,2.6,0.1%,2022
94,Alec Ingold (MIA),3,4,1.3,3,0,0,12,17,110,9.2,1,0,16,23.4,1.5,0.1%,2020
106,Alec Ingold (MIA),2,1,0.5,1,0,0,10,12,85,8.5,1,0,7,19.6,2.8,0.1%,2021
100,Alec Ingold (MIA),10,17,1.7,4,0,0,6,6,44,7.3,1,0,16,15.1,0.9,0.1%,2019
113,Alex Armah Jr. (WAS),6,11,1.8,4,0,1,2,2,6,3,0,0,16,8.7,0.5,0.0%,2019
126,Alex Armah Jr. (WAS),5,21,4.2,9,0,0,1,1,1,1,1,0,10,8.7,0.9,0.0%,2021
138,Alex Armah Jr. (WAS),6,9,1.5,3,0,0,5,9,18,3.6,0,0,16,5.2,0.3,0.0%,2020
64,Alex Collins (FA),108,411,3.8,25,2,2,9,10,87,9.7,0,1,11,64.3,5.8,19.0%,2021
99,Alex Collins (FA),18,77,4.3,13,0,2,1,2,4,4,0,0,3,20.6,6.9,19.0%,2020
176,Alex Collins (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.0%,2019
38,Alexander Mattison (MIN),134,491,3.7,48,4,3,32,39,228,7.1,1,1,16,109.9,6.9,25.1%,2021
54,Alexander Mattison (MIN),96,434,4.5,25,4,2,13,15,125,9.6,1,0,13,80.4,6.2,25.1%,2020
59,Alexander Mattison (MIN),100,462,4.6,35,5,1,10,12,82,8.2,0,1,13,63.4,4.9,25.1%,2019
57,Alexander Mattison (MIN),64,229,3.6,15,0,3,14,17,85,6.1,1,0,16,62.4,3.9,25.1%,2022
80,Alfred Morris (FA),55,238,4.3,20,1,1,3,4,19,6.3,1,0,9,39.2,4.4,0.0%,2020
150,Alfred Morris (FA),1,4,4,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.0%,2019
1,Alvin Kamara (NO),187,932,5,49,13,16,83,107,756,9.1,5,0,15,336.3,22.4,99.3%,2020
8,Alvin Kamara (NO),240,898,3.7,30,4,4,47,67,439,9.3,5,0,13,211.2,16.2,99.3%,2021
12,Alvin Kamara (NO),171,797,4.7,40,8,5,81,97,533,6.6,1,1,14,208,14.9,99.3%,2019
20,Alvin Kamara (NO),200,790,4,27,2,2,56,75,487,8.7,2,4,14,171.7,12.3,99.3%,2022
61,Ameer Abdullah (LV),51,166,3.3,15,0,0,38,53,289,7.6,1,0,17,70.5,4.1,2.7%,2021
73,Ameer Abdullah (LV),4,20,5,7,0,0,24,30,201,8.4,1,0,15,40.1,2.7,2.7%,2022
83,Ameer Abdullah (LV),23,115,5,15,0,0,15,21,88,5.9,1,1,16,31.8,2,2.7%,2019
92,Ameer Abdullah (LV),8,42,5.3,13,0,0,8,9,58,7.3,2,0,16,26,1.6,2.7%,2020
152,Andrew Beck (DEN),1,3,3,3,0,0,9,12,90,10,1,0,16,0,0,0.0%,2019
162,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.0%,2020
166,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021
174,Andrew Beck (DEN),2,0,0,1,0,0,5,9,69,13.8,0,0,8,0,0,0.0%,2022
105,Andy Janovich (FA),1,1,1,1,0,1,5,5,42,8.4,0,0,8,12.8,1.6,0.0%,2019
123,Andy Janovich (FA),2,0,0,1,0,1,3,4,9,3,0,0,6,10.4,1.7,0.0%,2021
143,Andy Janovich (FA),2,4,2,2,0,0,2,5,13,6.5,0,0,14,2.7,0.2,0.0%,2020
101,Anthony McFarland Jr. (PIT),33,113,3.4,20,1,0,6,10,54,9,0,0,11,19.7,1.8,0.0%,2020
131,Anthony McFarland Jr. (PIT),6,30,5,14,0,0,2,2,11,5.5,0,0,1,5.1,5.1,0.0%,2022
153,Anthony McFarland Jr. (PIT),3,3,1,3,0,0,1,1,11,11,0,0,3,1.9,0.6,0.0%,2021
130,Anthony Sherman (FA),3,8,2.7,6,0,0,1,2,5,5,1,0,12,7.8,0.7,0.0%,2020
127,Anthony Sherman (FA),4,9,2.3,5,0,0,2,3,22,11,0,0,16,4.1,0.3,0.0%,2019
10,Antonio Gibson (WAS),258,"1,037",4,27,4,7,42,52,294,7,3,4,16,208.1,13,77.4%,2021
12,Antonio Gibson (WAS),170,795,4.7,40,8,11,36,44,247,6.9,0,2,14,184.2,13.2,77.4%,2020
28,Antonio Gibson (WAS),149,546,3.7,20,1,3,46,58,353,7.7,2,0,15,142.9,9.5,77.4%,2022
96,Antonio Williams (FA),12,63,5.3,18,0,2,1,1,20,20,0,0,1,20.8,20.8,0.0%,2020
126,Artavis Pierce (FA),6,34,5.7,23,1,1,0,0,0,0,0,0,5,9.4,1.9,0.0%,2020
176,Artavis Pierce (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021
1,Austin Ekeler (LAC),193,881,4.6,72,10,13,103,123,686,6.7,5,2,16,312.2,19.5,100.0%,2022
2,Austin Ekeler (LAC),206,911,4.4,28,3,12,70,94,647,9.2,8,3,16,308.8,19.3,100.0%,2021
6,Austin Ekeler (LAC),132,557,4.2,35,5,3,92,108,993,10.8,8,2,16,263,16.4,100.0%,2019
29,Austin Ekeler (LAC),116,530,4.6,27,2,1,54,65,403,7.5,2,0,10,138.3,13.8,100.0%,2020
