Round,Rank,Pos,Player,PosRank,Role,Score2022,Score2021,Score2020,Score2019,Score,ValueFactor,AdjValue
1,1,RB,Christian McCaffrey (SF),RB1,RB1,22.253,16.182,28.121,29.986,21.708,5,108.542
1,2,RB,Austin Ekeler (LAC),RB2,RB1,22.936,21.927,14.951,17.716,21.624,5,108.122
1,3,RB,Derrick Henry (TEN),RB3,RB1,20.811,23.235,21.431,20.718,21.474,5,107.371
1,6,RB,Josh Jacobs (LV),RB4,RB1,19.959,15.531,14.98,14.904,18.101,5,90.505
1,9,RB,Nick Chubb (CLE),RB5,RB1,16.707,15.801,18.963,15.777,16.66,5,83.299
2,11,RB,Dalvin Cook (MIN),RB6,RB1,14.115,16.211,25.993,22.655,16.254,5,81.268
2,12,RB,Jonathan Taylor (IND),RB7,RB1,12.787,22.722,16.098,0,15.749,5,78.747
2,13,RB,Saquon Barkley (NYG),RB8,RB1,18.267,8.166,0,18.426,15.469,5,77.347
2,14,RB,James Conner (ARI),RB9,RB1,15.567,16.443,11.522,13.002,15.253,5,76.267
2,15,RB,Breece Hall (NYJ),RB10,RB1,15.191,0,0,0,15.191,5,75.955
2,16,RB,Alvin Kamara (NO),RB11,RB2,11.994,18.812,24.242,16.789,15.163,5,75.816
2,17,RB,Najee Harris (PIT),RB12,RB2,13.419,18.586,0,0,14.938,5,74.691
2,18,RB,Ezekiel Elliott (DAL),RB13,RB2,14.089,14.565,14.645,21.662,14.642,5,73.212
2,19,RB,Aaron Jones (GB),RB14,RB2,13.802,13.803,18.687,18.284,14.515,5,72.573
3,21,RB,Joe Mixon (CIN),RB15,RB2,12.138,18.398,13.116,13.752,13.882,5,69.408
3,22,RB,D'Andre Swift (DET),RB16,RB2,13.005,15.482,13.033,0,13.659,5,68.297
3,26,RB,Leonard Fournette (TB),RB17,RB2,12.642,16.952,6.688,16.957,13.34,5,66.699
3,30,RB,Kenneth Walker III (SEA),RB18,RB2,12.52,0,0,0,12.52,5,62.599
4,32,RB,Dameon Pierce (HOU),RB19,RB2,12.326,0,0,0,12.326,5,61.632
4,34,RB,Cordarrelle Patterson (ATL),RB20,RB2,11.829,12.958,0,0,12.161,5,60.804
4,36,RB,Travis Etienne Jr. (JAC),RB21,RB3,12.115,0,0,0,12.115,5,60.576
4,37,RB,Tony Pollard (DAL),RB22,RB3,15.759,8.839,3.223,2.068,12.091,5,60.455
5,43,RB,Rhamondre Stevenson (NE),RB23,RB3,13.274,6.768,0,0,11.36,5,56.801
5,44,RB,Antonio Gibson (WAS),RB24,RB3,9.63,14.643,13.479,0,11.354,5,56.772
5,45,RB,Miles Sanders (PHI),RB25,RB3,12.05,8.468,13.847,11.884,11.326,5,56.629
5,46,RB,David Montgomery (CHI),RB26,RB3,9.283,13.49,18.073,9.635,11.232,5,56.158
5,49,RB,Jamaal Williams (DET),RB27,RB3,13.755,7.279,5.813,7.804,11.045,5,55.223
7,67,RB,Raheem Mostert (MIA),RB28,RB3,9.347,0,10.484,8.206,9.423,5,47.113
8,74,RB,Tyler Allgeier (ATL),RB29,RB3,9.063,0,0,0,9.063,5,45.317
9,81,RB,AJ Dillon (GB),RB30,RB3,8.738,9.024,0,0,8.822,5,44.111
9,84,RB,Devin Singletary (BUF),RB31,RB4,8.242,9.904,5.949,11.657,8.599,5,42.994
9,87,RB,Clyde Edwards-Helaire (KC),RB32,RB4,6.922,10.163,13.252,0,8.441,5,42.207
9,88,RB,Melvin Gordon III (KC),RB33,RB4,5.961,11.451,12.548,14.774,8.433,5,42.164
10,93,RB,Damien Harris (NE),RB34,RB4,6.058,13.826,7.983,0,8.304,5,41.522
10,94,RB,Brian Robinson Jr. (WAS),RB35,RB4,8.225,0,0,0,8.225,5,41.127
10,97,RB,J.K. Dobbins (BAL),RB36,RB4,7.953,0,9.151,0,8.124,5,40.619
10,98,RB,James Robinson (NYJ),RB37,RB4,4.949,11.574,18.514,0,8.12,5,40.6
12,118,RB,Rashaad Penny (SEA),RB38,RB4,6.733,10.083,0,4.298,7.528,5,37.642
12,119,RB,Javonte Williams (DEN),RB39,RB4,6.157,10.653,0,0,7.479,5,37.395
13,123,RB,Latavius Murray (DEN),RB40,RB4,9.023,4.244,6.263,6.084,7.406,5,37.028
14,134,RB,Myles Gaskin (MIA),RB41,Depth,0,7.461,15.943,0.007,7.093,5,35.464
15,141,RB,Jeff Wilson Jr. (MIA),RB42,Depth,8.227,2.145,9.868,0,6.799,5,33.997
15,143,RB,Cam Akers (LAR),RB43,Depth,6.768,0,6.325,0,6.705,5,33.523
15,149,RB,Darrell Henderson Jr. (FA),RB44,Depth,4.031,13.282,5.946,0,6.667,5,33.334
NA,151,RB,Elijah Mitchell (SF),RB45,Depth,3.509,14.118,0,0,6.629,5,33.145
NA,152,RB,Kareem Hunt (CLE),RB46,Depth,3.342,11.561,12.787,8.716,6.61,5,33.049
NA,167,RB,D'Onta Foreman (CAR),RB47,Depth,5.208,8.575,0,0,6.198,5,30.99
NA,174,RB,Kenyan Drake (BAL),RB48,Depth,4.891,4.858,12.024,12.742,5.989,5,29.943
NA,177,RB,Zonovan Knight (NYJ),RB49,Depth,5.93,0,0,0,5.93,5,29.649
NA,178,RB,Duke Johnson Jr. (BUF),RB50,Depth,0,8.51,4.297,6.67,5.926,5,29.629
NA,180,RB,Isiah Pacheco (KC),RB51,Depth,5.862,0,0,0,5.862,5,29.31
NA,189,RB,Jerick McKinnon (KC),RB52,Depth,8.983,-1.425,4.138,0,5.734,5,28.671
NA,198,RB,Michael Carter (NYJ),RB53,Depth,4.337,8.455,0,0,5.548,5,27.738
NA,214,RB,Rachaad White (TB),RB54,Depth,5.183,0,0,0,5.183,5,25.915
NA,238,RB,Khalil Herbert (CHI),RB55,Depth,6.25,0.702,0,0,4.618,5,23.09
NA,240,RB,Chase Edmonds (DEN),RB56,Depth,2.042,9.942,7.54,1.837,4.557,5,22.784
NA,250,RB,J.D. McKissic (WAS),RB57,Depth,1.572,8.776,9.062,-0.094,4.038,5,20.192
NA,251,RB,Boston Scott (PHI),RB58,Depth,0,6.314,1.955,3.9,4.036,5,20.182
NA,254,RB,Ronald Jones II (KC),RB59,Depth,0,1.09,12.375,8.632,3.98,5,19.901
NA,264,RB,Gus Edwards (BAL),RB60,Depth,3.516,0,5.512,2.262,3.698,5,18.49
NA,267,RB,Samaje Perine (CIN),RB61,Depth,5.492,0.883,-0.582,0,3.64,5,18.199
NA,270,RB,Chuba Hubbard (CAR),RB62,Depth,2.585,5.932,0,0,3.569,5,17.846
