Round,Rank,Pos,Player,PosRank,Role,Score2022,Score2021,Score2020,Score2019,Score,ValueFactor,AdjValue
1,1,RB,Austin Ekeler (LAC),RB1,RB1,26.832,24.783,18.613,21.774,25.245,5,126.226
1,2,RB,Christian McCaffrey (SF),RB2,RB1,25.123,18.211,29.037,33.616,24.211,5,121.054
1,4,RB,Derrick Henry (TEN),RB3,RB1,22.074,24.323,22.428,21.197,22.628,5,113.139
1,9,RB,Josh Jacobs (LV),RB4,RB1,21.325,18.505,16.881,15.986,19.909,5,99.543
1,10,RB,Breece Hall (NYJ),RB5,RB1,18.046,0,0,0,18.046,5,90.232
2,11,RB,Dalvin Cook (MIN),RB6,RB1,15.624,18.028,27.814,24.896,17.908,5,89.539
2,13,RB,Nick Chubb (CLE),RB7,RB1,18.004,16.578,19.473,16.986,17.743,5,88.717
2,14,RB,Alvin Kamara (NO),RB8,RB1,14.037,21.271,27.065,20.157,17.454,5,87.27
2,15,RB,Najee Harris (PIT),RB9,RB1,15.746,21.199,0,0,17.35,5,86.748
2,16,RB,Jonathan Taylor (IND),RB10,RB1,14.322,24.191,18.157,0,17.323,5,86.613
2,17,RB,Saquon Barkley (NYG),RB11,RB2,20.136,9.731,0,20.513,17.267,5,86.333
2,18,RB,James Conner (ARI),RB12,RB2,17.841,17.82,13.566,14.828,17.258,5,86.288
3,22,RB,Aaron Jones (GB),RB13,RB2,15.913,15.933,20.287,19.741,16.546,5,82.732
3,23,RB,Leonard Fournette (TB),RB14,RB2,15.791,20.224,8.74,20.709,16.44,5,82.201
3,27,RB,Ezekiel Elliott (DAL),RB15,RB2,14.949,16.841,17.082,24.238,16.1,5,80.499
3,28,RB,Joe Mixon (CIN),RB16,RB2,14.763,19.872,14.687,15.265,16.058,5,80.289
3,30,RB,D'Andre Swift (DET),RB17,RB2,14.987,18.066,15.924,0,15.896,5,79.478
4,39,RB,Kenneth Walker III (SEA),RB18,RB2,14.129,0,0,0,14.129,5,70.646
5,44,RB,Dameon Pierce (HOU),RB19,RB2,13.709,0,0,0,13.709,5,68.544
5,45,RB,Cordarrelle Patterson (ATL),RB20,RB2,13.223,14.59,0,0,13.625,5,68.123
5,47,RB,David Montgomery (CHI),RB21,RB3,11.709,15.303,20.348,10.837,13.428,5,67.138
5,48,RB,Tony Pollard (DAL),RB22,RB3,16.776,10.727,4.866,2.646,13.366,5,66.831
6,51,RB,Travis Etienne Jr. (JAC),RB23,RB3,13.325,0,0,0,13.325,5,66.626
6,52,RB,Rhamondre Stevenson (NE),RB24,RB3,15.702,7.463,0,0,13.279,5,66.394
6,54,RB,Antonio Gibson (WAS),RB25,RB3,11.468,16.091,14.715,0,13.026,5,65.131
7,64,RB,Miles Sanders (PHI),RB26,RB3,12.683,9.642,15.016,14.047,12.225,5,61.123
8,72,RB,Jamaal Williams (DET),RB27,RB3,14.045,7.96,7.275,9.751,11.632,5,58.161
8,75,RB,Raheem Mostert (MIA),RB28,RB3,11.274,0,11.905,8.712,11.187,5,55.937
9,85,RB,Melvin Gordon III (KC),RB29,RB3,7.826,13.008,14.228,17.032,10.222,5,51.109
9,88,RB,Devin Singletary (BUF),RB30,RB3,9.774,11.28,8.241,12.839,10.151,5,50.753
10,91,RB,AJ Dillon (GB),RB31,RB4,9.886,10.342,0,0,10.02,5,50.099
10,92,RB,Clyde Edwards-Helaire (KC),RB32,RB4,8.174,12.144,15.487,0,9.989,5,49.943
10,96,RB,Tyler Allgeier (ATL),RB33,RB4,9.682,0,0,0,9.682,5,48.41
11,101,RB,James Robinson (NYJ),RB34,RB4,6.138,12.424,20.554,0,9.31,5,46.549
11,102,RB,Damien Harris (NE),RB35,RB4,7.107,14.595,8.566,0,9.231,5,46.153
11,105,RB,Brian Robinson Jr. (WAS),RB36,RB4,9.182,0,0,0,9.182,5,45.912
11,110,RB,Javonte Williams (DEN),RB37,RB4,7.793,12.197,0,0,9.088,5,45.441
12,112,RB,Latavius Murray (DEN),RB38,RB4,11.082,5.024,7.764,7.409,9.052,5,45.26
13,121,RB,J.K. Dobbins (BAL),RB39,RB4,8.526,0,10.158,0,8.759,5,43.795
13,125,RB,Myles Gaskin (MIA),RB40,RB4,0,9.066,18.61,0.423,8.505,5,42.524
14,135,RB,Darrell Henderson Jr. (FA),RB41,Depth,5.668,14.609,6.965,0,8.157,5,40.785
15,142,RB,Kareem Hunt (CLE),RB42,Depth,4.512,12.837,14.316,11.005,7.898,5,39.49
15,143,RB,Jeff Wilson Jr. (MIA),RB43,Depth,9.76,2.427,10.256,0,7.883,5,39.414
15,146,RB,Rashaad Penny (SEA),RB44,Depth,7,10.303,0,4.586,7.784,5,38.918
NA,158,RB,Rachaad White (TB),RB45,Depth,7.513,0,0,0,7.513,5,37.566
