Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
17,Adam Shaheen (MIA),2,2,24,12,18,0,0,0,0,0,0,1,5.4,5.4,0.0%,2019,7
22,Adam Shaheen (MIA),3,3,24,8,9,0,0,0,0,0,0,1,3.9,3.9,0.0%,2019,2
40,Adam Shaheen (MIA),2,2,13,6.5,8,0,0,0,0,0,0,1,2.3,2.3,0.0%,2019,4
48,Adam Shaheen (MIA),1,1,7,7,7,0,0,0,0,0,0,1,1.2,1.2,0.0%,2019,3
48,Adam Shaheen (MIA),1,2,6,6,6,0,0,0,0,0,0,1,1.1,1.1,0.0%,2019,1
79,Adam Shaheen (MIA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,5
75,Adam Shaheen (MIA),0,2,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,8
85,Adam Shaheen (MIA),0,1,0,0,0,0,0,0,0,0,1,1,-2,-2,0.0%,2019,9
99,Alan Cross (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,1
96,Alex Ellis (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,1
77,Alex Ellis (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,3
71,Alex Ellis (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,4
17,Andrew Beck (DEN),2,2,8,4,7,0,1,0,0,0,0,1,7.8,7.8,0.0%,2019,17
38,Andrew Beck (DEN),1,1,29,29,29,1,0,0,0,0,0,1,3.4,3.4,0.0%,2019,14
25,Andrew Beck (DEN),1,1,18,18,18,0,0,0,0,0,0,1,2.3,2.3,0.0%,2019,12
39,Andrew Beck (DEN),2,3,13,6.5,10,0,0,0,0,0,0,1,2.3,2.3,0.0%,2019,15
46,Andrew Beck (DEN),1,1,11,11,11,0,0,0,0,0,0,1,1.6,1.6,0.0%,2019,13
41,Andrew Beck (DEN),1,1,10,10,10,0,0,0,0,0,0,1,1.5,1.5,0.0%,2019,5
61,Andrew Beck (DEN),1,1,1,1,1,0,0,1,3,0,0,1,1.1,1.1,0.0%,2019,16
70,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,1
63,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,2
68,Andrew Beck (DEN),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,3
