Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
1,Travis Kelce (KC),105,145,"1,416",13.5,45,29,11,0,0,0,1,15,260.3,17.4,100.0%,2020
2,Darren Waller (LV),107,145,"1,196",11.2,38,19,9,0,0,0,2,16,225.1,14.1,83.6%,2020
3,Robert Tonyan (GB),52,59,586,11.3,45,13,11,0,0,0,0,16,150.6,9.4,23.9%,2020
4,T.J. Hockenson (MIN),67,101,723,10.8,51,10,6,1,0,0,1,16,141.8,8.9,98.5%,2020
5,Mark Andrews (BAL),58,88,701,12.1,39,13,7,0,0,0,0,14,141.1,10.1,99.3%,2020
6,Logan Thomas (WAS),72,110,670,9.3,30,6,6,3,5,0,0,16,140.6,8.8,6.7%,2020
7,Mike Gesicki (MIA),53,85,703,13.3,70,14,6,0,0,0,0,15,132.8,8.9,34.9%,2020
8,Rob Gronkowski (FA),45,77,623,13.8,48,16,7,0,0,0,0,16,126.8,7.9,1.7%,2020
9,Hayden Hurst (CIN),56,88,571,10.2,42,8,6,0,0,0,0,16,121.1,7.6,35.8%,2020
10,Jonnu Smith (NE),41,65,448,10.9,63,8,8,2,4,1,0,15,119.7,8,1.0%,2020
11,Jimmy Graham (FA),50,76,456,9.1,30,5,8,0,0,0,0,16,118.6,7.4,0.0%,2020
12,Noah Fant (SEA),62,93,673,10.9,37,11,3,0,0,0,0,15,118.3,7.9,33.6%,2020
13,Hunter Henry (NE),60,93,613,10.2,33,6,4,0,0,0,0,14,115.3,8.2,34.7%,2020
14,Dalton Schultz (DAL),63,89,615,9.8,28,3,4,0,0,0,1,16,115,7.2,94.4%,2020
15,Eric Ebron (FA),56,91,558,10,27,6,5,0,0,0,1,15,113.8,7.6,0.0%,2020
16,Evan Engram (JAC),63,109,654,10.4,53,12,1,6,26,1,1,16,109.5,6.8,85.1%,2020
17,Jared Cook (FA),37,60,504,13.6,46,12,7,0,0,0,1,15,108.9,7.3,0.0%,2020
18,Tyler Higbee (LAR),44,60,521,11.8,44,14,5,1,1,0,0,15,106.2,7.1,74.0%,2020
19,George Kittle (SF),48,63,634,13.2,44,13,2,2,17,0,0,8,101.1,12.6,99.2%,2020
20,Dallas Goedert (PHI),46,65,524,11.4,41,11,3,0,0,0,0,11,93.4,8.5,91.9%,2020
21,Austin Hooper (TEN),46,70,435,9.5,36,4,4,0,0,0,0,13,90.5,7,12.7%,2020
22,Irv Smith Jr. (MIN),30,43,365,12.2,36,7,5,0,0,0,0,13,83.5,6.4,12.8%,2020
23,Dan Arnold (JAC),31,45,438,14.1,59,13,4,0,0,0,1,16,81.3,5.1,0.1%,2020
24,Gerald Everett (LAC),41,62,417,10.2,40,5,1,1,2,1,1,16,72.4,4.5,77.6%,2020
25,Trey Burton (FA),28,47,250,8.9,20,1,3,2,3,2,0,13,69.3,5.3,0.0%,2020
26,Darren Fells (FA),21,28,312,14.9,44,6,4,0,0,0,0,16,65.7,4.1,0.0%,2020
27,Jordan Akins (HOU),37,49,403,10.9,26,7,1,1,4,0,0,13,65.2,5,1.0%,2020
