Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Pat Freiermuth (PIT),5,6,43,8.6,13,0,2,0,0,0,0,1,18.8,18.8,91.4%,2021,9
2,George Kittle (SF),6,8,101,16.8,29,1,1,0,0,0,1,1,17.1,17.1,99.2%,2021,9
3,Travis Kelce (KC),5,8,68,13.6,25,2,1,0,0,0,0,1,15.3,15.3,100.0%,2021,9
4,Darren Waller (LV),7,11,92,13.1,24,2,0,0,0,0,0,1,12.7,12.7,83.6%,2021,9
5,Stephen Anderson (ARI),4,4,39,9.8,23,1,1,0,0,0,0,1,11.9,11.9,0.0%,2021,9
6,Cole Kmet (CHI),6,8,87,14.5,25,2,0,0,0,0,0,1,11.7,11.7,69.8%,2021,9
7,Donald Parham Jr. (LAC),3,3,39,13,19,0,1,0,0,0,0,1,11.4,11.4,0.2%,2021,9
8,Evan Engram (JAC),3,3,38,12.7,30,2,1,0,0,0,0,1,11.3,11.3,85.1%,2021,9
9,Geoff Swaim (TEN),4,4,29,7.3,11,0,1,0,0,0,0,1,10.9,10.9,0.0%,2021,9
10,Ryan Griffin (CHI),4,7,28,7,13,0,1,0,0,0,0,1,10.8,10.8,0.0%,2021,9
11,Hunter Henry (NE),2,3,19,9.5,12,0,1,0,0,0,0,1,8.9,8.9,34.7%,2021,9
12,Jared Cook (FA),4,4,48,12,23,1,0,0,0,0,0,1,8.8,8.8,0.0%,2021,9
13,David Njoku (CLE),1,3,18,18,18,0,1,0,0,0,0,1,8.3,8.3,82.4%,2021,9
14,Dan Arnold (JAC),4,7,60,15,28,1,0,0,0,0,0,1,8,8,0.1%,2021,9
15,Kyle Pitts (ATL),3,7,62,20.7,39,2,0,0,0,0,0,1,7.7,7.7,38.9%,2021,9
16,Tyler Higbee (LAR),5,10,51,10.2,26,1,0,0,0,0,0,1,7.6,7.6,74.0%,2021,9
17,Dalton Schultz (DAL),4,5,54,13.5,20,1,0,0,0,0,0,1,7.4,7.4,94.4%,2021,9
18,Mike Gesicki (MIA),4,8,54,13.5,18,0,0,0,0,0,0,1,7.4,7.4,34.9%,2021,9
19,Tyler Conklin (NYJ),5,7,45,9,18,0,0,0,0,0,0,1,7,7,33.2%,2021,9
20,Mark Andrews (BAL),5,10,44,8.8,13,0,0,0,0,0,0,1,6.9,6.9,99.3%,2021,9
21,Adam Trautman (NO),4,7,47,11.8,25,1,0,0,0,0,0,1,6.7,6.7,0.4%,2021,9
22,Jack Doyle (FA),1,2,1,1,1,0,1,0,0,0,0,1,6.6,6.6,2.0%,2021,9
23,Dallas Goedert (PHI),3,6,43,14.3,21,1,0,0,0,0,0,1,5.8,5.8,91.9%,2021,9
24,Drew Sample (CIN),3,3,36,12,19,0,0,0,0,0,0,1,5.1,5.1,0.0%,2021,9
25,Tyler Kroft (SF),2,3,38,19,26,1,0,0,0,0,0,1,4.8,4.8,0.0%,2021,9
26,Albert Okwuegbunam (DEN),4,5,25,6.3,17,0,0,0,0,0,0,1,4.5,4.5,6.1%,2021,9
27,C.J. Uzomah (NYJ),4,5,24,6,12,0,0,0,0,0,0,1,4.4,4.4,0.4%,2021,9
28,Zach Ertz (ARI),3,5,27,9,17,0,0,0,0,0,0,1,4.2,4.2,30.9%,2021,9
29,Kyle Rudolph (TB),4,5,20,5,9,0,0,0,0,0,0,1,4,4,0.6%,2021,9
30,Durham Smythe (MIA),2,2,27,13.5,21,1,0,0,0,0,0,1,3.7,3.7,0.1%,2021,9
31,Harrison Bryant (CLE),2,2,26,13,21,1,0,0,0,0,0,1,3.6,3.6,1.6%,2021,9
32,Jimmy Graham (FA),1,3,28,28,28,1,0,0,0,0,0,1,3.3,3.3,0.0%,2021,9
