Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
49,Adam Shaheen (MIA),12,22,150,12.5,43,4,3,0,0,0,0,16,39,2.4,0.0%,2020
67,Adam Shaheen (MIA),12,16,110,9.2,21,1,0,0,0,0,0,9,17,1.9,0.0%,2021
84,Adam Shaheen (MIA),9,13,74,8.2,18,0,0,0,0,0,1,8,11.9,1.5,0.0%,2019
39,Adam Trautman (NO),27,43,263,9.7,32,3,2,0,0,0,1,11,49.8,4.5,0.4%,2021
52,Adam Trautman (NO),17,21,189,11.1,22,2,1,0,0,0,0,12,33.4,2.8,0.4%,2022
57,Adam Trautman (NO),15,16,171,11.4,41,4,1,0,0,0,0,15,30.6,2,0.4%,2020
142,Alan Cross (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
29,Albert Okwuegbunam (DEN),33,40,330,10,64,6,2,0,0,0,1,14,59.5,4.3,6.1%,2021
63,Albert Okwuegbunam (DEN),11,15,121,11,27,1,1,0,0,0,0,4,23.6,5.9,6.1%,2020
65,Albert Okwuegbunam (DEN),10,17,95,9.5,25,1,1,0,0,0,0,5,20.5,4.1,6.1%,2022
146,Alex Ellis (FA),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2019
67,Andrew Beck (DEN),9,12,90,10,29,1,1,1,3,0,0,16,20,1.3,0.0%,2019
88,Andrew Beck (DEN),5,9,69,13.8,27,2,0,2,0,0,0,8,9.4,1.2,0.0%,2022
124,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.0%,2020
133,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021
160,Andrew DePaola (MIN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
150,Andrew DePaola (MIN),0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.0%,2020
144,Andrew DePaola (MIN),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0%,2021
184,Andrew DePaola (MIN),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2022
30,Anthony Firkser (ATL),39,53,387,9.9,45,6,1,0,0,0,0,16,64.2,4,0.0%,2020
31,Anthony Firkser (ATL),34,43,291,8.6,24,1,2,0,0,0,1,15,56.1,3.7,0.0%,2021
48,Anthony Firkser (ATL),14,24,204,14.6,39,6,1,0,0,0,0,15,33.4,2.2,0.0%,2019
83,Anthony Firkser (ATL),8,12,89,11.1,22,1,0,0,0,0,0,7,12.9,1.8,0.0%,2022
137,Antonio Gandy-Golden (FA),1,7,3,3,3,0,0,1,22,0,0,6,0,0,0.0%,2020
122,Antonio Gandy-Golden (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021
133,Antonio Gates (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019
77,Antony Auclair (FA),5,5,47,9.4,15,0,1,0,0,0,0,4,13.2,3.3,0.0%,2021
109,Antony Auclair (FA),1,3,11,11,11,0,0,0,0,0,0,8,1.6,0.2,0.0%,2019
155,Antony Auclair (FA),0,1,0,0,0,0,0,0,0,0,0,8,0,0,0.0%,2020
86,Armani Rogers (WAS),5,6,64,12.8,23,1,0,1,24,0,0,8,11.3,1.4,0.0%,2022
155,Austin Allen (GB),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2022
6,Austin Hooper (TEN),75,97,787,10.5,35,11,6,0,0,0,0,13,154.2,11.9,12.7%,2019
21,Austin Hooper (TEN),46,70,435,9.5,36,4,4,0,0,0,0,13,90.5,7,12.7%,2020
24,Austin Hooper (TEN),38,61,345,9.1,34,5,3,0,0,0,0,15,73.5,4.9,12.7%,2021
24,Austin Hooper (TEN),37,56,406,11,24,2,2,0,0,0,0,16,71.1,4.4,12.7%,2022
165,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.2%,2019
146,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.2%,2020
185,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.2%,2022
77,Ben Braunecker (FA),6,11,59,9.8,18,0,1,0,0,0,0,11,14.9,1.4,0.0%,2019
100,Ben Ellefson (MIN),3,3,26,8.7,12,0,0,0,0,0,0,2,4.1,2.1,0.0%,2022
101,Ben Ellefson (MIN),1,4,10,10,10,0,0,0,0,0,0,7,3.5,0.5,0.0%,2020
123,Ben Ellefson (MIN),0,1,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2021
110,Ben Koyack (FA),1,3,9,9,9,0,0,0,0,0,0,12,1.4,0.1,0.0%,2019
162,Ben Mason (BAL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2022
56,Benjamin Watson (FA),17,24,173,10.2,26,3,0,0,0,0,0,10,25.8,2.6,2.8%,2019
75,Blake Bell (KC),11,15,110,10,24,1,0,1,2,0,0,16,16.7,1,0.0%,2020
75,Blake Bell (KC),9,13,87,9.7,24,2,0,4,10,0,0,12,14.2,1.2,0.0%,2021
87,Blake Bell (KC),8,15,67,8.4,30,2,0,0,0,0,0,15,10.7,0.7,0.0%,2019
89,Blake Bell (KC),1,1,17,17,17,0,1,0,0,0,0,1,8.2,8.2,0.0%,2022
28,Blake Jarwin (FA),31,41,365,11.8,42,11,3,0,0,0,0,16,70,4.4,4.0%,2019
