Round,Rank,Pos,Player,PosRank,Role,Score2022,Score2021,Score2020,Score2019,Score,ValueFactor,AdjValue
1,6,TE,Travis Kelce (KC),TE1,TE1,21.385,18.218,24.541,18.999,20.79,5,103.948
4,36,TE,Mark Andrews (BAL),TE2,TE1,13.337,19.012,13.292,14.472,14.808,5,74.041
5,46,TE,George Kittle (SF),TE3,TE1,12.719,13.495,14.958,18.642,13.433,5,67.166
6,60,TE,T.J. Hockenson (MIN),TE4,TE1,13.146,12.97,11.782,4.575,12.537,5,62.684
7,67,TE,Darren Waller (LV),TE5,TE1,10.06,13.115,18.187,14.644,11.866,5,59.328
8,71,TE,Zach Ertz (ARI),TE6,TE1,12.802,10.575,6.278,15.255,11.715,5,58.577
8,74,TE,Dallas Goedert (PHI),TE7,TE1,12.131,10.673,9.974,9.609,11.425,5,57.124
9,81,TE,Pat Freiermuth (PIT),TE8,TE1,11.235,9.514,0,0,10.729,5,53.644
9,82,TE,Dalton Schultz (DAL),TE9,TE1,10.148,12.858,8.674,0,10.706,5,53.529
12,119,TE,Tyler Higbee (LAR),TE10,TE1,8.653,9.842,6.864,10.126,8.845,5,44.223
13,122,TE,Taysom Hill (NO),TE11,TE2,8.648,0,0,0,8.648,5,43.238
13,123,TE,Dawson Knox (BUF),TE12,TE2,8.551,11.49,3.623,3.069,8.519,5,42.595
13,127,TE,Evan Engram (JAC),TE13,TE2,9.236,5.134,9.06,13.432,8.402,5,42.012
14,132,TE,Gerald Everett (LAC),TE14,TE2,10.013,6.44,3.969,5.299,8.279,5,41.396
15,144,TE,Kyle Pitts (ATL),TE15,TE2,6.851,10.208,0,0,7.838,5,39.19
15,145,TE,Greg Dulcich (DEN),TE16,TE2,7.824,0,0,0,7.824,5,39.12
15,150,TE,Juwan Johnson (NO),TE17,TE2,7.703,0,0,0,7.703,5,38.514
NA,163,TE,David Njoku (CLE),TE18,TE2,9.041,5.123,0,0.035,7.453,5,37.263
NA,167,TE,Tyler Conklin (NYJ),TE19,TE2,7.307,7.64,0,0,7.405,5,37.024
NA,178,TE,Noah Fant (SEA),TE20,TE2,5.787,9.64,10.131,5.099,7.15,5,35.752
NA,179,TE,Hunter Henry (NE),TE21,Depth,4.821,9.893,11.074,13.316,7.139,5,35.696
NA,193,TE,Logan Thomas (WAS),TE22,Depth,4.602,10.044,11.358,0,6.745,5,33.725
NA,226,TE,Cole Kmet (CHI),TE23,Depth,6.907,6.05,0.436,0,6,5,30.001
NA,231,TE,Hayden Hurst (CIN),TE24,Depth,6.836,2.488,9.121,0,5.933,5,29.664
NA,242,TE,Mike Gesicki (MIA),TE25,Depth,3.043,9.684,9.658,7.502,5.588,5,27.938
NA,245,TE,Robert Tonyan (GB),TE26,Depth,5.351,4.199,10.208,0,5.559,5,27.797
NA,262,TE,Irv Smith Jr. (MIN),TE27,Depth,5.453,0,5.326,1.97,5.204,5,26.018
NA,267,TE,Daniel Bellinger (NYG),TE28,Depth,5.077,0,0,0,5.077,5,25.383
NA,280,TE,Foster Moreau (LV),TE29,Depth,5.27,2.897,0,0,4.572,5,22.861
NA,284,TE,Maxx Williams (ARI),TE30,Depth,0,5.463,0,0,4.479,5,22.397
NA,289,TE,Austin Hooper (TEN),TE31,Depth,2.696,4.28,8.509,16.394,4.358,5,21.792
NA,291,TE,Dan Arnold (JAC),TE32,Depth,0,5.661,4.075,0,4.271,5,21.353
NA,293,TE,Jelani Woods (IND),TE33,Depth,4.218,0,0,0,4.218,5,21.09
NA,294,TE,Will Dissly (SEA),TE34,Depth,3.61,0,0,11.055,4.183,5,20.913
NA,295,TE,James O'Shaughnessy (MIN),TE35,Depth,0,6.315,0.449,8.07,4.156,5,20.78
NA,296,TE,C.J. Uzomah (NYJ),TE36,Depth,0,5.982,0,0.371,4.138,5,20.69
NA,297,TE,Cade Otton (TB),TE37,Depth,4.082,0,0,0,4.082,5,20.408
NA,301,TE,Isaiah Likely (BAL),TE38,Depth,3.782,0,0,0,3.782,5,18.911
NA,306,TE,Albert Okwuegbunam (DEN),TE39,Depth,3.98,2.464,4.936,0,3.682,5,18.409
NA,308,TE,Trey McBride (ARI),TE40,Depth,3.63,0,0,0,3.63,5,18.152
NA,318,TE,Jordan Akins (HOU),TE41,Depth,4.358,0.22,4.963,3.377,3.335,5,16.674
NA,329,TE,Chigoziem Okonkwo (TEN),TE42,Depth,2.872,0,0,0,2.872,5,14.361
NA,333,TE,Adam Trautman (NO),TE43,Depth,0,3.376,0,0,2.768,5,13.841
NA,343,TE,Colby Parkinson (SEA),TE44,Depth,2.61,0,0,0,2.61,5,13.051
NA,345,TE,Kylen Granson (IND),TE45,Depth,2.583,0,0,0,2.583,5,12.915
NA,350,TE,Jonnu Smith (NE),TE46,Depth,1.802,1.203,7.948,3.897,2.372,5,11.859
NA,363,TE,Cameron Brate (TB),TE47,Depth,1.373,2.804,0,3.399,1.883,5,9.417
NA,364,TE,Ryan Griffin (CHI),TE48,Depth,0,1.774,0,4.894,1.881,5,9.407
NA,370,TE,Kyle Rudolph (TB),TE49,Depth,0,1.236,3.065,4.909,1.765,5,8.825
NA,372,TE,Harrison Bryant (CLE),TE50,Depth,1.916,0,0.418,0,1.702,5,8.512
NA,376,TE,Mo Alie-Cox (IND),TE51,Depth,0,1.631,2.71,0,1.59,5,7.951
NA,390,TE,Anthony Firkser (ATL),TE52,Depth,0,1.391,2.112,0,1.309,5,6.546
NA,394,TE,Brevin Jordan (HOU),TE53,Depth,-0.423,5.244,0,0,1.244,5,6.219
NA,396,TE,Durham Smythe (MIA),TE54,Depth,0,1.491,0,0,1.223,5,6.114
NA,401,TE,Tyler Kroft (SF),TE55,Depth,0,1.246,0,0,1.021,5,5.107
NA,407,TE,Tanner Hudson (CIN),TE56,Depth,0.785,0,0,0,0.785,5,3.924
NA,411,TE,Geoff Swaim (TEN),TE57,Depth,0,0.876,0,-0.311,0.556,5,2.781
NA,427,TE,Zach Gentry (PIT),TE58,Depth,0,-0.017,0,0,-0.014,5,-0.068
NA,439,TE,Pharaoh Brown (CLE),TE59,Depth,0,-0.634,0,0,-0.52,5,-2.598
