Round,Rank,Pos,Player,PosRank,Role,Score2022,Score2021,Score2020,Score2019,Score,ValueFactor,AdjValue
1,1,RB,Christian McCaffrey (SF),RB1,RB1,22.253,16.182,28.121,29.986,21.708,5,108.542
1,2,RB,Austin Ekeler (LAC),RB2,RB1,22.936,21.927,14.951,17.716,21.624,5,108.122
1,3,RB,Derrick Henry (TEN),RB3,RB1,20.811,23.235,21.431,20.718,21.474,5,107.371
1,4,WR,Cooper Kupp (LAR),WR1,WR1,19.993,24.924,9.056,12.75,19.77,5,98.849
1,5,WR,Davante Adams (LV),WR2,WR1,18.027,18.267,21.98,14.929,18.328,5,91.639
1,6,RB,Josh Jacobs (LV),RB4,RB1,19.959,15.531,14.98,14.904,18.101,5,90.505
1,7,WR,Justin Jefferson (MIN),WR3,WR1,18.256,16.57,13.464,0,17.308,5,86.54
1,8,TE,Travis Kelce (KC),TE1,TE1,17.664,14.53,21.45,15.101,17.131,5,85.655
1,9,RB,Nick Chubb (CLE),RB5,RB1,16.707,15.801,18.963,15.777,16.66,5,83.299
1,10,WR,Tyreek Hill (MIA),WR4,WR1,18.02,12.281,18.995,12.478,16.406,5,82.029
2,11,RB,Dalvin Cook (MIN),RB6,RB1,14.115,16.211,25.993,22.655,16.254,5,81.268
2,12,RB,Jonathan Taylor (IND),RB7,RB1,12.787,22.722,16.098,0,15.749,5,78.747
2,13,RB,Saquon Barkley (NYG),RB8,RB1,18.267,8.166,0,18.426,15.469,5,77.347
2,14,RB,James Conner (ARI),RB9,RB1,15.567,16.443,11.522,13.002,15.253,5,76.267
2,15,RB,Breece Hall (NYJ),RB10,RB1,15.191,0,0,0,15.191,5,75.955
2,16,RB,Alvin Kamara (NO),RB11,RB2,11.994,18.812,24.242,16.789,15.163,5,75.816
2,17,RB,Najee Harris (PIT),RB12,RB2,13.419,18.586,0,0,14.938,5,74.691
2,18,RB,Ezekiel Elliott (DAL),RB13,RB2,14.089,14.565,14.645,21.662,14.642,5,73.212
2,19,RB,Aaron Jones (GB),RB14,RB2,13.802,13.803,18.687,18.284,14.515,5,72.573
2,20,WR,Stefon Diggs (BUF),WR5,WR1,13.857,14.114,17.291,9.1,14.027,5,70.133
3,21,RB,Joe Mixon (CIN),RB15,RB2,12.138,18.398,13.116,13.752,13.882,5,69.408
3,22,RB,D'Andre Swift (DET),RB16,RB2,13.005,15.482,13.033,0,13.659,5,68.297
3,23,QB,Patrick Mahomes II (KC),QB1,QB1,29.259,22.243,26.901,21.643,26.888,2.5,67.221
3,24,WR,A.J. Brown (PHI),WR6,WR1,14.984,9.639,15.347,9.583,13.414,5,67.069
3,25,WR,Ja'Marr Chase (CIN),WR7,WR1,13.366,13.487,0,0,13.402,5,67.008
3,26,RB,Leonard Fournette (TB),RB17,RB2,12.642,16.952,6.688,16.957,13.34,5,66.699
3,27,QB,Jalen Hurts (PHI),QB2,QB1,29.715,22.762,16.708,0,26.516,2.5,66.291
3,28,WR,CeeDee Lamb (DAL),WR8,WR1,14.383,10.339,9.704,0,12.826,5,64.13
3,29,WR,DeAndre Hopkins (ARI),WR9,WR1,12.573,12.248,14.677,14.437,12.795,5,63.976
3,30,RB,Kenneth Walker III (SEA),RB18,RB2,12.52,0,0,0,12.52,5,62.599
4,31,WR,Chris Godwin (TB),WR10,WR1,11.617,13.689,11.871,15.777,12.368,5,61.84
4,32,RB,Dameon Pierce (HOU),RB19,RB2,12.326,0,0,0,12.326,5,61.632
4,33,WR,Deebo Samuel (SF),WR11,WR2,10.136,20.517,6.112,8.517,12.248,5,61.239
4,34,RB,Cordarrelle Patterson (ATL),RB20,RB2,11.829,12.958,0,0,12.161,5,60.804
4,35,WR,Mike Evans (TB),WR12,WR2,11.654,13.271,11.852,12.971,12.144,5,60.719
4,36,RB,Travis Etienne Jr. (JAC),RB21,RB3,12.115,0,0,0,12.115,5,60.576
4,37,RB,Tony Pollard (DAL),RB22,RB3,15.759,8.839,3.223,2.068,12.091,5,60.455
4,38,TE,Mark Andrews (BAL),TE2,TE1,10.716,15.469,10.541,12.093,11.955,5,59.777
4,39,WR,Keenan Allen (LAC),WR13,WR2,11.24,12.9,13.966,11.736,11.952,5,59.761
4,40,QB,Josh Allen (BUF),QB3,QB1,22.984,25.397,26.323,18.635,23.704,2.5,59.259
5,41,QB,Joe Burrow (CIN),QB4,QB1,25.291,20.566,16.731,0,23.146,2.5,57.866
5,42,QB,Kyler Murray (ARI),QB5,QB1,23.007,23.099,24.39,18.906,22.963,2.5,57.409
5,43,RB,Rhamondre Stevenson (NE),RB23,RB3,13.274,6.768,0,0,11.36,5,56.801
5,44,RB,Antonio Gibson (WAS),RB24,RB3,9.63,14.643,13.479,0,11.354,5,56.772
5,45,RB,Miles Sanders (PHI),RB25,RB3,12.05,8.468,13.847,11.884,11.326,5,56.629
5,46,RB,David Montgomery (CHI),RB26,RB3,9.283,13.49,18.073,9.635,11.232,5,56.158
5,47,WR,Amari Cooper (CLE),WR14,WR2,12.229,8.953,10.89,10.916,11.21,5,56.052
5,48,QB,Lamar Jackson (BAL),QB6,QB1,20.789,22.996,25.11,30.823,22.275,2.5,55.687
5,49,RB,Jamaal Williams (DET),RB27,RB3,13.755,7.279,5.813,7.804,11.045,5,55.223
5,50,WR,Jaylen Waddle (MIA),WR15,WR2,11.087,10.861,0,0,11.02,5,55.102
6,51,WR,Amon-Ra St. Brown (DET),WR16,WR2,11.823,9.059,0,0,11.01,5,55.048
6,52,TE,George Kittle (SF),TE3,TE1,10.552,10.831,11.611,14.582,10.929,5,54.646
6,53,WR,Tee Higgins (CIN),WR17,WR2,11.122,11.359,8.09,0,10.865,5,54.326
6,54,DST,New England Patriots (NE),DST1,DST1,12.36,8.561,5.54,14.32,10.826,5,54.132
6,55,WR,Michael Thomas (NO),WR18,WR2,10.664,0,6.224,20.775,10.746,5,53.731
6,56,WR,Tyler Lockett (SEA),WR19,WR2,10.104,11.192,10.55,9.892,10.41,5,52.049
6,57,WR,Mike Williams (LAC),WR20,WR2,10.887,11.339,5.537,7.08,10.275,5,51.375
6,58,DST,Dallas Cowboys (DAL),DST2,DST1,11.291,11.075,3.331,5.629,10.158,5,50.79
6,59,TE,Darren Waller (LV),TE4,TE1,8.473,10.659,14.649,11.551,9.791,5,48.955
6,60,QB,Justin Herbert (LAC),QB7,QB1,17.16,23.718,23.718,0,19.576,2.5,48.94
7,61,QB,Geno Smith (SEA),QB8,QB1,19.532,0,0,0,19.532,2.5,48.831
7,62,QB,Dak Prescott (DAL),QB9,QB1,18.252,20.481,23.111,22.936,19.529,2.5,48.823
