Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
8,A.J. Brown (PHI),10,11,151,15.1,52,6,1,0,0,0,0,1,26.1,26.1,99.9%,2020,17
4,A.J. Brown (PHI),6,8,153,25.5,73,6,1,0,0,0,0,1,24.3,24.3,99.9%,2020,7
4,A.J. Brown (PHI),4,6,98,24.5,69,4,1,0,0,0,0,1,23.8,23.8,99.9%,2020,12
8,A.J. Brown (PHI),7,9,112,16,37,2,1,0,0,0,0,1,20.7,20.7,99.9%,2020,14
5,A.J. Brown (PHI),5,7,58,11.6,18,0,2,0,0,0,0,1,20.3,20.3,99.9%,2020,6
17,A.J. Brown (PHI),4,9,101,25.3,40,5,1,0,0,0,0,1,18.1,18.1,99.9%,2020,9
12,A.J. Brown (PHI),7,9,82,11.7,16,0,1,0,0,0,0,1,17.7,17.7,99.9%,2020,5
20,A.J. Brown (PHI),4,7,62,15.5,25,1,1,0,0,0,0,1,14.2,14.2,99.9%,2020,11
23,A.J. Brown (PHI),5,6,44,8.8,14,0,1,0,0,0,0,1,12.9,12.9,99.9%,2020,15
34,A.J. Brown (PHI),4,7,24,6,9,0,1,0,0,0,0,1,10.4,10.4,99.9%,2020,8
49,A.J. Brown (PHI),4,7,87,21.8,40,3,0,0,0,0,1,1,8.7,8.7,99.9%,2020,13
59,A.J. Brown (PHI),5,8,39,7.8,12,0,0,0,0,0,0,1,6.4,6.4,99.9%,2020,1
53,A.J. Brown (PHI),4,8,43,10.8,12,0,0,0,0,0,0,1,6.3,6.3,99.9%,2020,16
77,A.J. Brown (PHI),1,4,21,21,21,1,0,0,0,0,0,1,2.6,2.6,99.9%,2020,10
17,A.J. Green (ARI),6,7,62,10.3,16,0,1,0,0,0,0,1,15.2,15.2,1.7%,2020,14
17,A.J. Green (ARI),8,11,96,12,19,0,0,0,0,0,0,1,13.6,13.6,1.7%,2020,6
27,A.J. Green (ARI),4,9,41,10.3,19,0,1,0,0,0,0,1,12.1,12.1,1.7%,2020,11
33,A.J. Green (ARI),7,13,82,11.7,22,1,0,0,0,0,0,1,11.7,11.7,1.7%,2020,7
41,A.J. Green (ARI),4,7,64,16,33,2,0,0,0,0,0,1,8.4,8.4,1.7%,2020,16
47,A.J. Green (ARI),5,9,51,10.2,14,0,0,0,0,0,0,1,7.6,7.6,1.7%,2020,1
57,A.J. Green (ARI),5,6,36,7.2,12,0,0,0,0,0,0,1,6.1,6.1,1.7%,2020,3
68,A.J. Green (ARI),2,3,40,20,30,2,0,0,0,0,0,1,5,5,1.7%,2020,15
89,A.J. Green (ARI),3,13,29,9.7,15,0,0,0,0,0,0,1,4.4,4.4,1.7%,2020,2
73,A.J. Green (ARI),2,5,19,9.5,13,0,0,0,0,0,0,1,2.9,2.9,1.7%,2020,8
107,A.J. Green (ARI),1,5,3,3,3,0,0,0,0,0,0,1,0.8,0.8,1.7%,2020,4
125,A.J. Green (ARI),0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.7%,2020,5
128,A.J. Green (ARI),0,5,0,0,0,0,0,0,0,0,0,1,0,0,1.7%,2020,10
141,A.J. Green (ARI),0,3,0,0,0,0,0,0,0,0,0,1,0,0,1.7%,2020,12
135,A.J. Green (ARI),0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.7%,2020,13
146,A.J. Green (ARI),0,6,0,0,0,0,0,0,0,0,0,1,0,0,1.7%,2020,17
13,Adam Humphries (FA),6,6,64,10.7,22,1,1,0,0,0,0,1,15.4,15.4,1.0%,2020,6
22,Adam Humphries (FA),5,6,48,9.6,18,0,1,0,0,0,0,1,13.3,13.3,1.0%,2020,2
44,Adam Humphries (FA),6,7,47,7.8,10,0,0,0,0,0,0,1,7.7,7.7,1.0%,2020,1
59,Adam Humphries (FA),4,7,41,10.3,23,1,0,1,0,0,0,1,6.1,6.1,1.0%,2020,3
80,Adam Humphries (FA),1,3,19,19,19,0,0,0,0,0,0,1,2.4,2.4,1.0%,2020,7
100,Adam Humphries (FA),1,4,9,9,9,0,0,0,0,0,0,1,1.4,1.4,1.0%,2020,13
141,Adam Humphries (FA),0,2,0,0,0,0,0,0,0,0,0,1,0,0,1.0%,2020,8
