Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
1,Davante Adams (LV),115,149,"1,374",11.9,56,34,18,0,0,0,1,14,300.9,21.5,100.0%,2020
2,Tyreek Hill (MIA),87,135,"1,276",14.7,75,38,15,13,123,2,0,15,285.4,19,100.0%,2020
3,Stefon Diggs (BUF),127,166,"1,535",12.1,55,32,8,1,1,0,0,16,265.1,16.6,100.0%,2020
4,Calvin Ridley (JAC),90,143,"1,374",15.3,63,36,9,5,1,0,1,15,236.5,15.8,2.4%,2020
5,DeAndre Hopkins (ARI),115,160,"1,407",12.2,60,35,6,1,1,0,2,16,230.3,14.4,93.7%,2020
6,Justin Jefferson (MIN),88,125,"1,400",15.9,71,39,7,1,2,0,0,16,230.2,14.4,100.0%,2020
7,DK Metcalf (SEA),83,129,"1,303",15.7,62,37,10,0,0,0,1,16,229.8,14.4,98.6%,2020
8,Adam Thielen (MIN),74,108,925,12.5,51,18,14,3,15,0,0,15,217,14.5,89.3%,2020
9,Tyler Lockett (SEA),100,132,"1,054",10.5,47,17,10,0,0,0,0,16,215.4,13.5,91.8%,2020
10,Mike Evans (TB),70,109,"1,006",14.4,50,29,13,0,0,0,0,16,213.6,13.4,98.6%,2020
11,A.J. Brown (PHI),70,106,"1,075",15.4,73,28,11,0,0,0,1,14,212.5,15.2,99.9%,2020
12,Allen Robinson II (LAR),102,151,"1,250",12.3,42,27,6,1,-1,0,0,16,211.9,13.2,33.8%,2020
13,Robert Woods (TEN),90,129,936,10.4,56,19,6,24,155,2,1,16,200.1,12.5,41.8%,2020
14,Keenan Allen (LAC),100,147,992,9.9,28,10,8,1,-1,0,2,14,195.1,13.9,98.9%,2020
15,Brandin Cooks (HOU),81,119,"1,150",14.2,57,32,6,0,0,0,0,15,191.5,12.8,66.0%,2020
16,Amari Cooper (CLE),92,130,"1,114",12.1,69,26,5,6,14,0,0,16,190.8,11.9,96.3%,2020
17,Marvin Jones Jr. (JAC),76,115,978,12.9,43,23,9,0,0,0,0,16,189.8,11.9,12.8%,2020
18,JuJu Smith-Schuster (KC),97,128,831,8.6,31,14,9,0,0,0,1,16,185.6,11.6,94.1%,2020
19,Chase Claypool (CHI),62,109,873,14.1,84,26,9,10,16,2,1,16,183.9,11.5,44.9%,2020
20,CeeDee Lamb (DAL),74,111,935,12.6,52,29,5,10,82,1,1,16,180.7,11.3,99.9%,2020
21,Terry McLaurin (WAS),87,134,"1,118",12.9,68,28,4,2,30,0,1,15,180.3,12,97.6%,2020
22,DJ Moore (CAR),66,118,"1,193",18.1,74,39,4,2,22,0,0,15,178.5,11.9,94.0%,2020
23,Diontae Johnson (PIT),88,144,923,10.5,47,19,7,3,15,0,1,15,177.8,11.9,86.8%,2020
24,Robbie Anderson (ARI),95,136,"1,096",11.5,75,25,3,4,15,0,1,16,176.6,11,6.6%,2020
25,Curtis Samuel (WAS),77,97,851,11.1,44,16,3,41,200,2,0,15,173.6,11.6,58.3%,2020
26,Cole Beasley (BUF),82,107,967,11.8,35,17,4,0,0,0,0,15,166.5,11.1,0.9%,2020
27,Cooper Kupp (LAR),92,124,974,10.6,55,20,3,4,33,0,1,15,162.7,10.8,77.5%,2020
28,William Fuller V (FA),53,75,879,16.6,77,28,8,1,0,0,0,11,162.4,14.8,0.1%,2020
29,Nelson Agholor (NE),48,82,896,18.7,85,30,8,0,0,0,0,16,161.6,10.1,3.3%,2020
30,Tee Higgins (CIN),67,108,908,13.6,67,22,6,5,28,0,1,16,161.1,10.1,99.2%,2020
31,Corey Davis (NYJ),65,92,984,15.1,75,24,5,0,0,0,1,14,158.9,11.4,16.1%,2020
32,Chris Godwin (TB),65,84,840,12.9,47,23,7,0,0,0,0,12,158.5,13.2,96.3%,2020
33,Brandon Aiyuk (SF),60,96,748,12.5,49,14,5,6,77,2,0,12,154.5,12.9,91.8%,2020
34,Marquise Brown (ARI),58,100,769,13.3,70,25,8,1,1,0,0,16,154,9.6,85.3%,2020
35,Tyler Boyd (CIN),79,110,841,10.6,72,10,4,5,49,0,0,15,153.1,10.2,71.8%,2020
36,Jarvis Landry (NO),72,101,840,11.7,32,13,3,4,10,1,0,15,152,10.1,19.0%,2020
37,Russell Gage (TB),72,109,786,10.9,35,7,4,2,9,0,0,16,145.1,9.1,19.1%,2020
38,Michael Gallup (DAL),59,105,843,14.3,55,21,5,0,0,0,0,16,143.8,9,61.9%,2020
39,Jamison Crowder (BUF),59,89,699,11.8,69,17,6,1,14,0,0,12,142.5,11.9,1.3%,2020
40,T.Y. Hilton (DAL),56,93,762,13.6,50,18,5,0,0,0,0,15,136.2,9.1,2.7%,2020
41,Tim Patrick (DEN),51,79,742,14.5,61,26,6,0,0,0,0,15,135.7,9,0.7%,2020
42,DeVante Parker (NE),63,103,793,12.6,31,11,4,0,0,0,0,14,134.8,9.6,12.1%,2020
43,Emmanuel Sanders (FA),61,82,726,11.9,51,14,5,1,12,0,0,14,134.3,9.6,0.0%,2020
44,Jerry Jeudy (DEN),52,113,856,16.5,92,24,3,0,0,0,0,16,131.6,8.2,91.1%,2020
45,Mike Williams (LAC),48,85,756,15.8,64,21,5,1,1,0,0,15,129.7,8.6,96.0%,2020
46,Sterling Shepard (NYG),66,90,656,9.9,29,10,3,6,49,1,0,12,129.5,10.8,1.3%,2020
47,Laviska Shenault Jr. (CAR),58,79,600,10.3,36,12,5,18,91,0,0,14,128.1,9.2,0.8%,2020
48,Keelan Cole Sr. (LV),55,88,642,11.7,51,12,5,1,2,0,0,16,127.9,8,0.1%,2020
49,DJ Chark Jr. (DET),53,93,706,13.3,73,15,5,0,0,0,0,13,127.1,9.8,44.4%,2020
50,Christian Kirk (JAC),48,79,621,12.9,80,17,6,2,3,0,0,14,122.4,8.7,95.2%,2020
51,Darnell Mooney (CHI),61,98,631,10.3,53,13,4,4,20,0,0,16,121.6,7.6,35.1%,2020
52,Marquez Valdes-Scantling (KC),33,63,690,20.9,78,27,6,4,13,0,1,16,120.8,7.6,43.5%,2020
53,Julio Jones (TB),51,68,771,15.1,44,22,3,0,0,0,0,9,120.6,13.4,17.4%,2020
54,Gabe Davis (BUF),35,62,599,17.1,56,20,7,1,0,0,0,16,119.4,7.5,93.5%,2020
55,Darius Slayton (NYG),50,96,751,15,41,17,3,2,-1,0,1,16,116,7.3,52.5%,2020
56,Zach Pascal (PHI),44,71,629,14.3,42,16,5,0,0,0,0,16,114.9,7.2,0.1%,2020
57,Jakobi Meyers (NE),59,81,729,12.4,35,14,0,2,9,0,1,14,113.1,8.1,68.9%,2020
58,Mecole Hardman (KC),41,62,560,13.7,49,13,4,4,31,0,2,16,107.6,6.7,26.3%,2020
59,Greg Ward (PHI),53,79,419,7.9,32,4,6,2,-4,0,0,16,106.6,6.7,0.0%,2020
60,Kendrick Bourne (NE),49,74,667,13.6,49,9,2,0,0,0,0,15,105.2,7,1.6%,2020
61,Hunter Renfrow (LV),56,77,656,11.7,53,13,2,0,0,0,1,16,103.6,6.5,25.7%,2020
62,Rashard Higgins (CAR),37,52,599,16.2,43,18,4,0,0,0,0,13,102.4,7.9,0.1%,2020
63,David Moore (FA),35,47,417,11.9,57,14,6,8,61,0,0,16,101.3,6.3,0.0%,2020
64,Josh Reynolds (DET),52,81,618,11.9,40,10,2,1,5,0,1,16,98.3,6.1,6.1%,2020
65,Travis Fulgham (GB),38,67,539,14.2,42,11,4,0,0,0,0,13,96.9,7.5,0.0%,2020
66,Antonio Brown (FA),45,62,483,10.7,46,9,4,2,-2,0,0,8,94.6,11.8,0.4%,2020
67,Damiere Byrd (ATL),47,77,604,12.9,42,15,1,2,15,0,0,16,91.4,5.7,0.1%,2020
68,A.J. Green (ARI),47,104,523,11.1,33,5,2,0,0,0,0,16,87.8,5.5,1.7%,2020
69,Tre'Quan Smith (NO),34,50,448,13.2,31,10,4,1,3,0,0,14,86.1,6.2,0.5%,2020
70,Scotty Miller (TB),33,53,501,15.2,48,16,3,3,14,0,0,16,86,5.4,0.1%,2020
71,Demarcus Robinson (BAL),45,59,466,10.4,28,7,3,0,0,0,1,15,85.1,5.7,12.7%,2020
72,Isaiah McKenzie (BUF),30,34,282,9.4,46,5,5,10,9,0,0,16,84.6,5.3,30.3%,2020
73,James Washington (FA),30,56,392,13.1,50,9,5,0,0,0,0,16,84.2,5.3,0.3%,2020
74,Anthony Miller (PIT),49,76,485,9.9,34,5,2,2,12,0,1,16,84.2,5.3,0.0%,2020
75,Breshad Perriman (TB),30,60,505,16.8,53,19,3,1,6,0,0,12,84.1,7,0.2%,2020
76,Danny Amendola (FA),46,69,602,13.1,50,13,0,1,2,0,0,14,83.4,6,0.0%,2020
77,Jalen Guyton (LAC),28,55,511,18.3,72,18,3,2,0,0,0,16,83.1,5.2,0.1%,2020
78,Allen Lazard (GB),33,46,451,13.7,72,13,3,2,17,0,0,10,81.3,8.1,85.5%,2020
79,Randall Cobb (GB),38,48,441,11.6,34,7,3,0,0,0,0,10,81.1,8.1,4.9%,2020
80,John Brown (BUF),33,52,458,13.9,46,12,3,0,0,0,0,9,80.3,8.9,0.0%,2020
81,Michael Pittman Jr. (IND),40,61,503,12.6,45,10,1,3,26,0,0,13,78.9,6.1,96.4%,2020
82,Braxton Berrios (NYJ),37,55,394,10.6,43,10,3,3,29,0,0,16,78.8,4.9,1.0%,2020
83,Willie Snead IV (SF),33,48,432,13.1,34,10,3,0,0,0,0,13,77.7,6,0.0%,2020
84,Chris Conley (TEN),40,63,471,11.8,51,9,2,0,0,0,1,15,77.1,5.1,0.1%,2020
85,Odell Beckham Jr. (FA),23,43,319,13.9,43,6,3,3,72,1,0,7,75.3,10.8,14.7%,2020
86,KJ Hamler (DEN),30,56,381,12.7,49,9,3,9,40,0,0,13,75.1,5.8,0.9%,2020
87,Larry Fitzgerald (FA),54,72,409,7.6,18,0,1,0,0,0,0,13,73.9,5.7,0.2%,2020
88,Jalen Reagor (MIN),31,54,396,12.8,55,9,1,4,26,0,0,11,71.7,6.5,0.1%,2020
89,Henry Ruggs III (FA),26,43,452,17.4,72,18,2,9,49,0,2,13,71.1,5.5,10.9%,2020
90,Keke Coutee (IND),33,40,400,12.1,64,8,3,0,0,0,3,8,70.5,8.8,0.0%,2020
91,Cam Sims (WAS),32,48,477,14.9,50,18,1,1,5,0,0,16,70.2,4.4,0.0%,2020
92,Sammy Watkins (BAL),37,55,421,11.4,37,5,2,1,3,0,1,10,69.9,7,2.3%,2020
93,Tyron Johnson (CIN),20,26,398,19.9,55,19,3,3,17,0,0,12,69.5,5.8,0.0%,2020
94,Jakeem Grant Sr. (CLE),36,54,373,10.4,30,4,1,3,20,0,0,14,69.3,5,0.0%,2020
95,Golden Tate (FA),35,52,388,11.1,39,8,2,0,0,0,0,12,69,5.8,0.0%,2020
96,Preston Williams (CAR),18,35,288,16,47,10,4,0,0,0,0,8,65.8,8.2,0.0%,2020
97,Deebo Samuel (SF),33,44,391,11.8,35,10,1,8,26,0,0,7,64.2,9.2,93.9%,2020
98,Michael Thomas (NO),40,55,438,11,24,5,0,1,1,0,0,7,63.9,9.1,25.9%,2020
99,Miles Boykin (PIT),19,33,266,14,43,6,4,0,0,0,0,16,60.1,3.8,0.0%,2020
100,N'Keal Harry (CHI),33,57,309,9.4,30,3,2,2,0,0,1,14,57.4,4.1,0.1%,2020
101,Quintez Cephus (DET),20,35,349,17.5,49,12,2,0,0,0,0,13,56.9,4.4,0.1%,2020
102,Kenny Golladay (NYG),20,32,338,16.9,48,7,2,0,0,0,0,5,55.8,11.2,6.8%,2020
103,Richie James Jr. (NYG),23,35,394,17.1,47,15,1,0,0,0,2,11,52.9,4.8,11.1%,2020
104,Donovan Peoples-Jones (CLE),14,20,304,21.7,75,9,2,0,0,0,0,12,51.4,4.3,53.1%,2020
105,Marvin Hall (FA),18,32,302,16.8,73,10,2,1,1,0,0,12,51.3,4.3,0.0%,2020
106,DaeSean Hamilton (FA),23,44,293,12.7,40,4,2,0,0,0,1,16,50.8,3.2,0.0%,2020
107,Collin Johnson (NYG),18,31,272,15.1,46,8,2,0,0,0,0,14,50.2,3.6,0.0%,2020
108,Denzel Mims (NYJ),23,44,357,15.5,30,7,0,0,0,0,0,9,49.2,5.5,0.1%,2020
109,Adam Humphries (FA),23,35,228,9.9,23,2,2,1,0,0,0,7,46.3,6.6,1.0%,2020
110,Julian Edelman (FA),21,39,315,15,49,6,0,2,22,0,0,6,45.7,7.6,12.1%,2020
111,Andy Isabella (BAL),21,35,224,10.7,54,6,2,1,-6,0,0,13,44.3,3.4,0.0%,2020
112,Steven Sims Jr. (PIT),27,37,265,9.8,30,4,1,1,18,0,2,12,43.8,3.7,0.3%,2020
113,Olamide Zaccheaus (ATL),20,32,274,13.7,51,7,1,1,0,0,0,11,43.4,3.9,0.8%,2020
114,Cedrick Wilson Jr. (MIA),17,28,189,11.1,42,6,2,3,-12,0,0,16,43.1,2.7,0.9%,2020
115,Devin Duvernay (BAL),20,26,201,10.1,39,2,0,4,70,0,0,16,43.1,2.7,28.0%,2020
116,Isaiah Ford (FA),28,44,276,9.9,18,0,0,0,0,0,0,10,41.6,4.2,0.0%,2020
117,Chad Beebe (FA),20,30,201,10.1,40,3,2,0,0,0,1,14,40.1,2.9,0.0%,2020
118,Lynn Bowden Jr. (NE),28,37,211,7.5,22,1,0,9,32,0,0,10,39.6,4,0.0%,2020
119,Chad Hansen (FA),17,24,236,13.9,38,4,1,0,0,0,0,5,38.1,7.6,0.0%,2020
120,DeSean Jackson (FA),14,26,236,16.9,81,6,1,1,12,0,0,5,37.8,7.6,0.9%,2020
121,Deonte Harty (NO),20,25,186,9.3,40,3,1,6,51,0,1,9,37.7,4.2,0.0%,2020
122,Van Jefferson (LAR),19,31,220,11.6,31,3,1,1,-1,0,0,16,37.4,2.3,21.0%,2020
123,Dontrelle Inman (FA),18,28,163,9.1,17,0,2,0,0,0,0,10,37.3,3.7,0.0%,2020
124,Mohamed Sanu Sr. (FA),17,24,187,11,21,3,1,1,3,0,0,10,35.5,3.6,0.0%,2020
125,Tyler Johnson (TB),12,17,169,14.1,35,5,2,0,0,0,0,14,34.9,2.5,0.0%,2020
126,Byron Pringle (CHI),13,17,160,12.3,37,5,1,0,0,0,0,12,34.5,2.9,0.2%,2020
127,Freddie Swain (DEN),13,21,159,12.2,23,3,2,0,0,0,0,16,34.4,2.2,0.0%,2020
128,Isaiah Wright (FA),27,35,197,7.3,22,1,0,3,16,0,1,14,32.8,2.3,0.0%,2020
129,Marcus Johnson (NYG),14,28,255,18.2,55,10,0,0,0,0,0,11,32.5,3,0.0%,2020
130,Marquez Callaway (NO),21,27,213,10.1,27,1,0,0,0,0,0,11,31.8,2.9,0.5%,2020
131,Bryan Edwards (FA),11,15,193,17.5,34,6,1,0,0,0,0,12,30.8,2.6,0.2%,2020
132,Zay Jones (JAC),14,20,154,11,37,2,1,0,0,0,0,16,29.6,1.9,71.5%,2020
133,Mack Hollins (LV),16,25,176,11,34,3,1,0,0,0,1,16,29.6,1.9,22.5%,2020
134,Bisi Johnson (MIN),14,19,189,13.5,29,3,0,0,0,0,0,16,27.9,1.7,0.0%,2020
135,Kenny Stills (FA),11,19,144,13.1,24,2,1,0,0,0,0,10,25.9,2.6,0.0%,2020
136,Jeff Smith (NYJ),17,37,167,9.8,21,1,0,0,0,0,0,12,25.2,2.1,0.0%,2020
137,KeeSean Johnson (BUF),15,23,173,11.5,45,5,0,0,0,0,0,8,24.8,3.1,0.0%,2020
138,Cameron Batson (FA),12,13,100,8.3,18,0,1,4,20,0,0,12,24,2,0.0%,2020
139,John Hightower (LAC),10,29,167,16.7,59,8,0,1,1,0,0,13,23.8,1.8,0.0%,2020
140,Mike Thomas (BAL),13,21,132,10.2,29,2,1,1,1,0,1,14,23.8,1.7,0.1%,2020
141,Brandon Powell (LAR),12,18,69,5.8,13,0,2,2,7,0,1,15,23.6,1.6,0.3%,2020
142,KhaDarel Hodge (ATL),11,17,180,16.4,42,4,0,0,0,0,0,9,23.5,2.6,0.0%,2020
143,Gunner Olszewski (PIT),5,5,62,12.4,38,2,1,5,23,0,0,13,23,1.8,0.1%,2020
144,Kalif Raymond (DET),9,15,187,20.8,61,9,0,1,-3,0,0,15,22.9,1.5,2.2%,2020
145,Noah Brown (DAL),14,24,154,11,20,1,0,1,4,0,0,16,22.8,1.4,2.4%,2020
146,Jamal Agnew (JAC),13,20,89,6.8,20,1,0,6,33,0,1,14,22.7,1.6,0.4%,2020
147,Ray-Ray McCloud III (SF),20,22,77,3.9,13,0,0,4,65,0,1,16,22.2,1.4,0.7%,2020
148,Auden Tate (ARI),14,22,150,10.7,19,0,0,0,0,0,0,9,22,2.4,0.0%,2020
149,Equanimeous St. Brown (CHI),7,13,117,16.7,24,3,1,1,7,0,0,12,21.9,1.8,0.3%,2020
150,Christian Blake (FA),13,18,141,10.8,25,3,0,0,0,0,0,16,20.6,1.3,0.0%,2020
151,Alshon Jeffery (FA),6,13,115,19.2,39,4,1,0,0,0,0,7,20.5,2.9,0.0%,2020
152,Malcolm Perry (FA),9,13,92,10.2,25,1,1,3,5,0,0,9,20.2,2.2,0.0%,2020
153,Quez Watkins (PHI),7,13,106,15.1,43,5,1,0,0,0,0,6,20.1,3.4,1.2%,2020
154,Laquon Treadwell (SEA),6,7,49,8.2,14,0,2,0,0,0,0,5,19.9,4,0.0%,2020
155,Dez Bryant (FA),6,11,47,7.8,16,0,2,0,0,0,0,6,19.7,3.3,2.6%,2020
156,Chris Hogan (FA),14,26,118,8.4,27,1,0,0,0,0,0,5,18.8,3.8,0.0%,2020
157,DeMichael Harris (FA),10,10,79,7.9,21,1,0,6,46,0,0,7,17.5,2.5,0.0%,2020
158,Alex Erickson (WAS),12,17,139,11.6,42,4,0,5,7,0,2,16,16.6,1,0.0%,2020
159,Malik Taylor (NYJ),5,6,66,13.2,26,2,1,1,9,0,0,15,16,1.1,0.0%,2020
160,C.J. Board (TEN),11,16,101,9.2,16,0,0,1,3,0,0,14,15.9,1.1,0.0%,2020
161,Javon Wims (ARI),6,12,48,8,13,0,1,1,2,0,0,13,14,1.1,0.0%,2020
162,Trent Taylor (CIN),10,21,86,8.6,29,2,0,0,0,0,0,12,13.6,1.1,0.1%,2020
163,Dante Pettis (CHI),4,6,76,19,33,3,1,0,0,0,1,7,13.6,1.9,0.1%,2020
164,Justin Watson (KC),7,11,94,13.4,36,2,0,0,0,0,0,11,12.9,1.2,0.9%,2020
165,Austin Mack (FA),7,11,91,13,50,4,0,0,0,0,0,11,12.6,1.1,0.0%,2020
166,J.J. Arcega-Whiteside (FA),4,8,85,21.3,37,4,0,0,0,0,0,8,12.5,1.6,0.0%,2020
167,Lil'Jordan Humphrey (FA),3,5,46,15.3,17,0,1,0,0,0,0,3,12.1,4,0.0%,2020
168,Diontae Spencer (NYJ),3,6,26,8.7,10,0,0,3,19,0,0,11,12,1.1,0.0%,2020
169,Parris Campbell (IND),6,9,71,11.8,21,1,0,2,16,0,0,2,11.7,5.9,31.5%,2020
170,Austin Carr (FA),3,4,27,9,11,0,1,0,0,0,0,6,10.2,1.7,0.0%,2020
171,Pharoh Cooper (ARI),5,8,73,14.6,32,2,0,0,0,0,0,16,9.8,0.6,0.0%,2020
172,Jaydon Mickens (NYG),7,10,58,8.3,11,0,0,0,0,0,0,10,9.3,0.9,0.0%,2020
173,Tyrie Cleveland (DEN),6,9,63,10.5,17,0,0,0,0,0,0,10,9.3,0.9,0.0%,2020
174,Joe Reed (LAC),0,1,0,0,0,0,0,5,29,1,0,11,8.9,0.8,0.0%,2020
175,KJ Hill Jr. (FA),7,11,73,10.4,25,1,0,0,0,0,1,15,8.8,0.6,0.0%,2020
176,Jake Kumerow (BUF),1,1,22,22,22,1,1,0,0,0,0,6,8.7,1.5,0.0%,2020
177,Ja'Marcus Bradley (PIT),5,11,60,12,22,1,0,0,0,0,0,3,8.5,2.8,0.0%,2020
178,Steven Mitchell Jr. (FA),5,8,60,12,20,1,0,0,0,0,0,6,8.5,1.4,0.0%,2020
179,Damion Ratley (FA),4,10,63,15.8,29,1,0,0,0,0,0,5,8.3,1.7,0.0%,2020
180,Courtland Sutton (DEN),3,6,66,22,45,4,0,0,0,0,0,1,8.1,8.1,78.2%,2020
181,Ashton Dulin (IND),3,6,53,17.7,34,2,0,2,11,0,0,13,7.9,0.6,0.1%,2020
182,Trent Sherfield (MIA),5,7,50,10,26,1,0,0,0,0,0,15,7.5,0.5,1.3%,2020
183,River Cracraft (MIA),6,9,41,6.8,12,0,0,0,0,0,0,9,7.1,0.8,0.0%,2020
184,Nick Westbrook-Ikhine (TEN),3,8,33,11,19,0,0,0,0,0,0,14,6.8,0.5,2.2%,2020
185,Isaiah Zuber (LV),2,2,29,14.5,16,0,0,2,21,0,0,4,6,1.5,0.0%,2020
186,Riley Ridley (FA),4,4,39,9.8,18,0,0,0,0,0,0,5,5.9,1.2,0.0%,2020
187,Ted Ginn Jr. (FA),3,6,40,13.3,29,1,0,0,0,0,0,5,5.5,1.1,0.0%,2020
188,Brandon Zylstra (DET),3,4,35,11.7,28,1,0,1,1,0,0,16,5.1,0.3,0.0%,2020
189,Darrius Shepherd (FA),5,8,46,9.2,19,0,0,0,0,0,1,8,5.1,0.6,0.0%,2020
190,Seth Roberts (FA),4,6,31,7.8,12,0,0,0,0,0,0,7,5.1,0.7,0.0%,2020
191,Terry Godwin (FA),3,6,32,10.7,21,1,0,1,3,0,0,3,5,1.7,0.0%,2020
192,Josh Malone (FA),4,6,16,4,13,0,0,1,12,0,0,4,4.8,1.2,0.0%,2020
193,Robert Foster (FA),2,6,37,18.5,28,1,0,0,0,0,0,4,4.7,1.2,0.0%,2020
194,Lawrence Cager (NYG),2,6,35,17.5,19,0,0,0,0,0,0,2,4.5,2.3,0.0%,2020
195,Deontay Burnett (FA),3,4,19,6.3,10,0,0,0,0,0,0,2,3.4,1.7,0.0%,2020
196,Daurice Fountain (CHI),2,3,23,11.5,12,0,0,0,0,0,0,5,3.3,0.7,0.0%,2020
197,Antonio Callaway (DAL),2,4,20,10,13,0,0,0,0,0,0,5,3,0.6,0.0%,2020
