Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Ja'Marr Chase (CIN),7,10,132,18.9,60,5,2,0,0,0,0,1,28.7,28.7,100.0%,2022,6
2,Stefon Diggs (BUF),10,13,148,14.8,31,4,1,0,0,0,0,1,25.8,25.8,100.0%,2022,6
3,Brandon Aiyuk (SF),8,11,83,10.4,14,0,2,0,0,0,0,1,24.3,24.3,91.8%,2022,6
4,Tyreek Hill (MIA),12,15,177,14.8,28,3,0,0,0,0,0,1,23.7,23.7,100.0%,2022,6
5,Chase Claypool (CHI),7,7,96,13.7,26,1,1,1,8,0,0,1,19.9,19.9,44.9%,2022,6
6,Michael Pittman Jr. (IND),13,16,134,10.3,20,1,0,0,0,0,0,1,19.9,19.9,96.4%,2022,6
7,JuJu Smith-Schuster (KC),5,5,113,22.6,42,6,1,0,0,0,0,1,19.8,19.8,94.1%,2022,6
8,Tyquan Thornton (NE),4,5,37,9.3,21,1,1,3,16,1,0,1,19.3,19.3,0.9%,2022,6
9,Dante Pettis (CHI),4,7,84,21,40,3,1,0,0,0,0,1,16.4,16.4,0.1%,2022,6
10,Allen Lazard (GB),4,9,76,19,35,3,1,0,0,0,0,1,15.6,15.6,85.5%,2022,6
11,Parris Campbell (IND),7,11,57,8.1,15,0,1,0,0,0,0,1,15.2,15.2,31.5%,2022,6
12,A.J. Brown (PHI),5,8,67,13.4,22,1,1,0,0,0,0,1,15.2,15.2,99.9%,2022,6
13,Gabe Davis (BUF),3,6,74,24.7,34,3,1,0,0,0,0,1,14.9,14.9,93.5%,2022,6
14,Allen Robinson II (LAR),5,6,63,12.6,22,1,1,0,0,0,0,1,14.8,14.8,33.8%,2022,6
15,Ben Skowronek (LAR),5,5,40,8,19,0,0,1,17,1,0,1,14.2,14.2,3.2%,2022,6
16,Jaylen Waddle (MIA),6,10,129,21.5,49,5,0,0,0,0,1,1,13.9,13.9,99.4%,2022,6
17,Justin Jefferson (MIN),6,8,107,17.8,47,5,0,0,0,0,0,1,13.7,13.7,100.0%,2022,6
18,Adam Thielen (MIN),4,8,36,9,14,0,1,0,0,0,0,1,13.6,13.6,89.3%,2022,6
19,Cooper Kupp (LAR),7,8,80,11.4,22,2,0,2,17,0,0,1,13.2,13.2,77.5%,2022,6
20,DeVonta Smith (PHI),5,5,44,8.8,13,0,1,0,0,0,0,1,12.9,12.9,95.1%,2022,6
21,Deebo Samuel (SF),7,10,79,11.3,27,2,0,2,11,0,0,1,12.5,12.5,93.9%,2022,6
22,Chris Godwin (TB),6,12,95,15.8,28,2,0,0,0,0,0,1,12.5,12.5,96.3%,2022,6
23,Alec Pierce (IND),3,7,49,16.3,32,2,1,0,0,0,0,1,12.4,12.4,11.0%,2022,6
24,Amari Cooper (CLE),4,12,44,11,15,0,1,0,0,0,0,1,12.4,12.4,96.3%,2022,6
25,Tre'Quan Smith (NO),3,3,43,14.3,18,0,1,0,0,0,0,1,11.8,11.8,0.5%,2022,6
26,Mecole Hardman (KC),3,4,42,14,26,1,1,0,0,0,0,1,11.7,11.7,26.3%,2022,6
27,Wan'Dale Robinson (NYG),3,4,37,12.3,17,0,1,0,0,0,0,1,11.2,11.2,5.2%,2022,6
28,Rashid Shaheed (NO),0,1,0,0,0,0,0,1,44,1,0,1,10.4,10.4,5.3%,2022,6
29,Darnell Mooney (CHI),7,12,68,9.7,26,2,0,0,0,0,0,1,10.3,10.3,35.1%,2022,6
30,Joshua Palmer (LAC),9,12,57,6.3,14,0,0,0,0,0,0,1,10.2,10.2,60.8%,2022,6
31,CeeDee Lamb (DAL),5,10,68,13.6,24,1,0,2,9,0,0,1,10.2,10.2,99.9%,2022,6
32,Donovan Peoples-Jones (CLE),4,5,74,18.5,37,3,0,1,2,0,0,1,9.6,9.6,53.1%,2022,6
33,Tyler Boyd (CIN),6,6,66,11,21,1,0,0,0,0,0,1,9.6,9.6,71.8%,2022,6
34,Marquise Brown (ARI),5,9,68,13.6,26,2,0,0,0,0,0,1,9.3,9.3,85.3%,2022,6
35,Braxton Berrios (NYJ),1,1,6,6,6,0,0,1,20,1,0,1,9.1,9.1,1.0%,2022,6
36,Christian Kirk (JAC),4,5,24,6,12,0,1,1,4,0,1,1,8.8,8.8,95.2%,2022,6
37,DeVante Parker (NE),4,6,64,16,29,1,0,0,0,0,0,1,8.4,8.4,12.1%,2022,6
38,Jakobi Meyers (NE),4,4,60,15,27,2,0,0,0,0,0,1,8,8,68.9%,2022,6
39,Rondale Moore (ARI),6,10,49,8.2,26,1,0,0,0,0,0,1,7.9,7.9,30.4%,2022,6
40,Olamide Zaccheaus (ATL),4,4,58,14.5,37,2,0,0,0,0,0,1,7.8,7.8,0.8%,2022,6
41,Tee Higgins (CIN),6,9,47,7.8,13,0,0,0,0,0,0,1,7.7,7.7,99.2%,2022,6
42,Jerry Jeudy (DEN),3,7,54,18,37,2,0,0,0,0,0,1,6.9,6.9,91.1%,2022,6
43,Zay Jones (JAC),5,5,42,8.4,18,0,0,0,0,0,0,1,6.7,6.7,71.5%,2022,6
44,Terry McLaurin (WAS),3,4,41,13.7,17,0,0,2,11,0,0,1,6.7,6.7,97.6%,2022,6
45,Mike Evans (TB),4,4,42,10.5,20,1,0,0,0,0,0,1,6.2,6.2,98.6%,2022,6
46,Corey Davis (NYJ),2,4,52,26,41,3,0,0,0,0,0,1,6.2,6.2,16.1%,2022,6
47,Diontae Johnson (PIT),5,7,28,5.6,9,0,0,2,8,0,0,1,6.1,6.1,86.8%,2022,6
48,Brandon Powell (LAR),4,5,27,6.8,16,0,0,3,13,0,0,1,6,6,0.3%,2022,6
49,Drake London (ATL),3,4,40,13.3,20,1,0,0,0,0,0,1,5.5,5.5,71.9%,2022,6
50,KJ Hamler (DEN),2,3,44,22,47,3,0,0,0,0,0,1,5.4,5.4,0.9%,2022,6
51,Dee Eskridge (SEA),3,3,39,13,16,0,0,0,0,0,0,1,5.4,5.4,0.3%,2022,6
52,Marquez Callaway (NO),3,7,36,12,20,1,0,0,0,0,0,1,5.1,5.1,0.5%,2022,6
53,DK Metcalf (SEA),2,7,34,17,17,0,0,0,0,0,0,1,4.4,4.4,98.6%,2022,6
54,George Pickens (PIT),3,6,27,9,14,0,0,1,1,0,0,1,4.3,4.3,64.2%,2022,6
