Pos,Player,Score2022,Score2021,Score2020,Score2019,Score
WR,Cooper Kupp (LAR),19.99299340387031,24.9236331748245,9.055710832009687,12.749704143345902,19.769760626396575
WR,Davante Adams (LV),18.027425151436436,18.26719900117157,21.98031254085312,14.929441170158807,18.327758153748007
WR,Justin Jefferson (MIN),18.256347691980928,16.569553946066673,13.464303513941353,0,17.30795000548332
WR,Tyreek Hill (MIA),18.02029685265625,12.280981702736405,18.995250905408056,12.47831783033205,16.40586451933526
WR,Stefon Diggs (BUF),13.85650045771509,14.11416182194544,17.29137498208751,9.099928203115022,14.026574638479914
WR,A.J. Brown (PHI),14.983633034144033,9.63916842880121,15.347272332829714,9.582727732556707,13.413835547597529
WR,Ja'Marr Chase (CIN),13.36616774912168,13.486657400147006,0,0,13.401603755488226
WR,CeeDee Lamb (DAL),14.382559549930491,10.339146041882334,9.704130763886997,0,12.82609890479264
WR,DeAndre Hopkins (ARI),12.572777019221165,12.248195582779566,14.677359351151477,14.43675795573463,12.795288940129469
WR,Chris Godwin (TB),11.61658507140822,13.688543020608652,11.871146191982369,15.777301188306868,12.368066476610675
WR,Deebo Samuel (SF),10.135832469568678,20.51677226062039,6.111684051345576,8.51739228861403,12.247730566461563
WR,Mike Evans (TB),11.653729896358977,13.271324151757689,11.852149260687863,12.97091568803772,12.14382968622548
WR,Keenan Allen (LAC),11.239925957997404,12.899943041354232,13.965540095124027,11.735830410952872,11.952286865197047
WR,Amari Cooper (CLE),12.228713559467602,8.953283285072553,10.889869685134794,10.916106245470484,11.210341237735703
WR,Jaylen Waddle (MIA),11.086794124892686,10.860957808234438,0,0,11.020375664163495
WR,Amon-Ra St. Brown (DET),11.8225614264139,9.05856959119304,0,0,11.009671427675444
WR,Tee Higgins (CIN),11.122191809687855,11.358991642845464,8.090445826286562,0,10.865250993739467
WR,Michael Thomas (NO),10.663513769614708,0,6.224487242481728,20.774730745977163,10.746209705871257
WR,Tyler Lockett (SEA),10.103782886675946,11.19170831425965,10.550250637395921,9.891504820347667,10.409797115327454
WR,Mike Williams (LAC),10.88746385947531,11.339011167658434,5.536886765333263,7.080265775657393,10.274933072915992
WR,DeVonta Smith (PHI),11.27876006329735,6.083525214551372,0,0,9.750841494281158
WR,DK Metcalf (SEA),8.773430569166417,10.902226715098724,13.462383334004057,7.749684629894793,9.723337585169677
WR,DJ Moore (CAR),9.22878577259595,10.065673113112236,10.555289451397824,11.631215626405599,9.690779468295691
WR,Calvin Ridley (JAC),0,9.625211771286976,15.840308196085363,11.703407693483603,9.379783501564143
WR,Marquise Brown (ARI),9.837546676193558,9.268518452477785,7.255539343516046,5.471471509704256,9.218785128672398
WR,Brandon Aiyuk (SF),10.219638559328693,5.230314216063374,12.719235364619246,0,9.170154868212684
WR,Chris Olave (NO),9.165808233151619,0,0,0,9.165808233151619
WR,Terry McLaurin (WAS),9.091535184986851,7.789289735590138,11.268737506892986,9.754496139841818,9.016842102571035
WR,Michael Pittman Jr. (IND),9.425239368752752,9.979137167168272,2.0393262174853524,0,8.793233224687418
WR,Diontae Johnson (PIT),5.755129888681536,14.807120132514719,10.754280980081155,5.334885331223619,8.497030330906897
WR,Christian Kirk (JAC),8.864161087335106,7.748098550373207,5.528377376141914,7.892798181442136,8.202998936680663
WR,Adam Thielen (MIN),5.120253716003838,11.727777278578973,13.69061172842139,7.080525781218105,7.727184011150091
WR,Jakobi Meyers (NE),9.117160880557293,7.219398550952576,5.279789318003358,-1.873122659375562,7.709468964904077
WR,Garrett Wilson (NYJ),7.333764876556276,0,0,0,7.333764876556276
