Round,Rank,Pos,Player,PosRank,Role,Score2022,Score2021,Score2020,Score2019,Score,ValueFactor,AdjValue
1,4,WR,Cooper Kupp (LAR),WR1,WR1,19.993,24.924,9.056,12.75,19.77,5,98.849
1,5,WR,Davante Adams (LV),WR2,WR1,18.027,18.267,21.98,14.929,18.328,5,91.639
1,7,WR,Justin Jefferson (MIN),WR3,WR1,18.256,16.57,13.464,0,17.308,5,86.54
1,10,WR,Tyreek Hill (MIA),WR4,WR1,18.02,12.281,18.995,12.478,16.406,5,82.029
2,20,WR,Stefon Diggs (BUF),WR5,WR1,13.857,14.114,17.291,9.1,14.027,5,70.133
3,24,WR,A.J. Brown (PHI),WR6,WR1,14.984,9.639,15.347,9.583,13.414,5,67.069
3,25,WR,Ja'Marr Chase (CIN),WR7,WR1,13.366,13.487,0,0,13.402,5,67.008
3,28,WR,CeeDee Lamb (DAL),WR8,WR1,14.383,10.339,9.704,0,12.826,5,64.13
3,29,WR,DeAndre Hopkins (ARI),WR9,WR1,12.573,12.248,14.677,14.437,12.795,5,63.976
4,31,WR,Chris Godwin (TB),WR10,WR1,11.617,13.689,11.871,15.777,12.368,5,61.84
4,33,WR,Deebo Samuel (SF),WR11,WR2,10.136,20.517,6.112,8.517,12.248,5,61.239
4,35,WR,Mike Evans (TB),WR12,WR2,11.654,13.271,11.852,12.971,12.144,5,60.719
4,39,WR,Keenan Allen (LAC),WR13,WR2,11.24,12.9,13.966,11.736,11.952,5,59.761
5,47,WR,Amari Cooper (CLE),WR14,WR2,12.229,8.953,10.89,10.916,11.21,5,56.052
5,50,WR,Jaylen Waddle (MIA),WR15,WR2,11.087,10.861,0,0,11.02,5,55.102
6,51,WR,Amon-Ra St. Brown (DET),WR16,WR2,11.823,9.059,0,0,11.01,5,55.048
6,53,WR,Tee Higgins (CIN),WR17,WR2,11.122,11.359,8.09,0,10.865,5,54.326
6,55,WR,Michael Thomas (NO),WR18,WR2,10.664,0,6.224,20.775,10.746,5,53.731
6,56,WR,Tyler Lockett (SEA),WR19,WR2,10.104,11.192,10.55,9.892,10.41,5,52.049
6,57,WR,Mike Williams (LAC),WR20,WR2,10.887,11.339,5.537,7.08,10.275,5,51.375
7,63,WR,DeVonta Smith (PHI),WR21,WR3,11.279,6.084,0,0,9.751,5,48.754
7,64,WR,DK Metcalf (SEA),WR22,WR3,8.773,10.902,13.462,7.75,9.723,5,48.617
7,65,WR,DJ Moore (CAR),WR23,WR3,9.229,10.066,10.555,11.631,9.691,5,48.454
7,68,WR,Calvin Ridley (JAC),WR24,WR3,0,9.625,15.84,11.703,9.38,5,46.899
8,71,WR,Marquise Brown (ARI),WR25,WR3,9.838,9.269,7.256,5.471,9.219,5,46.094
8,72,WR,Brandon Aiyuk (SF),WR26,WR3,10.22,5.23,12.719,0,9.17,5,45.851
8,73,WR,Chris Olave (NO),WR27,WR3,9.166,0,0,0,9.166,5,45.829
8,77,WR,Terry McLaurin (WAS),WR28,WR3,9.092,7.789,11.269,9.754,9.017,5,45.084
9,82,WR,Michael Pittman Jr. (IND),WR29,WR3,9.425,9.979,2.039,0,8.793,5,43.966
9,86,WR,Diontae Johnson (PIT),WR30,WR3,5.755,14.807,10.754,5.335,8.497,5,42.485
10,95,WR,Christian Kirk (JAC),WR31,WR4,8.864,7.748,5.528,7.893,8.203,5,41.015
11,107,WR,Adam Thielen (MIN),WR32,WR4,5.12,11.728,13.691,7.081,7.727,5,38.636
11,108,WR,Jakobi Meyers (NE),WR33,WR4,9.117,7.219,5.28,-1.873,7.709,5,38.547
13,127,WR,Garrett Wilson (NYJ),WR34,WR4,7.334,0,0,0,7.334,5,36.669
14,137,WR,Brandin Cooks (HOU),WR35,WR4,5.278,10.201,10.848,3.151,6.959,5,34.796
NA,153,WR,Isaiah Hodgins (NYG),WR36,WR4,6.595,0,0,0,6.595,5,32.973
NA,154,WR,Curtis Samuel (WAS),WR37,WR4,5.941,0,9.809,6.294,6.48,5,32.4
NA,155,WR,Allen Lazard (GB),WR38,WR4,7.549,5.728,4.63,0.908,6.47,5,32.349
NA,156,WR,Jerry Jeudy (DEN),WR39,WR4,7.986,3.127,5.617,0,6.458,5,32.291
NA,162,WR,Christian Watson (GB),WR40,WR4,6.295,0,0,0,6.295,5,31.473
NA,166,WR,Jahan Dotson (WAS),WR41,Depth,6.25,0,0,0,6.25,5,31.25
NA,169,WR,Tyler Boyd (CIN),WR42,Depth,5.267,6.731,8.144,9.436,6.129,5,30.645
NA,175,WR,Gabe Davis (BUF),WR43,Depth,7.329,3.464,4.102,0,5.972,5,29.862
NA,176,WR,Sterling Shepard (NYG),WR44,Depth,5.324,5.593,8.645,9.457,5.93,5,29.65
NA,192,WR,Robert Woods (TEN),WR45,Depth,1.517,12.103,11.355,11.86,5.664,5,28.322
NA,196,WR,DJ Chark Jr. (DET),WR46,Depth,4.694,6.05,7.313,10.622,5.591,5,27.956
NA,200,WR,Darnell Mooney (CHI),WR47,Depth,4.241,9.034,4.161,0,5.493,5,27.467
NA,207,WR,Courtland Sutton (DEN),WR48,Depth,5.734,3.343,0,10.001,5.307,5,26.534
NA,208,WR,JuJu Smith-Schuster (KC),WR49,Depth,6.141,1.324,10.572,4.436,5.295,5,26.473
NA,217,WR,Mecole Hardman (KC),WR50,Depth,6.65,2.778,2.802,2.696,5.1,5,25.498
NA,224,WR,Zay Jones (JAC),WR51,Depth,6.975,1.501,0,-2.485,4.929,5,24.646
NA,226,WR,Cole Beasley (BUF),WR52,Depth,0,4.042,9.373,8.261,4.84,5,24.198
NA,229,WR,Russell Gage (TB),WR53,Depth,3.48,7.8,6.717,0.557,4.738,5,23.688
NA,230,WR,Drake London (ATL),WR54,Depth,4.707,0,0,0,4.707,5,23.534
NA,234,WR,Donovan Peoples-Jones (CLE),WR55,Depth,5.494,2.69,0,0,4.669,5,23.345
NA,237,WR,Allen Robinson II (LAR),WR56,Depth,3.626,2.068,13.174,12.367,4.628,5,23.142
NA,239,WR,Rondale Moore (ARI),WR57,Depth,5.708,1.801,0,0,4.559,5,22.797
NA,241,WR,Cedrick Wilson Jr. (MIA),WR58,Depth,0,5.454,0,0,4.472,5,22.361
NA,244,WR,George Pickens (PIT),WR59,Depth,4.418,0,0,0,4.418,5,22.092
NA,245,WR,Marvin Jones Jr. (JAC),WR60,Depth,2.647,5.561,9.17,10.122,4.401,5,22.006
NA,246,WR,Corey Davis (NYJ),WR61,Depth,2.625,7.06,9.433,1.88,4.377,5,21.886
NA,249,WR,K.J. Osborn (MIN),WR62,Depth,3.836,4.616,0,0,4.065,5,20.326
NA,253,WR,Mack Hollins (LV),WR63,Depth,3.998,0,0,0,3.998,5,19.99
NA,255,WR,Michael Gallup (DAL),WR64,Depth,2.393,5.413,5.884,11.404,3.948,5,19.739
NA,256,WR,Nico Collins (HOU),WR65,Depth,5.354,0.445,0,0,3.91,5,19.552
NA,259,WR,Van Jefferson (LAR),WR66,Depth,3.171,5.396,0,0,3.825,5,19.126
NA,263,WR,Treylon Burks (TEN),WR67,Depth,3.703,0,0,0,3.703,5,18.515
NA,265,WR,Rashod Bateman (BAL),WR68,Depth,3.787,3.452,0,0,3.688,5,18.442
NA,266,WR,Richie James Jr. (NYG),WR69,Depth,4.266,0,0.157,0,3.679,5,18.396
NA,268,WR,Rashid Shaheed (NO),WR70,Depth,3.639,0,0,0,3.639,5,18.194
NA,269,WR,DeVante Parker (NE),WR71,Depth,1.433,5.472,7.372,12.091,3.569,5,17.847
NA,271,WR,Hunter Renfrow (LV),WR72,Depth,0.252,11.583,2.352,5.163,3.54,5,17.702
NA,272,WR,Tim Patrick (DEN),WR73,Depth,0,4.689,6.019,-1.029,3.532,5,17.658
NA,276,WR,Joshua Palmer (LAC),WR74,Depth,4.605,0.748,0,0,3.47,5,17.352
NA,277,WR,Kenny Golladay (NYG),WR75,Depth,0,0.977,8.206,12.556,3.47,5,17.348
NA,279,WR,Darius Slayton (NYG),WR76,Depth,4.333,0.242,3.657,7.469,3.399,5,16.997
NA,280,WR,Jarvis Landry (NO),WR77,Depth,0.948,5.948,8.007,10.788,3.396,5,16.98
NA,281,WR,Julio Jones (TB),WR78,Depth,1.519,2.323,11.42,14.709,3.369,5,16.847
NA,284,WR,T.Y. Hilton (DAL),WR79,Depth,2.978,2.323,5.876,7.525,3.331,5,16.657
NA,286,WR,Chase Claypool (CHI),WR80,Depth,0.768,6.87,8.739,0,3.213,5,16.063
NA,290,WR,Wan'Dale Robinson (NYG),WR81,Depth,2.896,0,0,0,2.896,5,14.479
NA,291,WR,Josh Reynolds (DET),WR82,Depth,3.643,2.137,2.258,-1.859,2.853,5,14.264
NA,296,WR,Trenton Irwin (CIN),WR83,Depth,2.74,0,0,0,2.74,5,13.698
NA,299,WR,Marquez Valdes-Scantling (KC),WR84,Depth,2.355,3.156,4.391,-0.157,2.633,5,13.166
NA,300,WR,Romeo Doubs (GB),WR85,Depth,2.609,0,0,0,2.609,5,13.045
NA,303,WR,Quintez Cephus (DET),WR86,Depth,0,4.439,-0.478,0,2.488,5,12.439
NA,304,WR,Elijah Moore (NYJ),WR87,Depth,-0.134,8.4,0,0,2.376,5,11.879
NA,305,WR,Deonte Harty (NO),WR88,Depth,0,4.153,-0.399,0,2.339,5,11.694
NA,308,WR,Byron Pringle (CHI),WR89,Depth,0,2.771,0,0,2.272,5,11.362
NA,313,WR,Chris Moore (HOU),WR90,Depth,2.123,0,0,0,2.123,5,10.614
NA,314,WR,Dante Pettis (CHI),WR91,Depth,0,2.526,0,0,2.071,5,10.356
NA,318,WR,Randall Cobb (GB),WR92,Depth,0.707,3.127,5.529,5.204,2.019,5,10.094
NA,319,WR,Parris Campbell (IND),WR93,Depth,2.973,0.092,0,-0.198,1.997,5,9.983
NA,326,WR,Devin Duvernay (BAL),WR94,Depth,3,-0.952,0,0,1.838,5,9.19
NA,332,WR,Tyquan Thornton (NE),WR95,Depth,1.71,0,0,0,1.71,5,8.551
NA,333,WR,Isaiah McKenzie (BUF),WR96,Depth,1.89,0,0,-1.736,1.611,5,8.054
NA,336,WR,Alec Pierce (IND),WR97,Depth,1.577,0,0,0,1.577,5,7.885
NA,338,WR,Antoine Wesley (ARI),WR98,Depth,0,1.816,0,0,1.489,5,7.444
NA,341,WR,Braxton Berrios (NYJ),WR99,Depth,0,2.217,0.479,0,1.411,5,7.053
NA,342,WR,Kendrick Bourne (NE),WR100,Depth,-0.721,5.84,3.489,0.636,1.408,5,7.039
NA,343,WR,Kalif Raymond (DET),WR101,Depth,0.748,2.977,0,0,1.403,5,7.017
NA,346,WR,Laviska Shenault Jr. (CAR),WR102,Depth,-0.029,2.429,6.402,0,1.295,5,6.475
NA,348,WR,Robbie Anderson (ARI),WR103,Depth,-1.399,3.302,9.925,5.321,1.244,5,6.222
NA,349,WR,Keelan Cole Sr. (LV),WR104,Depth,0,0.241,4.668,0,1.235,5,6.175
NA,351,WR,Zach Pascal (PHI),WR105,Depth,0,0.312,3.296,3.634,1.208,5,6.042
NA,352,WR,Greg Dortch (ARI),WR106,Depth,1.203,0,0,0,1.203,5,6.017
NA,355,WR,Tre'Quan Smith (NO),WR107,Depth,0.042,3.373,1.759,0,1.099,5,5.496
NA,356,WR,Jamal Agnew (JAC),WR108,Depth,0,1.273,0,0,1.044,5,5.22
NA,357,WR,Jamison Crowder (BUF),WR109,Depth,-2.154,3.455,10.302,7.717,0.987,5,4.936
NA,361,WR,Kadarius Toney (KC),WR110,Depth,-0.103,3.074,0,0,0.831,5,4.155
NA,362,WR,Nelson Agholor (NE),WR111,Depth,-0.633,1.146,7.6,3.269,0.83,5,4.152
NA,365,WR,Noah Brown (DAL),WR112,Depth,2.089,-2.407,0,0,0.766,5,3.832
NA,366,WR,Rashard Higgins (CAR),WR113,Depth,0,-0.612,4.63,0,0.726,5,3.632
NA,368,WR,Marquise Goodwin (SEA),WR114,Depth,1.599,-1.538,0,0,0.676,5,3.38
NA,372,WR,DeAndre Carter (LAC),WR115,Depth,0.867,0.04,0,0,0.624,5,3.118
NA,376,WR,Jalen Guyton (LAC),WR116,Depth,0,0.616,0.819,0,0.553,5,2.765
