Round,Rank,Pos,Player,PosRank,Role,Score2022,Score2021,Score2020,Score2019,Score,ValueFactor,AdjValue
1,3,WR,Cooper Kupp (LAR),WR1,WR1,23.946,29.537,13.678,16.672,23.953,5,119.766
1,5,WR,Davante Adams (LV),WR2,WR1,20.932,22.34,25.806,19.981,21.724,5,108.618
1,7,WR,Justin Jefferson (MIN),WR3,WR1,21.213,20.641,16.276,0,20.543,5,102.714
1,8,WR,Tyreek Hill (MIA),WR4,WR1,22.088,15.869,21.888,15.043,20.161,5,100.806
2,12,WR,Stefon Diggs (BUF),WR5,WR1,17.158,18.571,22.258,11.917,17.759,5,88.797
2,19,WR,Chris Godwin (TB),WR6,WR1,16.393,18.346,16.115,19.363,17.002,5,85.009
2,20,WR,DeAndre Hopkins (ARI),WR7,WR1,17.448,14.281,19.152,19.362,16.922,5,84.612
3,21,WR,CeeDee Lamb (DAL),WR8,WR1,18.721,13.182,13.185,0,16.681,5,83.403
3,24,WR,Ja'Marr Chase (CIN),WR9,WR1,16.314,16.63,0,0,16.407,5,82.035
3,25,WR,A.J. Brown (PHI),WR10,WR1,18.05,11.842,18.149,11.406,16.176,5,80.879
4,31,WR,Keenan Allen (LAC),WR11,WR2,14.274,18.074,18.196,15.704,15.688,5,78.439
4,32,WR,Deebo Samuel (SF),WR12,WR2,13.768,22.92,8.831,11.217,15.435,5,77.175
4,33,WR,Mike Evans (TB),WR13,WR2,14.957,16.005,14.393,15.685,15.199,5,75.996
4,34,WR,Amon-Ra St. Brown (DET),WR14,WR2,15.994,12.892,0,0,15.082,5,75.41
4,35,WR,Michael Thomas (NO),WR15,WR2,14.927,0,9.786,25.923,14.975,5,74.877
4,38,WR,Jaylen Waddle (MIA),WR16,WR2,13.727,15.269,0,0,14.18,5,70.901
4,40,WR,Amari Cooper (CLE),WR17,WR2,15.283,11.209,14.406,14.005,14.113,5,70.563
5,41,WR,Tee Higgins (CIN),WR18,WR2,14.621,14.168,10.862,0,14.106,5,70.531
5,50,WR,Tyler Lockett (SEA),WR19,WR2,13.289,13.499,13.54,12.825,13.343,5,66.716
6,53,WR,DeVonta Smith (PHI),WR20,WR2,14.91,8.842,0,0,13.126,5,65.629
6,55,WR,Mike Williams (LAC),WR21,WR3,13.695,13.857,7.592,9.161,12.898,5,64.491
6,56,WR,DK Metcalf (SEA),WR22,WR3,12.219,13.28,16.694,9.792,12.81,5,64.051
6,57,WR,DJ Moore (CAR),WR23,WR3,11.847,13.752,13.992,15.805,12.736,5,63.679
6,58,WR,Marquise Brown (ARI),WR24,WR3,13.195,13.673,9.847,7.438,12.692,5,63.46
6,59,WR,Calvin Ridley (JAC),WR25,WR3,0,14.125,19.111,14.728,12.666,5,63.332
7,61,WR,Chris Olave (NO),WR26,WR3,12.389,0,0,0,12.389,5,61.945
7,62,WR,Diontae Johnson (PIT),WR27,WR3,9.256,19.42,15.144,7.739,12.31,5,61.55
7,63,WR,Brandon Aiyuk (SF),WR28,WR3,13.719,7.545,15.536,0,12.286,5,61.43
