Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Miami Dolphins (MIA),5,3,0,0,0,0,1,1,23,23,58.2%,2021,12
2,Cincinnati Bengals (CIN),3,2,1,1,1,0,0,1,19,19,22.4%,2021,12
3,Denver Broncos (DEN),3,2,0,0,1,0,0,1,17,17,44.1%,2021,12
4,New England Patriots (NE),2,1,3,5,0,0,0,1,14,14,46.6%,2021,12
5,Green Bay Packers (GB),2,1,2,1,1,0,0,1,13,13,75.5%,2021,12
6,New York Giants (NYG),1,3,1,1,0,0,0,1,13,13,1.8%,2021,12
7,Tampa Bay Buccaneers (TB),3,2,3,2,0,0,0,1,12,12,95.4%,2021,12
8,Buffalo Bills (BUF),2,1,0,0,0,0,0,1,11,11,99.6%,2021,12
9,Baltimore Ravens (BAL),3,0,2,1,0,0,0,1,11,11,44.1%,2021,12
10,Cleveland Browns (CLE),2,4,0,0,0,0,0,1,11,11,21.9%,2021,12
11,Minnesota Vikings (MIN),2,1,0,0,0,0,1,1,9,9,12.2%,2021,12
12,Seattle Seahawks (SEA),1,1,0,0,0,0,0,1,8,8,5.1%,2021,12
13,New York Jets (NYJ),5,1,0,0,0,0,0,1,8,8,2.0%,2021,12
14,Houston Texans (HOU),4,1,0,1,0,0,0,1,6,6,3.8%,2021,12
15,Atlanta Falcons (ATL),1,1,1,2,0,0,0,1,6,6,0.5%,2021,12
16,San Francisco 49ers (SF),1,1,1,2,0,0,0,1,5,5,83.9%,2021,12
17,Philadelphia Eagles (PHI),1,0,0,0,0,0,0,1,5,5,40.7%,2021,12
18,New Orleans Saints (NO),2,2,0,0,0,0,0,1,5,5,80.6%,2021,12
19,Washington Commanders (WAS),2,0,1,1,0,0,0,1,5,5,40.4%,2021,12
20,Dallas Cowboys (DAL),3,0,0,1,0,0,1,1,5,5,73.8%,2021,12
21,Detroit Lions (DET),1,1,0,0,0,0,0,1,4,4,1.1%,2021,12
22,Chicago Bears (CHI),1,0,1,2,0,0,0,1,4,4,2.9%,2021,12
23,Carolina Panthers (CAR),2,0,1,1,0,0,0,1,4,4,6.1%,2021,12
24,Jacksonville Jaguars (JAC),1,1,0,0,0,0,0,1,3,3,1.0%,2021,12
25,Los Angeles Chargers (LAC),1,1,0,1,0,0,0,1,3,3,52.5%,2021,12
26,Indianapolis Colts (IND),2,1,1,1,0,0,0,1,2,2,57.4%,2021,12
27,Los Angeles Rams (LAR),1,0,1,1,0,0,0,1,2,2,69.6%,2021,12
29,Las Vegas Raiders (LV),1,0,0,0,0,0,0,1,0,0,6.4%,2021,12
30,Pittsburgh Steelers (PIT),2,1,0,0,0,0,0,1,0,0,23.6%,2021,12
32,Tennessee Titans (TEN),2,0,0,0,0,0,0,1,-2,-2,8.1%,2021,12
