Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season
19,Arizona Cardinals (ARI),49,7,9,13,2,0,0,16,100,6.3,12.4%,2018
29,Atlanta Falcons (ATL),37,15,4,8,2,0,0,16,77,4.8,0.6%,2018
5,Baltimore Ravens (BAL),43,12,5,8,3,0,1,16,126,7.9,46.7%,2018
16,Buffalo Bills (BUF),36,16,11,18,0,1,0,16,107,6.7,99.6%,2018
26,Carolina Panthers (CAR),35,13,9,13,1,0,0,16,88,5.5,4.5%,2018
1,Chicago Bears (CHI),50,27,9,17,6,1,0,16,191,11.9,2.4%,2018
28,Cincinnati Bengals (CIN),33,12,6,9,5,0,0,16,83,5.2,24.4%,2018
22,Cleveland Browns (CLE),37,17,14,16,0,1,0,16,98,6.1,22.7%,2018
21,Dallas Cowboys (DAL),39,9,11,14,1,0,0,16,98,6.1,74.8%,2018
8,Denver Broncos (DEN),44,17,10,13,2,0,0,16,122,7.6,45.6%,2018
20,Detroit Lions (DET),43,7,7,9,2,0,0,16,98,6.1,1.1%,2018
24,Green Bay Packers (GB),44,7,8,8,1,0,0,16,92,5.8,76.5%,2018
3,Houston Texans (HOU),43,15,14,19,4,0,0,16,144,9,3.8%,2018
11,Indianapolis Colts (IND),38,15,11,15,0,0,0,16,116,7.3,60.7%,2018
15,Jacksonville Jaguars (JAC),37,11,6,6,2,2,1,16,107,6.7,0.9%,2018
7,Kansas City Chiefs (KC),53,15,12,21,4,0,1,16,123,7.7,37.1%,2018
32,Las Vegas Raiders (LV),13,14,3,5,1,0,1,16,39,2.4,6.4%,2018
17,Los Angeles Chargers (LAC),38,13,7,5,2,0,1,16,107,6.7,55.9%,2018
2,Los Angeles Rams (LAR),41,18,12,12,4,2,0,16,147,9.2,70.9%,2018
18,Miami Dolphins (MIA),31,21,7,10,3,0,2,16,104,6.5,52.9%,2018
6,Minnesota Vikings (MIN),50,12,8,7,3,0,0,16,124,7.8,13.8%,2018
4,New England Patriots (NE),30,18,10,12,2,0,2,16,135,8.4,47.6%,2018
14,New Orleans Saints (NO),49,12,12,19,1,0,0,16,108,6.8,84.2%,2018
27,New York Giants (NYG),30,16,5,9,3,0,0,16,84,5.3,1.8%,2018
25,New York Jets (NYJ),39,13,7,12,3,0,2,16,91,5.7,2.0%,2018
23,Philadelphia Eagles (PHI),44,10,7,12,0,0,0,16,97,6.1,22.3%,2018
13,Pittsburgh Steelers (PIT),52,8,7,11,3,2,0,16,110,6.9,28.4%,2018
31,San Francisco 49ers (SF),37,2,5,8,1,1,1,16,53,3.3,86.7%,2018
9,Seattle Seahawks (SEA),43,12,14,17,2,0,0,16,122,7.6,3.7%,2018
30,Tampa Bay Buccaneers (TB),38,9,8,11,1,0,0,16,68,4.3,94.1%,2018
12,Tennessee Titans (TEN),39,11,6,10,2,0,1,16,113,7.1,8.1%,2018
10,Washington Commanders (WAS),46,15,11,18,1,0,0,16,120,7.5,39.6%,2018
