Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
2,Adam Vinatieri (FA),3,4,75,55,0,0,0,1,2,0,1,1,14,14,0.2%,2019,8
5,Adam Vinatieri (FA),4,4,100,32,0,1,3,0,0,1,1,1,13,13,0.2%,2019,5
4,Adam Vinatieri (FA),2,2,100,49,0,1,0,1,0,3,3,1,10,10,0.2%,2019,3
13,Adam Vinatieri (FA),1,1,100,34,0,0,1,0,0,4,4,1,7,7,0.2%,2019,11
19,Adam Vinatieri (FA),1,2,50,26,0,1,0,0,0,3,3,1,6,6,0.2%,2019,4
20,Adam Vinatieri (FA),2,2,100,39,0,1,1,0,0,0,1,1,6,6,0.2%,2019,10
23,Adam Vinatieri (FA),1,3,33.3,44,0,0,0,1,0,1,2,1,5,5,0.2%,2019,1
21,Adam Vinatieri (FA),1,1,100,36,0,0,1,0,0,2,2,1,5,5,0.2%,2019,12
26,Adam Vinatieri (FA),1,4,25,28,0,1,0,0,0,2,2,1,5,5,0.2%,2019,13
23,Adam Vinatieri (FA),0,0,0,0,0,0,0,0,0,4,4,1,4,4,0.2%,2019,7
25,Adam Vinatieri (FA),1,2,50,25,0,1,0,0,0,1,2,1,4,4,0.2%,2019,9
31,Adam Vinatieri (FA),0,0,0,0,0,0,0,0,0,1,3,1,1,1,0.2%,2019,2
7,Aldrick Rosas (DET),4,4,100,29,0,4,0,0,0,0,1,1,12,12,0.1%,2019,9
14,Aldrick Rosas (DET),2,2,100,45,0,1,0,1,0,1,1,1,8,8,0.1%,2019,13
18,Aldrick Rosas (DET),1,1,100,36,0,0,1,0,0,3,3,1,6,6,0.1%,2019,3
17,Aldrick Rosas (DET),1,1,100,30,0,0,1,0,0,3,3,1,6,6,0.1%,2019,4
21,Aldrick Rosas (DET),1,1,100,28,0,1,0,0,0,2,2,1,5,5,0.1%,2019,1
26,Aldrick Rosas (DET),1,1,100,34,0,0,1,0,0,2,2,1,5,5,0.1%,2019,14
23,Aldrick Rosas (DET),0,1,0,0,0,0,0,0,0,5,5,1,5,5,0.1%,2019,16
25,Aldrick Rosas (DET),1,1,100,37,0,0,1,0,0,2,2,1,5,5,0.1%,2019,17
24,Aldrick Rosas (DET),1,1,100,32,0,0,1,0,0,1,1,1,4,4,0.1%,2019,5
26,Aldrick Rosas (DET),0,0,0,0,0,0,0,0,0,4,5,1,4,4,0.1%,2019,15
25,Aldrick Rosas (DET),0,1,0,0,0,0,0,0,0,3,3,1,3,3,0.1%,2019,7
29,Aldrick Rosas (DET),0,1,0,0,0,0,0,0,0,2,2,1,2,2,0.1%,2019,2
25,Aldrick Rosas (DET),0,0,0,0,0,0,0,0,0,2,2,1,2,2,0.1%,2019,6
27,Aldrick Rosas (DET),0,0,0,0,0,0,0,0,0,2,3,1,2,2,0.1%,2019,8
27,Aldrick Rosas (DET),0,2,0,0,0,0,0,0,0,2,2,1,2,2,0.1%,2019,12
26,Aldrick Rosas (DET),0,0,0,0,0,0,0,0,0,1,2,1,1,1,0.1%,2019,10
4,Austin Seibert (DET),3,3,100,48,0,1,0,2,0,2,2,1,13,13,0.1%,2019,2
6,Austin Seibert (DET),4,4,100,39,0,1,3,0,0,1,1,1,13,13,0.1%,2019,9
3,Austin Seibert (DET),2,3,66.7,40,0,1,0,1,0,5,5,1,12,12,0.1%,2019,12
8,Austin Seibert (DET),2,2,100,43,0,1,0,1,0,4,4,1,11,11,0.1%,2019,4
10,Austin Seibert (DET),2,2,100,53,0,0,1,0,1,3,3,1,11,11,0.1%,2019,14
15,Austin Seibert (DET),2,2,100,47,0,0,1,1,0,1,1,1,8,8,0.1%,2019,8
14,Austin Seibert (DET),2,2,100,47,0,1,0,1,0,1,2,1,8,8,0.1%,2019,10
15,Austin Seibert (DET),2,2,100,35,0,1,1,0,0,1,1,1,7,7,0.1%,2019,3
19,Austin Seibert (DET),2,2,100,34,0,0,2,0,0,1,1,1,7,7,0.1%,2019,13
17,Austin Seibert (DET),1,2,50,44,0,0,0,1,0,3,3,1,7,7,0.1%,2019,15
20,Austin Seibert (DET),1,1,100,42,0,0,0,1,0,2,3,1,6,6,0.1%,2019,17
30,Austin Seibert (DET),1,1,100,47,0,0,0,1,0,0,1,1,4,4,0.1%,2019,16
26,Austin Seibert (DET),1,1,100,30,0,0,1,0,0,0,0,1,3,3,0.1%,2019,5
20,Austin Seibert (DET),0,2,0,0,0,0,0,0,0,3,3,1,3,3,0.1%,2019,11
26,Austin Seibert (DET),0,0,0,0,0,0,0,0,0,2,3,1,2,2,0.1%,2019,6
30,Austin Seibert (DET),0,0,0,0,0,0,0,0,0,1,2,1,1,1,0.1%,2019,1
2,Brandon McManus (DEN),3,3,100,53,0,0,1,0,2,2,2,1,15,15,49.4%,2019,13
5,Brandon McManus (DEN),3,4,75,51,0,0,0,2,1,1,1,1,14,14,49.4%,2019,17
5,Brandon McManus (DEN),3,3,100,53,0,0,1,1,1,1,1,1,13,13,49.4%,2019,6
2,Brandon McManus (DEN),3,4,75,47,0,1,0,2,0,2,2,1,13,13,49.4%,2019,11
12,Brandon McManus (DEN),3,4,75,39,0,2,1,0,0,1,1,1,10,10,49.4%,2019,1
10,Brandon McManus (DEN),2,3,66.7,46,0,0,0,2,0,2,2,1,10,10,49.4%,2019,5
10,Brandon McManus (DEN),2,2,100,34,0,1,1,0,0,3,3,1,9,9,49.4%,2019,16
12,Brandon McManus (DEN),2,2,100,43,0,0,0,2,0,0,0,1,8,8,49.4%,2019,2
16,Brandon McManus (DEN),1,1,100,36,0,0,1,0,0,5,5,1,8,8,49.4%,2019,14
20,Brandon McManus (DEN),2,2,100,29,0,2,0,0,0,1,1,1,7,7,49.4%,2019,8
17,Brandon McManus (DEN),1,1,100,43,0,0,0,1,0,3,3,1,7,7,49.4%,2019,9
16,Brandon McManus (DEN),1,1,100,33,0,0,1,0,0,3,3,1,6,6,49.4%,2019,4
24,Brandon McManus (DEN),1,1,100,30,0,0,1,0,0,1,2,1,4,4,49.4%,2019,3
25,Brandon McManus (DEN),1,1,100,45,0,0,0,1,0,0,0,1,4,4,49.4%,2019,12
29,Brandon McManus (DEN),1,1,100,32,0,0,1,0,0,0,0,1,3,3,49.4%,2019,15
69,Brandon McManus (DEN),0,1,0,0,0,0,0,0,0,0,0,1,0,0,49.4%,2019,7
1,Brett Maher (FA),3,3,100,63,0,2,0,0,1,4,4,1,15,15,2.0%,2019,7
4,Brett Maher (FA),3,4,75,52,0,1,1,0,1,4,4,1,15,15,2.0%,2019,9
3,Brett Maher (FA),3,4,75,62,0,0,1,0,2,1,1,1,14,14,2.0%,2019,6
9,Brett Maher (FA),3,4,75,46,0,2,0,1,0,0,0,1,10,10,2.0%,2019,12
9,Brett Maher (FA),2,2,100,34,0,0,2,0,0,3,3,1,9,9,2.0%,2019,11
17,Brett Maher (FA),1,1,100,25,0,1,0,0,0,4,4,1,7,7,2.0%,2019,2
