Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season
1,Jason Sanders (MIA),36,39,92.3,56,1,8,7,12,8,36,36,16,172,10.8,9.0%,2020
2,Younghoe Koo (ATL),37,39,94.9,54,0,10,11,8,8,33,36,15,168,11.2,42.3%,2020
3,Tyler Bass (BUF),28,34,82.4,58,1,9,6,8,4,57,59,16,157,9.8,83.0%,2020
4,Daniel Carlson (LV),33,35,94.3,54,0,18,8,3,4,45,47,16,155,9.7,89.9%,2020
5,Greg Zuerlein (NYJ),34,41,82.9,59,1,5,13,12,3,33,36,16,153,9.6,17.8%,2020
6,Rodrigo Blankenship (IND),32,37,86.5,53,0,10,12,9,1,43,45,16,150,9.4,7.5%,2020
7,Justin Tucker (BAL),26,29,89.7,55,0,8,6,9,3,52,53,16,145,9.1,99.5%,2020
8,Ryan Succop (TB),28,31,90.3,50,1,10,9,7,1,52,57,16,145,9.1,16.1%,2020
9,Cairo Santos (CHI),30,32,93.8,55,0,9,10,9,2,36,37,16,139,8.7,0.7%,2020
10,Jason Myers (SEA),24,24,100,61,0,2,7,13,2,49,53,16,138,8.6,3.6%,2020
11,Brandon McManus (DEN),28,34,82.4,58,0,6,4,8,10,24,27,15,136,9.1,49.4%,2020
12,Wil Lutz (NO),23,28,82.1,53,0,5,10,7,1,57,58,16,135,8.4,4.0%,2020
13,Harrison Butker (KC),25,27,92.6,58,2,7,9,3,4,48,54,16,134,8.4,81.3%,2020
14,Graham Gano (NYG),31,32,96.9,55,0,4,13,9,5,21,23,16,133,8.3,34.0%,2020
15,Ka'imi Fairbairn (HOU),27,31,87.1,54,0,8,9,6,4,37,40,16,132,8.3,0.3%,2020
16,Joey Slye (WAS),29,36,80.6,56,0,11,10,7,1,33,36,16,129,8.1,0.6%,2020
17,Dustin Hopkins (LAC),27,34,79.4,51,0,5,7,13,2,30,32,16,128,8,3.2%,2020
18,Nick Folk (NE),26,28,92.9,51,0,6,7,11,2,30,33,16,123,7.7,66.2%,2020
19,Mason Crosby (GB),16,16,100,57,1,1,5,5,4,59,63,16,120,7.5,23.3%,2020
20,Michael Badgley (FA),24,33,72.7,53,0,8,6,8,2,36,39,16,120,7.5,15.6%,2020
21,Stephen Gostkowski (FA),18,26,69.2,55,0,2,4,5,7,46,48,15,119,7.9,0.1%,2020
22,Matt Prater (ARI),21,28,75,59,0,4,7,4,6,38,41,16,117,7.3,53.5%,2020
23,Cody Parkey (FA),19,22,86.4,46,0,5,4,10,0,43,47,15,110,7.3,0.1%,2020
24,Robbie Gould (SF),19,23,82.6,52,0,3,5,9,2,36,38,15,106,7.1,32.9%,2020
25,Chris Boswell (PIT),19,20,95,59,0,5,6,7,1,34,38,13,100,7.7,10.7%,2020
26,Randy Bullock (TEN),21,26,80.8,55,0,3,8,7,3,24,25,12,100,8.3,2.0%,2020
27,Zane Gonzalez (CAR),16,22,72.7,56,0,4,2,8,2,38,39,12,98,8.2,0.5%,2020
28,Dan Bailey (FA),15,22,68.2,53,0,6,3,4,2,37,43,16,90,5.6,0.0%,2020
29,Jake Elliott (PHI),14,19,73.7,54,0,1,6,5,2,24,26,16,75,4.7,14.1%,2020
30,Matt Gay (LAR),14,16,87.5,51,0,2,5,6,1,16,16,7,66,9.4,78.3%,2020
31,Sam Sloman (PIT),10,13,76.9,47,0,2,6,2,0,23,26,8,55,6.9,0.0%,2020
32,Sam Ficken (FA),13,15,86.7,54,0,5,6,1,1,12,15,9,54,6,0.1%,2020
33,Aldrick Rosas (DET),8,11,72.7,54,0,3,2,0,3,9,9,6,39,6.5,0.1%,2020
34,Sergio Castillo (NYJ),8,13,61.5,55,0,1,3,2,2,6,7,6,36,6,0.0%,2020
35,Mike Nugent (FA),7,8,87.5,43,0,1,4,2,0,7,7,4,30,7.5,1.0%,2020
36,Josh Lambo (FA),5,5,100,59,0,0,2,1,2,8,10,4,28,7,0.1%,2020
37,Austin Seibert (DET),6,9,66.7,48,0,0,5,1,0,8,9,5,27,5.4,0.1%,2020
38,Matthew Wright (FA),4,4,100,46,0,1,1,2,0,7,7,3,21,7,1.3%,2020
39,Chase McLaughlin (FA),4,5,80,52,0,1,1,1,1,5,6,4,20,5,0.2%,2020
40,Tristan Vizcaino (FA),3,3,100,47,0,0,2,1,0,2,2,1,12,12,0.0%,2020
41,Kai Forbath (LAR),2,3,66.7,23,0,2,0,0,0,4,5,2,10,5,3.0%,2020
42,Jonathan Brown (FA),1,2,50,31,0,0,1,0,0,1,1,1,4,4,0.1%,2020
43,Elliott Fry (FA),1,1,100,23,0,1,0,0,0,1,2,1,4,4,4.0%,2020
44,Stephen Hauschka (FA),0,2,0,0,0,0,0,0,0,2,2,1,2,2,0.0%,2020
45,Taylor Russolino (FA),0,1,0,0,0,0,0,0,0,1,3,1,1,1,0.0%,2020
46,Brandon Wright (FA),0,0,0,0,0,0,0,0,0,1,2,1,1,1,0.0%,2020
83,Ty Long (FA),0,0,0,0,0,0,0,0,0,0,0,16,-2.8,-0.2,0.7%,2020
