Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
1,Jason Sanders (MIA),4,4,100,44,0,1,2,1,0,2,2,1,15,15,9.0%,2020,16
2,Brandon McManus (DEN),3,4,75,52,0,0,1,0,2,1,1,1,14,14,49.4%,2020,16
3,Austin Seibert (DET),3,4,75,48,0,0,2,1,0,4,4,1,14,14,0.1%,2020,16
4,Michael Badgley (FA),4,4,100,43,0,1,2,1,0,1,1,1,14,14,15.6%,2020,16
5,Greg Zuerlein (NYJ),3,3,100,35,0,2,1,0,0,4,4,1,13,13,17.8%,2020,16
6,Daniel Carlson (LV),4,4,100,38,0,3,1,0,0,1,2,1,13,13,89.9%,2020,16
7,Matt Gay (LAR),3,3,100,51,0,0,1,1,1,0,0,1,12,12,78.3%,2020,16
8,Cairo Santos (CHI),2,2,100,40,0,1,0,1,0,5,5,1,12,12,0.7%,2020,16
9,Jason Myers (SEA),2,2,100,49,0,0,0,2,0,2,2,1,10,10,3.6%,2020,16
10,Wil Lutz (NO),1,1,100,30,0,0,1,0,0,7,7,1,10,10,4.0%,2020,16
11,Justin Tucker (BAL),2,2,100,28,0,2,0,0,0,3,3,1,9,9,99.5%,2020,16
12,Tyler Bass (BUF),1,1,100,22,0,1,0,0,0,5,5,1,8,8,83.0%,2020,16
13,Dustin Hopkins (LAC),2,2,100,48,0,1,0,1,0,1,1,1,8,8,3.2%,2020,16
14,Graham Gano (NYG),2,2,100,42,0,0,1,1,0,1,1,1,8,8,34.0%,2020,16
15,Harrison Butker (KC),1,1,100,53,0,0,0,0,1,2,2,1,7,7,81.3%,2020,16
16,Ka'imi Fairbairn (HOU),1,1,100,21,0,1,0,0,0,4,4,1,7,7,0.3%,2020,16
17,Mike Nugent (FA),2,2,100,43,0,1,0,1,0,0,0,1,7,7,1.0%,2020,16
18,Rodrigo Blankenship (IND),1,1,100,28,0,1,0,0,0,3,3,1,6,6,7.5%,2020,16
19,Sam Ficken (FA),1,2,50,34,0,0,1,0,0,2,3,1,5,5,0.1%,2020,16
20,Ryan Succop (TB),0,1,0,0,0,0,0,0,0,5,7,1,5,5,16.1%,2020,16
21,Cody Parkey (FA),1,1,100,44,0,0,0,1,0,1,2,1,5,5,0.1%,2020,16
22,Aldrick Rosas (DET),1,1,100,26,0,1,0,0,0,2,2,1,5,5,0.1%,2020,16
23,Jake Elliott (PHI),1,1,100,38,0,0,1,0,0,2,2,1,5,5,14.1%,2020,16
24,Nick Folk (NE),1,1,100,45,0,0,0,1,0,0,1,1,4,4,66.2%,2020,16
25,Mason Crosby (GB),0,0,0,0,0,0,0,0,0,4,5,1,4,4,23.3%,2020,16
26,Matthew Wright (FA),0,0,0,0,0,0,0,0,0,4,4,1,4,4,1.3%,2020,16
27,Dan Bailey (FA),0,0,0,0,0,0,0,0,0,3,4,1,3,3,0.0%,2020,16
28,Joey Slye (WAS),0,0,0,0,0,0,0,0,0,2,3,1,2,2,0.6%,2020,16
29,Stephen Gostkowski (FA),0,0,0,0,0,0,0,0,0,2,2,1,2,2,0.1%,2020,16
30,Robbie Gould (SF),0,2,0,0,0,0,0,0,0,2,3,1,2,2,32.9%,2020,16
31,Younghoe Koo (ATL),0,1,0,0,0,0,0,0,0,2,2,1,2,2,42.3%,2020,16
32,Matt Prater (ARI),0,0,0,0,0,0,0,0,0,1,1,1,1,1,53.5%,2020,16
53,Ty Long (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7%,2020,16
