Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season
14,Adam Vinatieri (FA),23,27,85.2,54,0,8,6,5,4,44,47,16,126,7.9,0.2%,2018
29,Adam Vinatieri (FA),17,25,68,55,0,6,6,3,2,22,28,12,80,6.7,0.2%,2019
7,Aldrick Rosas (DET),32,33,97,57,0,9,13,6,4,31,32,16,141,8.8,0.1%,2018
30,Aldrick Rosas (DET),12,17,70.6,45,0,6,5,1,0,35,39,16,72,4.5,0.1%,2019
33,Aldrick Rosas (DET),8,11,72.7,54,0,3,2,0,3,9,9,6,39,6.5,0.1%,2020
38,Aldrick Rosas (DET),2,5,40,44,0,0,0,2,0,14,14,5,22,4.4,0.1%,2021
50,Alex Kessman (FA),0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.1%,2021
17,Austin Seibert (DET),25,29,86.2,53,0,6,9,9,1,30,35,16,116,7.3,0.1%,2019
34,Austin Seibert (DET),10,12,83.3,52,0,0,4,5,1,5,5,6,42,7,0.1%,2021
37,Austin Seibert (DET),6,9,66.7,48,0,0,5,1,0,8,9,5,27,5.4,0.1%,2020
11,Brandon McManus (DEN),28,34,82.4,58,0,6,4,8,10,24,27,15,136,9.1,49.4%,2020
9,Brandon McManus (DEN),29,34,85.3,53,0,6,8,11,4,25,26,16,131,8.2,49.4%,2019
17,Brandon McManus (DEN),26,31,83.9,61,0,7,6,8,5,33,34,17,129,7.6,49.4%,2021
21,Brandon McManus (DEN),20,25,80,53,0,5,6,7,2,35,35,16,106,6.6,49.4%,2018
46,Brandon Wright (FA),0,0,0,0,0,0,0,0,0,1,2,1,1,1,0.0%,2020
9,Brett Maher (FA),29,36,80.6,62,0,10,6,7,6,32,33,16,138,8.6,2.0%,2018
23,Brett Maher (FA),20,30,66.7,63,0,9,6,1,4,36,36,13,105,8.1,2.0%,2019
30,Brett Maher (FA),16,18,88.9,42,0,4,8,4,0,10,12,8,62,7.8,2.0%,2021
35,Brian Johnson (WAS),10,10,100,52,0,5,3,1,1,9,13,8,42,5.3,0.1%,2021
9,Cairo Santos (CHI),30,32,93.8,55,0,9,10,9,2,36,37,16,139,8.7,0.7%,2020
20,Cairo Santos (CHI),26,30,86.7,47,0,10,5,11,0,27,28,17,116,6.8,0.7%,2021
32,Cairo Santos (CHI),14,18,77.8,45,1,4,6,3,0,22,23,9,67,7.4,0.7%,2018
38,Cairo Santos (CHI),4,9,44.4,53,0,0,1,2,1,12,12,5,28,5.6,0.7%,2019
34,Caleb Sturgis (FA),9,13,69.2,49,0,4,2,3,0,9,15,6,39,6.5,0.0%,2018
80,Caleb Sturgis (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
49,Cameron Nizialek (PIT),0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0%,2021
28,Chandler Catanzaro (FA),16,20,80,59,0,4,9,0,3,30,35,13,84,6.5,0.0%,2018
27,Chase McLaughlin (FA),15,21,71.4,57,0,3,4,4,4,36,37,16,93,5.8,0.2%,2021
28,Chase McLaughlin (FA),18,23,78.3,50,1,5,4,5,3,26,26,11,91,8.3,0.2%,2019
39,Chase McLaughlin (FA),4,5,80,52,0,1,1,1,1,5,6,4,20,5,0.2%,2020
43,Chris Blewitt (FA),2,5,40,52,0,0,0,1,1,2,2,2,11,5.5,0.2%,2021
3,Chris Boswell (PIT),36,40,90,56,0,9,8,11,8,27,29,17,162,9.5,10.7%,2021
12,Chris Boswell (PIT),29,31,93.5,51,1,11,7,9,1,28,28,16,126,7.9,10.7%,2019
25,Chris Boswell (PIT),19,20,95,59,0,5,6,7,1,34,38,13,100,7.7,10.7%,2020
25,Chris Boswell (PIT),13,20,65,50,0,3,4,5,1,43,48,15,93.1,6.2,10.7%,2018
45,Chris Naggar (DAL),1,1,100,37,0,0,1,0,0,1,2,1,4,4,52.6%,2021
16,Cody Parkey (FA),23,30,76.7,50,0,6,7,9,1,42,45,16,122,7.6,0.1%,2018
23,Cody Parkey (FA),19,22,86.4,46,0,5,4,10,0,43,47,15,110,7.3,0.1%,2020
40,Cody Parkey (FA),3,3,100,51,0,0,0,2,1,5,6,4,18,4.5,0.1%,2019
46,Cody Parkey (FA),0,0,0,0,0,0,0,0,0,3,5,1,3,3,0.1%,2021
8,Dan Bailey (FA),27,29,93.1,50,0,10,9,5,3,40,44,16,132,8.3,0.0%,2019
23,Dan Bailey (FA),21,28,75,52,0,5,11,4,1,30,31,14,99,7.1,0.0%,2018
28,Dan Bailey (FA),15,22,68.2,53,0,6,3,4,2,37,43,16,90,5.6,0.0%,2020
1,Daniel Carlson (LV),40,43,93,56,0,10,12,12,6,30,33,17,174,10.2,89.9%,2021
4,Daniel Carlson (LV),33,35,94.3,54,0,18,8,3,4,45,47,16,155,9.7,89.9%,2020
25,Daniel Carlson (LV),19,26,73.1,48,0,8,5,6,0,34,36,16,97,6.1,89.9%,2019
26,Daniel Carlson (LV),17,21,81,50,0,2,3,9,3,24,24,12,90,7.5,89.9%,2018
42,Dominik Eberle (GB),2,3,66.7,51,0,1,0,0,1,5,5,1,13,13,0.1%,2021
10,Dustin Hopkins (LAC),30,34,88.2,50,1,8,6,13,2,40,44,17,147,8.6,3.2%,2021
17,Dustin Hopkins (LAC),27,34,79.4,51,0,5,7,13,2,30,32,16,128,8,3.2%,2020
17,Dustin Hopkins (LAC),26,29,89.7,56,0,5,7,10,4,25,26,16,121,7.6,3.2%,2018
21,Dustin Hopkins (LAC),25,30,83.3,53,0,7,8,8,2,21,22,16,108,6.8,3.2%,2019
24,Eddy Pineiro (NYJ),23,28,82.1,53,1,8,9,3,2,27,29,16,103,6.4,0.1%,2019
36,Eddy Pineiro (NYJ),8,8,100,51,0,2,2,3,1,9,10,5,38,7.6,0.1%,2021
41,Elliott Fry (FA),4,5,80,44,0,0,3,1,0,4,5,3,17,5.7,4.0%,2021
43,Elliott Fry (FA),1,1,100,23,0,1,0,0,0,1,2,1,4,4,4.0%,2020
7,Evan McPherson (CIN),28,33,84.8,58,0,5,8,6,9,46,48,16,154,9.6,93.5%,2021
