Rank,Player,CMP,PassATT,PCT,PassYDS,PassY/A,PassTD,INT,SACKS,RushATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Joe Burrow (CIN),30,39,76.9,446,11.4,4,0,4,5,10,0,0,1,34.8,34.8,95.7%,2021,17
2,Russell Wilson (DEN),20,29,69,236,8.1,4,0,1,6,24,0,0,1,27.8,27.8,93.5%,2021,17
3,Tom Brady (TB),34,50,68,410,8.2,3,1,1,0,0,0,0,1,27.4,27.4,97.3%,2021,17
4,Josh Allen (BUF),11,26,42.3,120,4.6,0,3,0,15,81,2,0,1,23.9,23.9,99.9%,2021,17
5,Dak Prescott (DAL),24,38,63.2,226,5.9,3,0,1,5,20,0,1,1,23,23,94.4%,2021,17
6,Kyler Murray (ARI),26,38,68.4,263,6.9,2,0,1,9,44,0,0,1,22.9,22.9,95.6%,2021,17
7,Mac Jones (NE),22,30,73.3,227,7.6,3,0,0,2,12,0,0,1,22.3,22.3,48.1%,2021,17
8,Patrick Mahomes II (KC),26,35,74.3,259,7.4,2,0,0,2,25,0,0,1,20.9,20.9,99.8%,2021,17
9,Aaron Rodgers (GB),29,38,76.3,288,7.6,2,0,0,2,8,0,0,1,20.3,20.3,94.9%,2021,17
10,Trey Lance (SF),16,23,69.6,249,10.8,2,1,1,8,31,0,0,1,20.1,20.1,87.0%,2021,17
11,Tim Boyle (DET),22,37,59.5,262,7.1,2,3,0,1,14,0,0,1,18.9,18.9,0.1%,2021,17
12,Justin Herbert (LAC),22,31,71,237,7.6,2,0,0,4,2,0,0,1,17.7,17.7,99.7%,2021,17
13,Taysom Hill (NO),17,28,60.7,222,7.9,1,0,2,12,45,0,0,1,17.4,17.4,2.7%,2021,17
14,Matthew Stafford (LAR),26,35,74.3,309,8.8,2,2,1,1,-1,0,1,1,16.3,16.3,93.8%,2021,17
15,Drew Lock (SEA),18,25,72,245,9.8,1,0,1,3,10,0,0,1,15.9,15.9,1.8%,2021,17
16,Baker Mayfield (CLE),16,38,42.1,185,4.9,2,2,9,2,16,0,0,1,15,15,1.4%,2021,17
17,Ryan Tannehill (TEN),13,18,72.2,120,6.7,2,0,1,4,7,0,0,1,13.5,13.5,46.8%,2021,17
18,Zach Wilson (NYJ),19,33,57.6,234,7.1,1,0,1,2,0,0,0,1,13.4,13.4,32.3%,2021,17
19,Sean Mannion (MIN),22,36,61.1,189,5.3,1,0,2,2,14,0,0,1,13,13,0.1%,2021,17
20,Jalen Hurts (PHI),17,26,65.4,214,8.2,0,0,1,7,44,0,0,1,13,13,93.3%,2021,17
21,Tyler Huntley (BAL),20,32,62.5,197,6.2,0,1,5,6,54,0,0,1,12.3,12.3,8.9%,2021,17
22,Derek Carr (LV),24,31,77.4,255,8.2,1,2,2,0,0,0,0,1,12.2,12.2,89.5%,2021,17
23,Andy Dalton (NO),18,35,51.4,173,4.9,1,1,2,3,14,0,0,1,11.3,11.3,0.4%,2021,17
24,Carson Wentz (WAS),16,27,59.3,148,5.5,1,0,1,3,10,0,0,1,10.9,10.9,20.1%,2021,17
25,Taylor Heinicke (WAS),27,36,75,247,6.9,0,1,3,2,14,0,0,1,10.3,10.3,0.8%,2021,17
26,Trevor Lawrence (JAC),17,27,63,193,7.1,1,3,2,2,16,0,0,1,10.3,10.3,66.5%,2021,17
27,Davis Mills (HOU),21,32,65.6,163,5.1,1,1,3,1,4,0,0,1,9.9,9.9,7.1%,2021,17
28,Ben Roethlisberger (FA),24,46,52.2,123,2.7,1,1,2,1,-1,0,0,1,7.8,7.8,23.8%,2021,17
29,Matt Ryan (IND),13,23,56.5,197,8.6,0,0,5,2,7,0,1,1,6.6,6.6,50.4%,2021,17
30,Tua Tagovailoa (MIA),18,38,47.4,205,5.4,0,1,4,2,1,0,1,1,5.3,5.3,63.1%,2021,17
31,Sam Darnold (CAR),17,26,65.4,132,5.1,0,1,7,2,7,0,1,1,3,3,1.2%,2021,17
32,Brian Hoyer (NE),3,4,75,63,15.8,0,0,0,2,1,0,0,1,2.6,2.6,0.1%,2021,17
33,Jordan Love (GB),2,4,50,19,4.8,0,0,0,2,9,0,0,1,1.7,1.7,0.9%,2021,17
34,Marcus Mariota (ATL),0,1,0,0,0,0,0,0,3,16,0,0,1,1.6,1.6,19.4%,2021,17
35,Cam Newton (FA),0,0,0,0,0,0,0,0,1,5,0,0,1,0.5,0.5,9.4%,2021,17
36,Kellen Mond (MIN),2,3,66.7,5,1.7,0,0,0,0,0,0,0,1,0.2,0.2,0.4%,2021,17
42,Brett Rypien (DEN),0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2021,17
48,Trace McSorley (ARI),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7%,2021,17
109,Jacoby Brissett (CLE),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7%,2021,17
110,Brandon Allen (CIN),0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.3%,2021,17
131,Mike Glennon (NYG),4,11,36.4,24,2.2,0,2,4,1,13,0,2,1,-3.7,-3.7,0.6%,2021,17
