Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season
1,Christian McCaffrey (CAR),287,"1,387",4.8,84,6,15,116,142,"1,005",8.7,4,0,16,471.2,29.5,99.8%,2019
2,Aaron Jones (GB),236,"1,084",4.6,56,5,16,49,68,474,9.7,3,2,16,314.8,19.7,99.5%,2019
3,Ezekiel Elliott (DAL),301,"1,357",4.5,33,4,12,54,71,420,7.8,2,2,16,311.7,19.5,96.8%,2019
4,Austin Ekeler (LAC),132,557,4.2,35,4,3,92,108,993,10.8,8,2,16,309,19.3,99.9%,2019
5,Derrick Henry (TEN),303,"1,540",5.1,74,9,16,18,24,206,11.4,2,3,15,294.6,19.6,99.8%,2019
6,Dalvin Cook (MIN),250,"1,135",4.5,75,7,13,53,63,519,9.8,0,2,14,292.4,20.9,99.9%,2019
7,Leonard Fournette (TB),265,"1,152",4.3,81,7,3,76,100,522,6.9,0,1,15,259.4,17.3,99.7%,2019
8,Nick Chubb (CLE),298,"1,494",5,88,11,8,36,49,278,7.7,0,3,16,255.2,16,99.4%,2019
9,Alvin Kamara (NO),171,797,4.7,40,5,5,81,97,533,6.6,1,1,14,248.5,17.8,99.8%,2019
10,Saquon Barkley (NYG),217,"1,003",4.6,68,8,6,52,73,438,8.4,2,0,13,244.1,18.8,98.7%,2019
11,Mark Ingram II (NO),202,"1,018",5,53,6,10,26,29,247,9.5,5,2,15,242.5,16.2,5.6%,2019
12,Chris Carson (SEA),278,"1,230",4.4,59,8,7,37,47,266,7.2,2,4,15,232.6,15.5,71.3%,2019
13,Joe Mixon (CIN),278,"1,137",4.1,41,6,5,35,45,287,8.2,3,0,16,225.4,14.1,99.8%,2019
14,Todd Gurley II (FA),223,857,3.8,25,5,12,31,49,207,6.7,2,2,15,219.4,14.6,0.2%,2019
15,Miles Sanders (PHI),179,818,4.6,65,5,3,50,63,509,10.2,3,1,16,218.7,13.7,91.9%,2019
16,Le'Veon Bell (FA),245,789,3.2,19,0,3,66,78,461,7,1,1,15,215,14.3,0.3%,2019
17,Kenyan Drake (LV),170,817,4.8,80,4,8,50,68,345,6.9,0,1,14,214.2,15.3,24.7%,2019
18,James White (NE),67,263,3.9,32,1,1,72,95,645,9,5,1,15,200.2,13.3,5.2%,2019
19,Phillip Lindsay (MIA),224,"1,011",4.5,40,7,7,35,48,196,5.6,0,0,16,197.7,12.4,0.7%,2019
20,Devonta Freeman (FA),184,656,3.6,28,3,2,59,70,410,6.9,4,2,14,197.6,14.1,0.8%,2019
21,Josh Jacobs (LV),242,"1,150",4.8,51,8,7,20,27,166,8.3,0,1,13,191.6,14.7,98.3%,2019
22,Marlon Mack (HOU),247,"1,091",4.4,63,9,8,14,17,82,5.9,0,0,14,181.3,13,29.5%,2019
23,Melvin Gordon III (DEN),162,612,3.8,24,2,8,42,55,296,7,1,3,12,180.8,15.1,85.3%,2019
24,David Montgomery (CHI),242,889,3.7,55,3,6,25,35,185,7.4,1,2,16,170.4,10.7,98.6%,2019
25,Ronald Jones II (KC),172,724,4.2,49,6,6,31,40,309,10,0,2,16,166.3,10.4,86.4%,2019
26,Raheem Mostert (MIA),137,772,5.6,41,3,8,14,22,180,12.9,2,2,16,165.2,10.3,83.4%,2019
