Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
2,Aaron Jones (GB),17,67,3.9,9,0,1,6,6,48,8,3,0,1,41.5,41.5,99.5%,2021,2
4,Aaron Jones (GB),15,59,3.9,16,0,1,7,11,51,7.3,0,0,1,24,24,99.5%,2021,8
8,Aaron Jones (GB),5,35,7,15,0,1,3,3,30,10,1,0,1,21.5,21.5,99.5%,2021,14
10,Aaron Jones (GB),13,76,5.8,28,0,0,4,4,34,8.5,1,0,1,21,21,99.5%,2021,6
16,Aaron Jones (GB),19,82,4.3,12,0,1,2,2,14,7,0,0,1,17.6,17.6,99.5%,2021,3
21,Aaron Jones (GB),8,76,9.5,28,0,0,5,6,30,6,0,0,1,15.6,15.6,99.5%,2021,17
13,Aaron Jones (GB),13,58,4.5,11,0,0,2,2,12,6,1,0,1,15,15,99.5%,2021,15
23,Aaron Jones (GB),14,103,7.4,57,0,0,4,5,6,1.5,0,0,1,14.9,14.9,99.5%,2021,5
19,Aaron Jones (GB),12,66,5.5,27,0,0,5,6,21,4.2,0,0,1,13.7,13.7,99.5%,2021,16
20,Aaron Jones (GB),7,25,3.6,6,0,0,4,6,61,15.3,0,0,1,12.6,12.6,99.5%,2021,10
29,Aaron Jones (GB),15,48,3.2,15,0,0,3,4,51,17,0,1,1,10.9,10.9,99.5%,2021,4
32,Aaron Jones (GB),6,19,3.2,9,0,0,5,5,20,4,0,0,1,8.9,8.9,99.5%,2021,7
48,Aaron Jones (GB),12,53,4.4,9,0,0,0,2,0,0,0,0,1,5.3,5.3,99.5%,2021,9
51,Aaron Jones (GB),5,9,1.8,3,0,0,2,2,13,6.5,0,0,1,4.2,4.2,99.5%,2021,1
63,Aaron Jones (GB),10,23,2.3,8,0,0,0,1,0,0,0,0,1,2.3,2.3,99.5%,2021,12
65,Adam Prentice (NO),0,0,0,0,0,0,1,1,10,10,0,0,1,2,2,0.1%,2021,12
72,Adam Prentice (NO),1,2,2,2,0,0,1,1,4,4,0,0,1,1.6,1.6,0.1%,2021,17
74,Adam Prentice (NO),1,1,1,1,0,0,1,1,2,2,0,0,1,1.3,1.3,0.1%,2021,18
85,Adam Prentice (NO),1,2,2,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.1%,2021,16
200,Adam Prentice (NO),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2021,14
36,Adrian Peterson (FA),10,21,2.1,6,0,1,1,1,5,5,0,0,1,9.6,9.6,2.1%,2021,9
31,Adrian Peterson (FA),11,16,1.5,7,0,1,0,0,0,0,0,0,1,7.6,7.6,2.1%,2021,13
35,Adrian Peterson (FA),9,40,4.4,16,0,0,2,2,4,2,0,0,1,6.4,6.4,2.1%,2021,11
53,Adrian Peterson (FA),8,21,2.6,6,0,0,1,1,-1,-1,0,0,1,3,3,2.1%,2021,10
3,AJ Dillon (GB),21,66,3.1,11,0,2,2,2,62,31,0,0,1,26.8,26.8,89.0%,2021,10
7,AJ Dillon (GB),14,63,4.5,9,0,2,2,3,20,10,0,0,1,22.3,22.3,89.0%,2021,17
9,AJ Dillon (GB),20,69,3.5,8,0,0,5,5,21,4.2,1,0,1,20,20,89.0%,2021,12
19,AJ Dillon (GB),8,30,3.8,17,0,0,4,4,49,12.3,1,0,1,17.9,17.9,89.0%,2021,5
13,AJ Dillon (GB),11,53,4.8,11,0,0,6,6,44,7.3,0,0,1,15.7,15.7,89.0%,2021,11
18,AJ Dillon (GB),8,46,5.8,15,0,0,4,4,44,11,0,0,1,13,13,89.0%,2021,9
30,AJ Dillon (GB),15,81,5.4,25,0,0,1,1,16,16,0,0,1,10.7,10.7,89.0%,2021,4
25,AJ Dillon (GB),7,22,3.1,6,0,1,1,1,13,13,0,0,1,10.5,10.5,89.0%,2021,15
31,AJ Dillon (GB),9,41,4.6,8,0,0,3,3,15,5,0,0,1,8.6,8.6,89.0%,2021,16
40,AJ Dillon (GB),16,78,4.9,12,0,0,0,0,0,0,0,0,1,7.8,7.8,89.0%,2021,8
42,AJ Dillon (GB),14,63,4.5,9,0,0,1,1,4,4,0,0,1,7.7,7.7,89.0%,2021,18
35,AJ Dillon (GB),15,71,4.7,11,0,0,0,0,0,0,0,0,1,7.1,7.1,89.0%,2021,14
41,AJ Dillon (GB),11,59,5.4,36,0,0,0,0,0,0,0,0,1,5.9,5.9,89.0%,2021,6
49,AJ Dillon (GB),6,18,3,6,0,0,2,2,8,4,0,0,1,4.6,4.6,89.0%,2021,3
56,AJ Dillon (GB),4,19,4.8,6,0,0,1,2,7,7,0,0,1,3.6,3.6,89.0%,2021,1
55,AJ Dillon (GB),5,18,3.6,8,0,0,1,1,8,8,0,0,1,3.6,3.6,89.0%,2021,2
259,AJ Dillon (GB),3,6,2,3,0,0,1,2,2,2,0,1,1,-0.2,-0.2,89.0%,2021,7
41,Alec Ingold (MIA),1,0,0,0,0,0,1,1,1,1,1,0,1,7.1,7.1,0.1%,2021,3
44,Alec Ingold (MIA),0,0,0,0,0,0,4,4,22,5.5,0,0,1,6.2,6.2,0.1%,2021,1
44,Alec Ingold (MIA),0,0,0,0,0,0,3,3,28,9.3,0,0,1,5.8,5.8,0.1%,2021,9
46,Alec Ingold (MIA),1,1,1,1,0,0,1,1,29,29,0,0,1,4,4,0.1%,2021,7
64,Alec Ingold (MIA),0,0,0,0,0,0,1,1,5,5,0,0,1,1.5,1.5,0.1%,2021,10
124,Alec Ingold (MIA),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1%,2021,2
158,Alec Ingold (MIA),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1%,2021,6
44,Alex Armah Jr. (WAS),0,0,0,0,0,0,1,1,1,1,1,0,1,7.1,7.1,0.1%,2021,8
70,Alex Armah Jr. (WAS),2,12,6,9,0,0,0,0,0,0,0,0,1,1.2,1.2,0.1%,2021,9
78,Alex Armah Jr. (WAS),1,5,5,5,0,0,0,0,0,0,0,0,1,0.5,0.5,0.1%,2021,3
81,Alex Armah Jr. (WAS),1,2,2,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.1%,2021,4
75,Alex Armah Jr. (WAS),1,2,2,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.1%,2021,7
250,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2021,2
246,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2021,11
245,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2021,13
