Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Najee Harris (PIT),14,40,2.9,20,0,0,14,19,102,7.3,0,0,1,28.2,28.2,99.8%,2021,3
2,Kareem Hunt (CLE),10,81,8.1,29,0,1,6,7,74,12.3,0,0,1,27.5,27.5,91.2%,2021,3
3,Ezekiel Elliott (DAL),17,95,5.6,13,0,2,3,3,21,7,0,0,1,26.6,26.6,96.8%,2021,3
4,James Robinson (JAC),15,88,5.9,21,0,1,6,6,46,7.7,0,0,1,25.4,25.4,81.2%,2021,3
5,D'Andre Swift (DET),14,47,3.4,14,0,1,7,7,60,8.6,0,0,1,23.7,23.7,99.5%,2021,3
6,Peyton Barber (FA),23,111,4.8,27,0,1,3,5,31,10.3,0,0,1,23.2,23.2,0.6%,2021,3
7,Alexander Mattison (MIN),26,112,4.3,24,0,0,6,8,59,9.8,0,0,1,23.1,23.1,72.5%,2021,3
8,Austin Ekeler (LAC),11,55,5,11,0,0,6,6,52,8.7,1,0,1,22.7,22.7,99.9%,2021,3
9,Saquon Barkley (NYG),16,51,3.2,15,0,1,6,7,43,7.2,0,0,1,21.4,21.4,98.7%,2021,3
10,Alvin Kamara (NO),24,89,3.7,11,0,0,3,4,29,9.7,1,0,1,20.8,20.8,99.8%,2021,3
11,Giovani Bernard (TB),0,0,0,0,0,0,9,10,51,5.7,1,0,1,20.1,20.1,0.9%,2021,3
12,Derrick Henry (TEN),28,113,4,19,0,0,3,3,31,10.3,0,0,1,19.4,19.4,99.8%,2021,3
13,Nyheim Hines (IND),6,25,4.2,9,0,1,5,6,54,10.8,0,0,1,18.9,18.9,51.7%,2021,3
14,James Conner (ARI),11,43,3.9,11,0,2,1,1,10,10,0,0,1,18.3,18.3,98.7%,2021,3
15,Zack Moss (BUF),13,60,4.6,9,0,0,3,3,31,10.3,1,0,1,18.1,18.1,4.8%,2021,3
16,Aaron Jones (GB),19,82,4.3,12,0,1,2,2,14,7,0,0,1,17.6,17.6,99.5%,2021,3
17,Antonio Gibson (WAS),12,31,2.6,7,0,0,1,2,73,73,1,0,1,17.4,17.4,98.3%,2021,3
18,Clyde Edwards-Helaire (KC),17,100,5.9,14,0,0,2,2,9,4.5,1,1,1,16.9,16.9,92.3%,2021,3
19,Cordarrelle Patterson (ATL),7,20,2.9,11,0,0,6,7,82,13.7,0,0,1,16.2,16.2,93.2%,2021,3
20,Chris Carson (SEA),12,80,6.7,30,0,1,2,2,2,1,0,0,1,16.2,16.2,71.3%,2021,3
21,Melvin Gordon III (DEN),18,60,3.3,10,0,1,1,2,21,21,0,0,1,15.2,15.2,85.3%,2021,3
22,Kyle Juszczyk (SF),5,14,2.8,5,0,0,4,4,37,9.3,1,0,1,15.1,15.1,0.9%,2021,3
23,Jamaal Williams (DET),12,42,3.5,14,0,1,2,2,25,12.5,0,0,1,14.7,14.7,47.8%,2021,3
24,Chase Edmonds (MIA),11,26,2.4,7,0,0,7,8,49,7,0,0,1,14.5,14.5,90.2%,2021,3
25,Javonte Williams (DEN),12,29,2.4,14,0,1,3,4,33,11,0,1,1,13.2,13.2,99.4%,2021,3
26,Trey Sermon (SF),10,31,3.1,16,0,1,2,3,3,1.5,0,0,1,11.4,11.4,19.3%,2021,3
27,Mike Davis (BAL),12,50,4.2,11,0,0,4,4,20,5,0,0,1,11,11,1.9%,2021,3
28,Sony Michel (MIA),20,67,3.4,15,0,0,3,4,12,4,0,0,1,10.9,10.9,31.3%,2021,3
29,Chuba Hubbard (CAR),11,52,4.7,14,0,0,3,5,27,9,0,0,1,10.9,10.9,7.1%,2021,3
30,Myles Gaskin (MIA),13,65,5,15,0,0,3,6,9,3,0,0,1,10.4,10.4,23.6%,2021,3
31,Joe Mixon (CIN),18,90,5,27,0,0,1,1,4,4,0,0,1,10.4,10.4,99.8%,2021,3
32,Malcolm Brown (MIA),7,31,4.4,24,0,1,0,2,0,0,0,0,1,9.1,9.1,0.1%,2021,3
33,Kenyan Drake (LV),8,24,3,6,0,0,3,6,33,11,0,0,1,8.7,8.7,24.7%,2021,3
34,Jeremy McNichols (FA),2,6,3,5,0,0,1,2,10,10,1,0,1,8.6,8.6,3.6%,2021,3
35,Miles Sanders (PHI),2,27,13.5,24,0,0,3,4,28,9.3,0,0,1,8.5,8.5,91.9%,2021,3
36,Nick Chubb (CLE),22,84,3.8,14,0,0,0,0,0,0,0,0,1,8.4,8.4,99.4%,2021,3
37,Jonathan Taylor (IND),10,64,6.4,23,0,0,1,1,8,8,0,0,1,8.2,8.2,99.9%,2021,3
38,Travis Homer (SEA),0,0,0,0,0,0,3,3,48,16,0,0,1,7.8,7.8,0.2%,2021,3
39,Tony Pollard (DAL),11,60,5.5,11,0,0,1,1,5,5,0,0,1,7.5,7.5,90.4%,2021,3
40,David Montgomery (CHI),10,34,3.4,16,0,0,2,4,21,10.5,0,0,1,7.5,7.5,98.6%,2021,3
41,Alec Ingold (MIA),1,0,0,0,0,0,1,1,1,1,1,0,1,7.1,7.1,0.1%,2021,3
42,Kenneth Gainwell (PHI),1,2,2,2,0,0,3,4,32,10.7,0,0,1,6.4,6.4,32.7%,2021,3
43,Leonard Fournette (TB),4,8,2,3,0,0,3,3,26,8.7,0,0,1,6.4,6.4,99.7%,2021,3
44,Christian McCaffrey (CAR),7,31,4.4,10,0,0,2,2,9,4.5,0,0,1,6,6,99.8%,2021,3
45,Darrel Williams (KC),7,28,4,7,0,0,2,3,11,5.5,0,0,1,5.9,5.9,1.7%,2021,3
46,J.D. McKissic (WAS),3,23,7.7,11,0,0,2,2,15,7.5,0,0,1,5.8,5.8,65.5%,2021,3
47,Brandon Bolden (LV),3,-1,-0.3,0,0,0,3,4,23,7.7,0,0,1,5.2,5.2,0.8%,2021,3
48,Michael Carter (NYJ),9,24,2.7,8,0,0,2,3,5,2.5,0,0,1,4.9,4.9,92.2%,2021,3
49,AJ Dillon (GB),6,18,3,6,0,0,2,2,8,4,0,0,1,4.6,4.6,89.0%,2021,3
50,Chris Evans (CIN),0,0,0,0,0,0,2,2,26,13,0,0,1,4.6,4.6,1.2%,2021,3
51,Carlos Hyde (FA),8,44,5.5,18,0,0,0,0,0,0,0,0,1,4.4,4.4,0.2%,2021,3
