Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season
2,Aaron Jones (GB),236,"1,084",4.6,56,5,16,49,68,474,9.7,3,2,16,314.8,19.7,99.5%,2019
5,Aaron Jones (GB),201,"1,104",5.5,77,0,9,47,63,355,7.6,2,0,14,258.9,18.5,99.5%,2020
11,Aaron Jones (GB),171,799,4.7,57,0,4,52,65,391,7.5,6,1,15,229,15.3,99.5%,2021
24,Aaron Jones (GB),133,729,5.5,67,4,8,26,35,206,7.9,1,1,12,171.5,14.3,99.5%,2018
140,Adam Prentice (NO),3,5,1.7,2,0,0,3,3,16,5.3,0,0,5,5.1,1,0.1%,2021
195,Adrian Killins Jr. (FA),1,-12,-12,0,0,0,1,1,2,2,0,0,1,0,0,0.0%,2020
19,Adrian Peterson (FA),251,"1,042",4.2,90,5,7,20,26,208,10.4,1,2,16,189,11.8,2.1%,2018
33,Adrian Peterson (FA),211,898,4.3,32,6,5,17,23,142,8.4,0,2,16,147,9.2,2.1%,2019
40,Adrian Peterson (FA),156,604,3.9,38,0,7,12,18,101,8.4,0,0,16,124.5,7.8,2.1%,2020
101,Adrian Peterson (FA),38,98,2.6,16,0,2,4,4,8,2,0,0,4,26.6,6.7,2.1%,2021
23,AJ Dillon (GB),187,803,4.3,36,0,5,34,37,313,9.2,2,1,17,185.6,10.9,89.0%,2021
83,AJ Dillon (GB),46,242,5.3,30,0,2,2,2,21,10.5,0,0,11,40.3,3.7,89.0%,2020
94,Alec Ingold (MIA),3,4,1.3,3,0,0,12,17,110,9.2,1,0,16,29.4,1.8,0.1%,2020
103,Alec Ingold (MIA),2,1,0.5,1,0,0,10,12,85,8.5,1,0,7,24.6,3.5,0.1%,2021
99,Alec Ingold (MIA),10,17,1.7,4,0,0,6,6,44,7.3,1,0,16,18.1,1.1,0.1%,2019
104,Alex Armah Jr. (WAS),9,15,1.7,4,0,2,1,1,5,5,0,0,16,15,0.9,0.1%,2018
115,Alex Armah Jr. (WAS),6,11,1.8,4,0,1,2,2,6,3,0,0,16,9.7,0.6,0.1%,2019
126,Alex Armah Jr. (WAS),5,21,4.2,9,0,0,1,1,1,1,1,0,10,9.2,0.9,0.1%,2021
135,Alex Armah Jr. (WAS),6,9,1.5,3,0,0,5,9,18,3.6,0,0,16,7.7,0.5,0.1%,2020
45,Alex Collins (FA),114,411,3.6,19,0,7,15,21,105,7,1,3,10,108.6,10.9,9.6%,2018
67,Alex Collins (FA),108,411,3.8,25,0,2,9,10,87,9.7,0,1,11,68.8,6.3,9.6%,2021
103,Alex Collins (FA),18,77,4.3,13,0,2,1,2,4,4,0,0,3,21.1,7,9.6%,2020
314,Alex Collins (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.6%,2019
39,Alexander Mattison (MIN),134,491,3.7,48,0,3,32,39,228,7.1,1,1,16,125.9,7.9,72.5%,2021
55,Alexander Mattison (MIN),96,434,4.5,25,0,2,13,15,125,9.6,1,0,13,86.9,6.7,72.5%,2020
61,Alexander Mattison (MIN),100,462,4.6,35,4,1,10,12,82,8.2,0,1,13,68.4,5.3,72.5%,2019
51,Alfred Blue (FA),150,499,3.3,17,0,2,20,27,154,7.7,0,0,16,97.3,6.1,0.0%,2018
68,Alfred Morris (FA),111,428,3.9,51,3,2,8,14,73,9.1,0,1,12,68.1,5.7,0.1%,2018
82,Alfred Morris (FA),55,238,4.3,20,0,1,3,4,19,6.3,1,0,9,40.7,4.5,0.1%,2020
149,Alfred Morris (FA),1,4,4,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.1%,2019
1,Alvin Kamara (NO),187,932,5,49,0,16,83,107,756,9.1,5,0,15,377.8,25.2,99.8%,2020
4,Alvin Kamara (NO),194,883,4.6,49,1,14,81,105,709,8.8,4,0,15,354.2,23.6,99.8%,2018
9,Alvin Kamara (NO),171,797,4.7,40,5,5,81,97,533,6.6,1,1,14,248.5,17.8,99.8%,2019
8,Alvin Kamara (NO),240,898,3.7,30,0,4,47,67,439,9.3,5,0,13,234.7,18.1,99.8%,2021
58,Ameer Abdullah (LV),51,166,3.3,15,0,0,38,53,289,7.6,1,0,17,89.5,5.3,0.8%,2021
82,Ameer Abdullah (LV),23,115,5,15,0,0,15,21,88,5.9,1,1,16,39.3,2.5,0.8%,2019
92,Ameer Abdullah (LV),8,42,5.3,13,0,0,8,9,58,7.3,2,0,16,30,1.9,0.8%,2020
135,Ameer Abdullah (LV),1,1,1,1,0,0,3,4,28,9.3,0,1,10,3.9,0.4,0.8%,2018
235,Andrew Beck (DEN),1,3,3,3,0,0,9,12,90,10,1,0,16,0,0,0.1%,2019
