Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
19,Adam Shaheen (MIA),2,2,24,12,18,0,0,0,0,0,0,1,6.4,6.4,0.1%,2019,7
21,Adam Shaheen (MIA),3,3,24,8,9,0,0,0,0,0,0,1,5.4,5.4,0.1%,2019,2
38,Adam Shaheen (MIA),2,2,13,6.5,8,0,0,0,0,0,0,1,3.3,3.3,0.1%,2019,4
48,Adam Shaheen (MIA),1,1,7,7,7,0,0,0,0,0,0,1,1.7,1.7,0.1%,2019,3
48,Adam Shaheen (MIA),1,2,6,6,6,0,0,0,0,0,0,1,1.6,1.6,0.1%,2019,1
241,Adam Shaheen (MIA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,5
238,Adam Shaheen (MIA),0,2,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,8
255,Adam Shaheen (MIA),0,1,0,0,0,0,0,0,0,0,1,1,-2,-2,0.1%,2019,9
264,Alan Cross (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,1
241,Alex Ellis (ARI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,1
225,Alex Ellis (ARI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,3
222,Alex Ellis (ARI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,4
18,Andrew Beck (DEN),2,2,8,4,7,0,1,0,0,0,0,1,8.8,8.8,0.1%,2019,17
40,Andrew Beck (DEN),1,1,29,29,29,1,0,0,0,0,0,1,3.9,3.9,0.1%,2019,14
37,Andrew Beck (DEN),2,3,13,6.5,10,0,0,0,0,0,0,1,3.3,3.3,0.1%,2019,15
28,Andrew Beck (DEN),1,1,18,18,18,0,0,0,0,0,0,1,2.8,2.8,0.1%,2019,12
46,Andrew Beck (DEN),1,1,11,11,11,0,0,0,0,0,0,1,2.1,2.1,0.1%,2019,13
42,Andrew Beck (DEN),1,1,10,10,10,0,0,0,0,0,0,1,2,2,0.1%,2019,5
61,Andrew Beck (DEN),1,1,1,1,1,0,0,1,3,0,0,1,1.6,1.6,0.1%,2019,16
132,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,1
125,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,2
128,Andrew Beck (DEN),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,3
129,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,4
129,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,6
122,Andrew Beck (DEN),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,7
128,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,8
120,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,9
118,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,11
250,Andrew DePaola (MIN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,1
11,Anthony Firkser (ATL),3,4,36,12,20,1,1,0,0,0,0,1,12.6,12.6,0.7%,2019,10
16,Anthony Firkser (ATL),3,5,43,14.3,23,1,0,0,0,0,0,1,7.3,7.3,0.7%,2019,8
25,Anthony Firkser (ATL),3,4,22,7.3,13,0,0,0,0,0,0,1,5.2,5.2,0.7%,2019,13
35,Anthony Firkser (ATL),1,1,39,39,39,1,0,0,0,0,0,1,4.9,4.9,0.7%,2019,14
29,Anthony Firkser (ATL),1,1,27,27,27,1,0,0,0,0,0,1,3.7,3.7,0.7%,2019,7
33,Anthony Firkser (ATL),1,1,25,25,25,1,0,0,0,0,0,1,3.5,3.5,0.7%,2019,6
49,Anthony Firkser (ATL),1,4,7,7,7,0,0,0,0,0,0,1,1.7,1.7,0.7%,2019,15
47,Anthony Firkser (ATL),1,2,5,5,5,0,0,0,0,0,0,1,1.5,1.5,0.7%,2019,17
256,Anthony Firkser (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7%,2019,1
232,Anthony Firkser (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7%,2019,2
243,Anthony Firkser (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7%,2019,3
233,Anthony Firkser (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7%,2019,5
231,Anthony Firkser (ATL),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.7%,2019,9
235,Anthony Firkser (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7%,2019,12
238,Anthony Firkser (ATL),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.7%,2019,16
226,Antonio Gates (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,1
43,Antony Auclair (HOU),1,2,11,11,11,0,0,0,0,0,0,1,2.1,2.1,0.1%,2019,9
269,Antony Auclair (HOU),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,1
244,Antony Auclair (HOU),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,2
247,Antony Auclair (HOU),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,3
242,Antony Auclair (HOU),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,4
243,Antony Auclair (HOU),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,5
239,Antony Auclair (HOU),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,6
239,Antony Auclair (HOU),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,8
2,Austin Hooper (TEN),8,8,117,14.6,30,2,1,0,0,0,0,1,25.7,25.7,11.1%,2019,6
3,Austin Hooper (TEN),6,7,66,11,20,1,2,0,0,0,0,1,24.6,24.6,11.1%,2019,3
1,Austin Hooper (TEN),9,11,130,14.4,28,2,0,0,0,0,0,1,22,22,11.1%,2019,4
4,Austin Hooper (TEN),6,7,65,10.8,35,1,1,0,0,0,0,1,18.5,18.5,11.1%,2019,8
5,Austin Hooper (TEN),9,9,77,8.6,16,0,0,0,0,0,0,1,16.7,16.7,11.1%,2019,1
11,Austin Hooper (TEN),7,9,82,11.7,31,2,0,0,0,0,0,1,15.2,15.2,11.1%,2019,16
8,Austin Hooper (TEN),4,5,46,11.5,19,0,1,0,0,0,0,1,14.6,14.6,11.1%,2019,7
6,Austin Hooper (TEN),6,9,56,9.3,18,0,0,0,0,0,0,1,13.6,13.6,11.1%,2019,5
13,Austin Hooper (TEN),4,5,17,4.3,9,0,1,0,0,0,0,1,11.7,11.7,11.1%,2019,10
12,Austin Hooper (TEN),7,9,45,6.4,12,0,0,0,0,0,0,1,11.5,11.5,11.1%,2019,17
14,Austin Hooper (TEN),4,6,34,8.5,14,0,0,0,0,0,0,1,7.4,7.4,11.1%,2019,2
32,Austin Hooper (TEN),2,6,32,16,18,0,0,0,0,0,0,1,5.2,5.2,11.1%,2019,14
31,Austin Hooper (TEN),3,6,20,6.7,9,0,0,0,0,0,0,1,5,5,11.1%,2019,15
244,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,1
223,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,2
228,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,3
225,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,4
223,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,5
223,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,6
220,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,7
222,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,8
220,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,9
223,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,10
223,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,12
225,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,13
230,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,14
229,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,15
231,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,16
230,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,17
17,Ben Braunecker (FA),1,1,18,18,18,0,1,0,0,0,0,1,8.8,8.8,0.0%,2019,10
28,Ben Braunecker (FA),2,3,24,12,18,0,0,0,0,0,0,1,4.4,4.4,0.0%,2019,2
