Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
1,Travis Kelce (KC),97,136,"1,229",12.7,47,13,5,1,4,1,1,16,254.3,15.9,99.9%,2019
2,George Kittle (SF),85,107,"1,053",12.4,61,16,5,5,22,0,0,14,222.5,15.9,99.3%,2019
3,Darren Waller (LV),90,117,"1,145",12.7,75,14,3,2,5,0,1,16,221,13.8,98.4%,2019
4,Zach Ertz (ARI),88,135,916,10.4,30,12,6,0,0,0,1,15,215.6,14.4,92.6%,2019
5,Mark Andrews (BAL),64,98,852,13.3,51,16,10,0,0,0,1,15,207.2,13.8,99.8%,2019
6,Austin Hooper (TEN),75,97,787,10.5,35,8,6,0,0,0,0,13,191.7,14.7,11.1%,2019
7,Jared Cook (FA),43,65,705,16.4,61,15,9,0,0,0,0,14,167.5,12,0.9%,2019
8,Tyler Higbee (LAR),69,89,734,10.6,33,11,3,0,0,0,0,15,160.4,10.7,61.6%,2019
9,Hunter Henry (NE),55,76,652,11.9,30,8,5,0,0,0,1,12,150.2,12.5,88.6%,2019
10,Dallas Goedert (PHI),58,87,607,10.5,28,8,5,0,0,0,2,15,144.7,9.6,92.9%,2019
11,Jason Witten (FA),63,83,529,8.4,33,2,4,0,0,0,1,16,139.9,8.7,0.1%,2019
12,Mike Gesicki (MIA),51,89,570,11.2,34,7,5,0,0,0,1,16,136,8.5,89.3%,2019
13,Greg Olsen (FA),52,82,597,11.5,41,6,2,0,0,0,0,14,123.7,8.8,7.0%,2019
14,Kyle Rudolph (FA),39,48,367,9.4,32,3,6,0,0,0,0,16,113.7,7.1,0.1%,2019
15,Jack Doyle (FA),43,72,448,10.4,23,4,4,0,0,0,0,16,111.8,7,2.2%,2019
16,Noah Fant (SEA),40,66,562,14.1,75,10,3,3,-12,0,1,16,111,6.9,86.3%,2019
17,Darren Fells (FA),34,48,341,10,24,2,7,0,0,0,0,16,110.1,6.9,0.0%,2019
18,Evan Engram (JAC),44,68,467,10.6,75,4,3,3,7,0,0,8,109.4,13.7,27.1%,2019
19,Tyler Eifert (FA),43,63,436,10.1,27,4,3,0,0,0,0,16,106.6,6.7,0.0%,2019
