Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Travis Kelce (KC),8,10,136,17,32,0,1,0,0,0,0,1,27.6,27.6,99.9%,2020,14
2,Mike Gesicki (MIA),5,6,65,13,29,0,2,0,0,0,0,1,23.5,23.5,89.3%,2020,14
3,Irv Smith Jr. (MIN),4,4,63,15.8,25,0,1,0,0,0,0,1,16.3,16.3,62.0%,2020,14
4,T.J. Hockenson (DET),6,11,43,7.2,16,0,1,0,0,0,0,1,16.3,16.3,94.4%,2020,14
5,Robert Tonyan (GB),5,5,36,7.2,11,0,1,0,0,0,0,1,14.6,14.6,46.6%,2020,14
6,Darren Waller (LV),7,10,75,10.7,29,0,0,0,0,0,0,1,14.5,14.5,98.4%,2020,14
7,Mark Andrews (BAL),5,6,78,15.6,39,0,0,0,0,0,0,1,12.8,12.8,99.8%,2020,14
8,Jared Cook (FA),3,4,37,12.3,20,0,1,0,0,0,0,1,12.7,12.7,0.9%,2020,14
9,Geoff Swaim (TEN),3,3,34,11.3,16,0,1,0,0,0,0,1,12.4,12.4,0.2%,2020,14
10,Jimmy Graham (FA),4,4,23,5.8,12,0,1,0,0,0,0,1,12.3,12.3,0.6%,2020,14
11,Nick Vannett (NO),4,4,20,5,8,0,1,0,0,0,0,1,12,12,0.1%,2020,14
12,Foster Moreau (LV),1,2,47,47,47,0,1,0,0,0,0,1,11.7,11.7,0.9%,2020,14
13,Dan Arnold (JAC),2,4,27,13.5,20,0,1,0,0,0,0,1,10.7,10.7,3.4%,2020,14
14,Will Dissly (SEA),2,2,23,11.5,13,0,1,0,0,0,0,1,10.3,10.3,0.3%,2020,14
15,Logan Thomas (WAS),6,7,43,7.2,12,0,0,0,0,0,0,1,10.3,10.3,63.2%,2020,14
16,Hunter Henry (NE),6,8,41,6.8,15,0,0,0,0,0,0,1,10.1,10.1,88.6%,2020,14
17,Troy Fumagalli (NE),4,5,53,13.3,29,0,0,0,0,0,0,1,9.3,9.3,0.0%,2020,14
