Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
83,A.J. Derby (FA),3,5,48,16,19,0,1,0,0,0,0,4,13.8,3.5,0.0%,2018
49,Adam Shaheen (MIA),12,22,150,12.5,43,0,3,0,0,0,0,16,45,2.8,0.1%,2020
66,Adam Shaheen (MIA),12,16,110,9.2,21,0,0,0,0,0,0,9,23,2.6,0.1%,2021
75,Adam Shaheen (MIA),5,6,48,9.6,23,1,1,0,0,0,0,6,17.8,3,0.1%,2018
80,Adam Shaheen (MIA),9,13,74,8.2,18,0,0,0,0,0,1,8,16.4,2.1,0.1%,2019
38,Adam Trautman (NO),27,43,263,9.7,32,0,2,0,0,0,1,11,63.3,5.8,3.2%,2021
57,Adam Trautman (NO),15,16,171,11.4,41,0,1,0,0,0,0,15,38.1,2.5,3.2%,2020
112,Alan Cross (FA),2,5,9,4.5,6,0,0,0,0,0,0,14,2.9,0.2,0.0%,2018
276,Alan Cross (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
29,Albert Okwuegbunam (DEN),33,40,330,10,64,0,2,0,0,0,1,14,76,5.4,54.7%,2021
66,Albert Okwuegbunam (DEN),11,15,121,11,27,0,1,0,0,0,0,4,29.1,7.3,54.7%,2020
272,Alex Ellis (ARI),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2018
273,Alex Ellis (ARI),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2019
66,Andrew Beck (DEN),9,12,90,10,29,1,1,1,3,0,0,16,24.5,1.5,0.1%,2019
164,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.1%,2020
153,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2021
281,Andrew DePaola (MIN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018
284,Andrew DePaola (MIN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
263,Andrew DePaola (MIN),0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.0%,2020
239,Andrew DePaola (MIN),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0%,2021
25,Anthony Firkser (ATL),39,53,387,9.9,45,0,1,0,0,0,0,16,83.7,5.2,0.7%,2020
31,Anthony Firkser (ATL),34,43,291,8.6,24,0,2,0,0,0,1,15,73.1,4.9,0.7%,2021
