Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
1,DeAndre Hopkins (ARI),115,163,"1,572",13.7,49,23,11,1,-7,0,2,16,333.5,20.8,96.4%,2018
2,Davante Adams (LV),111,169,"1,386",12.5,57,18,13,0,0,0,0,15,329.6,22,99.9%,2018
3,Tyreek Hill (MIA),87,137,"1,479",17,75,27,12,22,151,1,0,16,328,20.5,99.9%,2018
4,Julio Jones (FA),113,170,"1,677",14.8,58,24,8,2,12,0,2,16,325.8,20.4,14.2%,2018
5,Antonio Brown (FA),104,169,"1,297",12.5,78,17,15,0,0,0,0,15,323.7,21.6,4.8%,2018
6,Michael Thomas (NO),125,147,"1,405",11.2,72,17,9,0,0,0,2,16,315.5,19.7,93.7%,2018
7,Adam Thielen (MIN),113,153,"1,373",12.2,68,17,9,5,30,0,1,16,307.3,19.2,90.9%,2018
8,JuJu Smith-Schuster (KC),111,166,"1,426",12.8,97,18,7,1,13,0,1,16,296.9,18.6,93.9%,2018
9,Mike Evans (TB),86,139,"1,524",17.7,72,26,8,0,0,0,1,16,284.4,17.8,99.1%,2018
10,Stefon Diggs (BUF),102,148,"1,021",10,75,13,9,10,62,0,0,15,266.3,17.8,99.9%,2018
11,Robert Woods (TEN),86,131,"1,219",14.2,39,20,6,19,157,1,0,16,265.6,16.6,86.5%,2018
12,Keenan Allen (LAC),97,137,"1,196",12.3,54,13,6,9,75,0,1,16,260.1,16.3,99.4%,2018
13,Brandin Cooks (HOU),80,116,"1,204",15.1,57,22,5,10,68,1,0,16,243.2,15.2,94.7%,2018
14,T.Y. Hilton (FA),76,120,"1,270",16.7,68,22,6,0,0,0,0,14,239,17.1,0.9%,2018
15,Odell Beckham Jr. (FA),77,124,"1,052",13.7,51,17,6,5,19,0,1,12,230.4,19.2,45.0%,2018
16,Tyler Lockett (SEA),57,71,965,16.9,52,17,10,13,69,0,0,16,222.4,13.9,92.2%,2018
17,Tyler Boyd (CIN),76,108,"1,028",13.5,49,21,7,2,3,0,0,14,221.1,15.8,66.3%,2018
18,Jarvis Landry (FA),81,149,976,12,51,13,4,3,60,1,1,16,217.1,13.6,66.0%,2018
19,Amari Cooper (CLE),75,107,"1,004",13.4,90,10,7,2,20,0,2,15,215.4,14.4,95.6%,2018
20,Julian Edelman (FA),74,108,850,11.5,36,12,6,9,107,0,0,12,207.4,17.3,13.1%,2018
21,Kenny Golladay (NYG),70,118,"1,063",15.2,60,19,5,1,8,0,0,15,207.1,13.8,58.2%,2018
22,Calvin Ridley (ATL),64,92,821,12.8,75,11,10,6,27,0,1,16,206.8,12.9,2.0%,2018
23,Emmanuel Sanders (BUF),71,98,868,12.2,64,13,4,4,53,1,0,12,198.2,16.5,1.9%,2018
24,Adam Humphries (FA),76,105,816,10.7,51,7,5,2,11,0,0,16,188.7,11.8,0.6%,2018
25,Larry Fitzgerald (FA),69,112,734,10.6,37,8,6,0,0,0,0,16,185.7,11.6,0.2%,2018
26,Alshon Jeffery (FA),65,92,843,13,52,9,6,0,0,0,0,13,185.3,14.3,0.0%,2018
27,Chris Godwin (TB),59,95,842,14.3,48,10,7,0,0,0,1,16,185.2,11.6,94.4%,2018
28,Corey Davis (NYJ),65,112,891,13.7,51,15,4,6,55,0,0,16,183.6,11.5,55.8%,2018
29,Golden Tate (FA),74,113,795,10.7,67,9,4,4,34,0,0,15,182.9,12.2,0.0%,2018
30,Sterling Shepard (NYG),66,107,872,13.2,58,12,4,3,33,0,0,16,182.5,11.4,25.6%,2018
31,Mohamed Sanu Sr. (SF),66,94,838,12.7,44,7,4,7,44,0,1,16,182.4,11.4,0.0%,2018
32,Mike Williams (LAC),43,66,664,15.4,55,11,10,7,28,1,0,16,180.2,11.3,94.9%,2018
33,Dede Westbrook (FA),66,101,717,10.9,61,15,5,9,98,0,2,16,173.6,10.9,0.1%,2018
34,Nelson Agholor (NE),64,97,736,11.5,83,10,4,3,32,0,0,16,165.4,10.3,1.4%,2018
35,Zay Jones (JAC),56,102,652,11.6,57,7,7,1,0,0,0,16,165.2,10.3,1.0%,2018
36,DJ Moore (CAR),55,82,788,14.3,82,9,2,13,172,0,3,16,157,9.8,97.6%,2018
37,Jordy Nelson (FA),63,88,739,11.7,66,7,3,1,-2,0,0,15,156.7,10.4,0.1%,2018
38,Demaryius Thomas (FA),59,89,677,11.5,45,9,5,0,0,0,0,15,156.7,10.4,0.1%,2018
39,Robby Anderson (CAR),50,93,752,15,76,10,6,2,-8,0,2,14,156.4,11.2,23.2%,2018
40,Allen Robinson II (LAR),55,94,754,13.7,43,11,4,1,9,0,1,13,153.3,11.8,90.6%,2018
41,Taylor Gabriel (FA),67,93,688,10.3,54,7,2,9,61,0,1,16,151.9,9.5,0.1%,2018
42,DeSean Jackson (FA),41,74,774,18.9,75,13,4,6,29,1,0,12,151.3,12.6,2.8%,2018
43,Cole Beasley (FA),65,86,672,10.3,32,3,3,0,0,0,0,16,150.2,9.4,1.5%,2018
44,A.J. Green (ARI),46,77,694,15.1,38,12,6,0,0,0,1,9,149.4,16.6,5.5%,2018
45,John Brown (FA),42,97,715,17,71,11,5,3,4,0,0,16,143.9,9,1.1%,2018
46,Doug Baldwin (FA),50,73,618,12.4,42,9,5,0,0,0,0,13,141.8,10.9,0.0%,2018
47,Josh Gordon (KC),41,71,737,18,55,12,4,0,0,0,0,12,138.7,11.6,0.8%,2018
48,Tyrell Williams (FA),41,64,653,15.9,75,11,5,2,15,0,0,16,137.8,8.6,0.1%,2018
49,Curtis Samuel (WAS),39,65,494,12.7,53,6,5,8,84,2,1,13,136.8,10.5,6.5%,2018
50,Courtland Sutton (DEN),42,84,704,16.8,42,16,4,1,-1,0,0,16,136.3,8.5,92.4%,2018
51,Cooper Kupp (LAR),40,55,566,14.2,70,9,6,4,25,0,0,8,135.1,16.9,99.9%,2018
52,Kenny Stills (FA),37,64,553,14.9,75,7,6,0,0,0,0,15,134.4,9,0.0%,2018
53,Willie Snead IV (FA),62,95,651,10.5,28,5,1,1,13,0,0,16,134.4,8.4,0.0%,2018
54,Michael Crabtree (FA),54,100,607,11.2,27,6,3,0,0,0,0,16,132.7,8.3,0.0%,2018
55,Antonio Callaway (FA),43,79,586,13.6,71,8,5,2,7,0,1,16,132.3,8.3,0.0%,2018
56,Donte Moncrief (FA),48,90,668,13.9,80,7,3,0,0,0,1,16,130.8,8.2,0.0%,2018
57,Danny Amendola (FA),59,79,575,9.7,39,4,1,1,-2,0,0,15,127.4,8.5,0.0%,2018
58,Christian Kirk (JAC),43,68,590,13.7,75,8,3,3,35,0,0,12,123.5,10.3,87.4%,2018
59,Devin Funchess (FA),44,79,549,12.5,27,8,4,0,0,0,0,14,122.9,8.8,0.0%,2018
60,Anthony Miller (PIT),33,54,423,12.8,55,6,7,6,26,0,0,15,120.2,8,0.6%,2018
61,Rashard Higgins (CAR),39,53,572,14.7,40,11,4,0,0,0,1,13,118.2,9.1,0.7%,2018
62,Chester Rogers (FA),53,72,485,9.2,34,5,2,1,-4,0,0,16,117.1,7.3,1.0%,2018
63,Marvin Jones Jr. (JAC),35,62,508,14.5,39,5,5,0,0,0,0,9,115.8,12.9,30.1%,2018
64,Sammy Watkins (GB),40,55,519,13,50,7,3,5,52,0,0,10,115.1,11.5,6.1%,2018
65,Kendrick Bourne (NE),42,66,487,11.6,33,6,4,0,0,0,0,16,114.7,7.2,21.5%,2018
66,Marquez Valdes-Scantling (KC),38,72,581,15.3,60,8,2,2,29,0,0,16,111,6.9,75.6%,2018
67,Josh Doctson (FA),44,78,532,12.1,32,7,2,0,0,0,0,15,109.2,7.3,0.0%,2018
68,Seth Roberts (FA),45,64,494,11,44,7,2,3,5,0,0,15,106.9,7.1,0.0%,2018
69,William Fuller V (FA),32,45,503,15.7,73,7,4,0,0,0,0,7,106.3,15.2,4.7%,2018
70,Chris Hogan (FA),35,53,532,15.2,63,11,3,0,0,0,0,16,106.2,6.6,0.0%,2018
71,Dante Pettis (NYG),27,45,467,17.3,75,9,5,1,-2,0,0,12,103.5,8.6,0.0%,2018
72,David Moore (CHI),26,52,445,17.1,54,8,5,1,5,0,0,16,101,6.3,0.1%,2018
73,Tre'Quan Smith (NO),28,44,427,15.3,62,6,5,0,0,0,0,15,100.7,6.7,1.0%,2018
74,Josh Reynolds (DET),29,53,402,13.9,33,6,5,2,8,0,0,16,100,6.3,0.9%,2018
75,Robert Foster (NYG),27,45,541,20,75,9,3,0,0,0,0,13,99.1,7.6,0.1%,2018
76,Michael Gallup (DAL),33,68,507,15.4,49,10,2,0,0,0,0,16,97.7,6.1,85.0%,2018
77,Jarius Wright (FA),43,59,447,10.4,33,8,1,2,39,0,1,16,97.6,6.1,0.0%,2018
78,Albert Wilson (MIA),26,35,391,15,75,7,4,8,16,0,0,7,96.8,13.8,1.0%,2018
79,Chris Conley (HOU),32,52,334,10.4,27,4,5,0,0,0,2,16,91.4,5.7,0.5%,2018
80,Keelan Cole Sr. (NYJ),38,70,491,12.9,35,7,1,0,0,0,2,16,89.1,5.6,0.6%,2018
81,Taywan Taylor (FA),37,56,466,12.6,55,3,1,0,0,0,1,13,87.6,6.7,0.0%,2018
82,Marquise Goodwin (FA),23,43,395,17.2,67,5,4,4,9,0,0,11,87.4,7.9,0.1%,2018
83,Quincy Enunwa (FA),38,68,449,11.8,42,6,1,1,0,0,1,11,86.9,7.9,0.0%,2018
84,Randall Cobb (GB),38,61,383,10.1,75,4,2,0,0,0,1,9,86.4,9.6,5.8%,2018
85,John Ross (NYG),21,58,210,10,39,3,7,4,9,0,0,13,84.9,6.5,0.1%,2018
86,Jamison Crowder (BUF),29,50,388,13.4,79,4,2,4,30,0,0,9,82.8,9.2,12.8%,2018
87,Phillip Dorsett II (HOU),32,42,290,9.1,20,1,3,4,29,0,0,16,81.9,5.1,0.2%,2018
88,Jermaine Kearse (FA),37,76,371,10,29,3,1,0,0,0,0,14,80.1,5.7,0.0%,2018
89,Dontrelle Inman (FA),28,39,304,10.9,29,4,3,0,0,0,0,9,76.4,8.5,0.0%,2018
90,Demarcus Robinson (LV),22,33,288,13.1,89,3,4,0,0,0,0,16,74.8,4.7,0.5%,2018
91,Ryan Grant (FA),35,52,334,9.5,23,3,1,0,0,0,0,14,74.4,5.3,0.0%,2018
92,Laquon Treadwell (JAC),35,53,302,8.6,22,1,1,0,0,0,0,15,71.2,4.7,0.3%,2018
93,Tajae Sharpe (FA),26,47,316,12.2,28,2,2,1,16,0,0,16,71.2,4.5,0.1%,2018
94,Aldrick Robinson (FA),17,35,231,13.6,40,2,5,0,0,0,0,14,70.1,5,0.0%,2018
95,Ryan Switzer (FA),36,44,253,7,24,1,1,6,21,0,0,16,69.4,4.3,0.0%,2018
96,Kelvin Benjamin (FA),25,67,380,15.2,40,5,1,0,0,0,0,15,69,4.6,0.1%,2018
97,Zach Pascal (PHI),27,46,268,9.9,28,1,2,2,10,0,0,16,66.8,4.2,0.8%,2018
98,DaeSean Hamilton (HOU),30,46,243,8.1,24,1,2,0,0,0,0,14,66.3,4.7,0.6%,2018
99,Keke Coutee (IND),28,41,287,10.3,40,2,1,3,0,0,0,6,62.7,10.5,0.1%,2018
100,Geronimo Allison (FA),20,30,303,15.2,64,4,2,0,0,0,0,5,62.3,12.5,0.0%,2018
101,Breshad Perriman (TB),16,25,340,21.3,66,4,2,4,2,0,0,10,62.2,6.2,0.2%,2018
102,Jordan Matthews (SF),20,28,300,15,56,3,2,0,0,0,0,14,62,4.4,0.0%,2018
103,Allen Hurns (FA),20,36,295,14.8,49,6,2,0,0,0,0,16,61.5,3.8,0.0%,2018
104,DeVante Parker (NE),24,47,309,12.9,46,3,1,0,0,0,0,11,60.9,5.5,55.0%,2018
105,Jaron Brown (FA),14,19,166,11.9,45,1,5,0,0,0,0,16,60.6,3.8,0.0%,2018
106,Jakeem Grant Sr. (CLE),21,34,268,12.8,52,2,2,1,5,0,0,10,60.3,6,0.2%,2018
107,Tim Patrick (DEN),23,41,315,13.7,26,6,1,3,17,0,1,16,60.2,3.8,39.3%,2018
108,Bruce Ellington (FA),31,42,224,7.2,23,2,1,1,2,0,0,7,59.6,8.5,0.0%,2018
