Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,DeAndre Hopkins (ARI),10,11,170,17,45,3,2,0,0,0,0,1,39,39,96.4%,2018,15
2,Mike Williams (LAC),7,9,76,10.9,38,1,2,1,19,1,0,1,36.5,36.5,94.9%,2018,15
3,Alshon Jeffery (FA),8,8,160,20,50,3,0,0,0,0,0,1,24,24,0.0%,2018,15
4,Doug Baldwin (FA),4,6,77,19.3,35,2,2,0,0,0,0,1,23.7,23.7,0.0%,2018,15
5,Robby Anderson (CAR),7,11,96,13.7,26,2,1,0,0,0,0,1,22.6,22.6,23.2%,2018,15
6,Davante Adams (LV),8,13,119,14.9,28,3,0,0,0,0,0,1,21.9,21.9,99.9%,2018,15
7,Kenny Golladay (NYG),7,8,146,20.9,40,5,0,0,0,0,0,1,21.6,21.6,58.2%,2018,15
8,Robert Foster (NYG),4,5,108,27,42,3,1,0,0,0,0,1,20.8,20.8,0.1%,2018,15
9,Julio Jones (FA),6,8,82,13.7,22,2,1,0,0,0,0,1,20.2,20.2,14.2%,2018,15
10,Robert Woods (TEN),7,9,74,10.6,20,1,0,1,19,0,0,1,16.3,16.3,86.5%,2018,15
11,Mike Evans (TB),4,9,121,30.3,64,3,0,0,0,0,0,1,16.1,16.1,99.1%,2018,15
12,Julian Edelman (FA),7,11,90,12.9,34,2,0,0,0,0,0,1,16,16,13.1%,2018,15
13,Stefon Diggs (BUF),4,7,49,12.3,17,0,1,1,9,0,0,1,15.8,15.8,99.9%,2018,15
14,Larry Fitzgerald (FA),7,8,82,11.7,26,1,0,0,0,0,0,1,15.2,15.2,0.2%,2018,15
15,Antonio Brown (FA),4,7,49,12.3,24,1,1,0,0,0,0,1,14.9,14.9,4.8%,2018,15
16,Chris Hogan (FA),2,3,68,34,63,1,1,0,0,0,0,1,14.8,14.8,0.0%,2018,15
17,Jordy Nelson (FA),6,8,88,14.7,44,1,0,0,0,0,0,1,14.8,14.8,0.1%,2018,15
18,Antonio Callaway (FA),5,7,35,7,12,0,1,0,0,0,0,1,14.5,14.5,0.0%,2018,15
19,Tyler Boyd (CIN),4,5,38,9.5,21,1,1,0,0,0,0,1,13.8,13.8,66.3%,2018,15
20,T.Y. Hilton (FA),5,8,85,17,37,2,0,0,0,0,0,1,13.5,13.5,0.9%,2018,15
21,Dante Pettis (NYG),5,5,83,16.6,30,2,0,0,0,0,0,1,13.3,13.3,0.0%,2018,15
