Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
2,A.J. Brown (PHI),5,7,153,30.6,91,2,2,1,13,0,0,1,33.6,33.6,99.4%,2019,14
7,A.J. Brown (PHI),8,13,114,14.3,60,1,1,0,0,0,0,1,25.4,25.4,99.4%,2019,15
6,A.J. Brown (PHI),3,3,94,31.3,55,2,2,0,0,0,0,1,24.4,24.4,99.4%,2019,4
7,A.J. Brown (PHI),4,5,135,33.8,65,2,1,0,0,0,0,1,23.5,23.5,99.4%,2019,12
6,A.J. Brown (PHI),4,8,124,31,51,3,1,0,0,0,0,1,22.4,22.4,99.4%,2019,17
21,A.J. Brown (PHI),1,2,34,34,34,1,0,1,49,1,0,1,15.3,15.3,99.4%,2019,16
39,A.J. Brown (PHI),3,4,100,33.3,51,2,0,0,0,0,0,1,13,13,99.4%,2019,1
29,A.J. Brown (PHI),6,8,64,10.7,16,0,0,1,-2,0,0,1,12.2,12.2,99.4%,2019,7
29,A.J. Brown (PHI),4,7,81,20.3,35,2,0,0,0,0,0,1,12.1,12.1,99.4%,2019,9
50,A.J. Brown (PHI),2,3,11,5.5,8,0,1,0,0,0,0,1,9.1,9.1,99.4%,2019,8
60,A.J. Brown (PHI),3,4,45,15,16,0,0,0,0,0,0,1,7.5,7.5,99.4%,2019,13
76,A.J. Brown (PHI),3,5,25,8.3,11,0,0,0,0,0,0,1,5.5,5.5,99.4%,2019,2
66,A.J. Brown (PHI),2,2,27,13.5,14,0,0,0,0,0,0,1,4.7,4.7,99.4%,2019,5
70,A.J. Brown (PHI),2,4,23,11.5,13,0,0,0,0,0,0,1,4.3,4.3,99.4%,2019,6
75,A.J. Brown (PHI),1,4,17,17,17,0,0,0,0,0,0,1,2.7,2.7,99.4%,2019,10
112,A.J. Brown (PHI),1,5,4,4,4,0,0,0,0,0,0,1,1.4,1.4,99.4%,2019,3
419,A.J. Green (ARI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.5%,2019,1
25,Adam Humphries (FA),6,9,93,15.5,30,2,0,0,0,0,0,1,15.3,15.3,0.6%,2019,3
30,Adam Humphries (FA),6,6,47,7.8,16,0,0,0,0,0,0,1,10.7,10.7,0.6%,2019,6
35,Adam Humphries (FA),4,4,65,16.3,25,1,0,0,0,0,0,1,10.5,10.5,0.6%,2019,9
40,Adam Humphries (FA),1,1,23,23,23,1,1,0,0,0,0,1,9.3,9.3,0.6%,2019,10
54,Adam Humphries (FA),1,2,13,13,13,0,1,0,0,0,0,1,8.3,8.3,0.6%,2019,13
50,Adam Humphries (FA),4,4,40,10,14,0,0,0,0,0,0,1,8,8,0.6%,2019,7
55,Adam Humphries (FA),4,6,30,7.5,10,0,0,0,0,0,0,1,7,7,0.6%,2019,5
66,Adam Humphries (FA),3,6,24,8,13,0,0,0,0,0,0,1,5.4,5.4,0.6%,2019,8
63,Adam Humphries (FA),3,3,20,6.7,8,0,0,0,0,0,0,1,5,5,0.6%,2019,12
