Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
12,A.J. Brown (PHI),70,106,"1,075",15.4,73,0,11,0,0,0,1,14,247.5,17.7,99.4%,2020
21,A.J. Brown (PHI),52,84,"1,051",20.2,91,15,8,3,60,1,0,16,217.1,13.6,99.4%,2019
32,A.J. Brown (PHI),63,105,869,13.8,57,0,5,2,10,0,0,13,180.9,13.9,99.4%,2021
41,A.J. Green (ARI),54,92,848,15.7,42,0,3,0,0,0,0,16,156.8,9.8,5.5%,2021
44,A.J. Green (ARI),46,77,694,15.1,38,12,6,0,0,0,1,9,149.4,16.6,5.5%,2018
68,A.J. Green (ARI),47,104,523,11.1,33,0,2,0,0,0,0,16,111.3,7,5.5%,2020
468,A.J. Green (ARI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.5%,2019
24,Adam Humphries (FA),76,105,816,10.7,51,7,5,2,11,0,0,16,188.7,11.8,0.6%,2018
80,Adam Humphries (FA),37,47,374,10.1,30,4,2,1,1,0,0,12,86.5,7.2,0.6%,2019
93,Adam Humphries (FA),41,62,383,9.3,27,0,0,0,0,0,0,17,79.3,4.7,0.6%,2021
109,Adam Humphries (FA),23,35,228,9.9,23,0,2,1,0,0,0,7,57.8,8.3,0.6%,2020
7,Adam Thielen (MIN),113,153,"1,373",12.2,68,17,9,5,30,0,1,16,307.3,19.2,90.9%,2018
10,Adam Thielen (MIN),74,108,925,12.5,51,0,14,3,15,0,0,15,254,16.9,90.9%,2020
28,Adam Thielen (MIN),67,95,726,10.8,35,0,10,1,2,0,0,13,199.8,15.4,90.9%,2021
64,Adam Thielen (MIN),30,48,418,13.9,44,8,6,4,6,1,0,10,114.4,11.4,90.9%,2019
78,Albert Wilson (MIA),26,35,391,15,75,7,4,8,16,0,0,7,96.8,13.8,1.0%,2018
79,Albert Wilson (MIA),43,62,351,8.2,35,4,1,5,45,0,0,13,89.4,6.9,1.0%,2019
123,Albert Wilson (MIA),25,39,213,8.5,64,0,0,4,17,0,0,10,48,4.8,1.0%,2021
94,Aldrick Robinson (FA),17,35,231,13.6,40,2,5,0,0,0,0,14,70.1,5,0.0%,2018
278,Alex Bachman (NYG),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
426,Alex Bachman (NYG),0,0,0,0,0,0,0,1,-3,0,0,2,-0.3,-0.2,0.0%,2021
73,Alex Erickson (WAS),43,78,529,12.3,52,5,0,5,33,0,2,16,96.2,6,0.0%,2019
133,Alex Erickson (WAS),20,29,167,8.4,28,1,0,3,22,0,1,16,36.9,2.3,0.0%,2018
155,Alex Erickson (WAS),12,17,139,11.6,42,0,0,5,7,0,2,16,22.6,1.4,0.0%,2020
184,Alex Erickson (WAS),3,4,55,18.3,25,0,0,0,0,0,0,17,8.5,0.5,0.0%,2021
175,Alexander Hollins (FA),2,4,46,23,35,1,0,0,0,0,0,5,6.6,1.3,0.0%,2019
84,Allen Hurns (FA),32,47,416,13,27,4,2,0,0,0,1,14,83.6,6,0.0%,2019
103,Allen Hurns (FA),20,36,295,14.8,49,6,2,0,0,0,0,16,61.5,3.8,0.0%,2018
422,Allen Hurns (FA),0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0%,2021
47,Allen Lazard (GB),40,60,513,12.8,42,0,8,3,32,0,0,14,142.5,10.2,81.5%,2021
67,Allen Lazard (GB),35,52,477,13.6,43,6,3,1,21,0,0,16,102.8,6.4,81.5%,2019
80,Allen Lazard (GB),33,46,451,13.7,72,0,3,2,17,0,0,10,97.8,9.8,81.5%,2020
