Round,Rank,Pos,Player,PosRank,Role,Score2021,Score2020,Score2019,Score2018,Score,Situation,ValueFactor,AdjValue
14,138,DST,New Orleans Saints (NO),DST1,DST1,8.998,7.597,9.652,6.046,8.566,NA,5,42.828
15,144,DST,Indianapolis Colts (IND),DST2,DST1,8.309,9.378,7.454,6.988,8.424,NA,5,42.122
15,147,DST,New England Patriots (NE),DST3,DST1,8.561,5.54,14.32,7.775,8.343,NA,5,41.713
15,150,DST,Dallas Cowboys (DAL),DST4,DST1,11.075,3.331,5.629,5.698,8.325,NA,5,41.627
NA,157,DST,Buffalo Bills (BUF),DST5,DST1,8.472,6.959,9.44,5.977,8.066,NA,5,40.329
NA,159,DST,Los Angeles Rams (LAR),DST6,DST1,6.892,9.995,9.427,9.33,8.043,NA,5,40.215
NA,167,DST,Miami Dolphins (MIA),DST7,DST1,8.677,8.946,0.565,5.402,7.769,NA,5,38.845
NA,174,DST,Tampa Bay Buccaneers (TB),DST8,DST1,8.021,7.246,7.994,2.472,7.547,NA,5,37.737
NA,190,DST,Pittsburgh Steelers (PIT),DST9,DST1,5.52,8.662,11.868,6.993,7.014,NA,5,35.071
NA,201,DST,Kansas City Chiefs (KC),DST10,DST1,6.913,5.434,9.375,7.049,6.796,NA,5,33.982
NA,209,DST,San Francisco 49ers (SF),DST11,DST2,7.508,4.217,10.315,0.907,6.636,NA,5,33.179
NA,221,DST,Arizona Cardinals (ARI),DST12,DST2,6.801,6.728,2.468,5.294,6.274,NA,5,31.372
NA,229,DST,Minnesota Vikings (MIN),DST13,DST2,7.505,1.664,9.062,6.974,6.174,NA,5,30.869
NA,242,DST,Seattle Seahawks (SEA),DST14,DST2,5.089,6.918,7.708,8.016,5.955,NA,5,29.773
NA,246,DST,Denver Broncos (DEN),DST15,DST2,6.752,3.521,5.417,7.1,5.828,NA,5,29.14
NA,248,DST,Green Bay Packers (GB),DST16,DST2,5.938,5.431,6.287,4.101,5.754,NA,5,28.77
NA,249,DST,Baltimore Ravens (BAL),DST17,DST2,3.588,8.828,9.79,7.283,5.703,NA,5,28.516
NA,257,DST,Philadelphia Eagles (PHI),DST18,DST2,5.494,5.162,5.722,5.882,5.453,NA,5,27.267
NA,258,DST,Chicago Bears (CHI),DST19,DST2,4.858,4.803,6.115,12.872,5.371,NA,5,26.855
NA,266,DST,Tennessee Titans (TEN),DST20,DST2,6.249,1.315,8.268,6.853,5.248,NA,5,26.238
NA,267,DST,Washington Commanders (WAS),DST21,Depth,4.033,7.837,4.756,7.075,5.208,NA,5,26.041
NA,280,DST,Cleveland Browns (CLE),DST22,Depth,4.715,4.719,4.839,5.825,4.784,NA,5,23.92
NA,300,DST,Carolina Panthers (CAR),DST23,Depth,4.106,4.795,4.211,4.95,4.331,NA,5,21.654
NA,302,DST,New York Giants (NYG),DST24,Depth,3.562,6.323,3.359,3.794,4.244,NA,5,21.218
NA,308,DST,Cincinnati Bengals (CIN),DST25,Depth,5.817,0.468,2.216,3.373,3.997,NA,5,19.986
NA,317,DST,Los Angeles Chargers (LAC),DST26,Depth,2.858,3.698,3.949,6.04,3.336,NA,5,16.68
NA,324,DST,Houston Texans (HOU),DST27,Depth,3.543,0.361,4.488,9.972,3.164,NA,5,15.818
NA,343,DST,New York Jets (NYJ),DST28,Depth,1.505,2.486,8.615,4.418,2.607,NA,5,13.033
NA,349,DST,Jacksonville Jaguars (JAC),DST29,Depth,1.455,1.139,5.866,6.523,2.07,NA,5,10.352
NA,351,DST,Atlanta Falcons (ATL),DST30,Depth,1.58,2.037,4.067,3.334,2.031,NA,5,10.155
NA,359,DST,Las Vegas Raiders (LV),DST31,Depth,2.139,-0.175,2.266,-0.003,1.466,NA,5,7.329
NA,365,DST,Detroit Lions (DET),DST32,Depth,1.266,-0.624,3.254,5.571,1.207,NA,5,6.037
