Round,Rank,Pos,Player,PosRank,Role,Score2021,Score2020,Score2019,Score2018,Score,Situation,ValueFactor,AdjValue
11,103,K,Evan McPherson (CIN),K1,K1,9.984,0,0,0,9.984,NA,5,49.918
11,104,K,Justin Tucker (BAL),K2,K1,10.263,9.009,10.142,10.778,9.963,NA,5,49.816
11,108,K,Matt Gay (LAR),K3,K1,9.637,10.653,9.009,0,9.838,NA,5,49.192
12,113,K,Daniel Carlson (LV),K4,K1,10.032,11.065,4.786,7.003,9.614,NA,5,48.071
12,119,K,Greg Zuerlein (NYJ),K5,K1,9.081,9.911,7.383,14.113,9.37,NA,5,46.852
13,121,K,Harrison Butker (KC),K6,K1,9.389,8.213,11.604,9.441,9.319,NA,5,46.595
14,132,K,Nick Folk (NE),K7,K1,10.036,6.846,7.689,0,8.949,NA,5,44.746
14,135,K,Tyler Bass (BUF),K8,K1,8.18,9.642,0,0,8.61,NA,5,43.051
14,137,K,Rodrigo Blankenship (IND),K9,K1,8.082,9.742,0,0,8.57,NA,5,42.852
14,139,K,Younghoe Koo (ATL),K10,K1,6.646,11.545,12.136,0,8.513,NA,5,42.566
15,146,K,Chris Boswell (PIT),K11,K2,9.571,6.835,6.984,4.833,8.391,NA,5,41.956
NA,151,K,Robbie Gould (SF),K12,K2,9.078,5.821,9.373,8.717,8.275,NA,5,41.375
NA,155,K,Dustin Hopkins (LAC),K13,K2,8.76,7.979,5.11,6.536,8.089,NA,5,40.443
NA,156,K,Matt Prater (ARI),K14,K2,9.135,5.993,7.236,7.653,8.086,NA,5,40.429
NA,162,K,Greg Joseph (MIN),K15,K2,9.641,0,-0.899,4.731,7.909,NA,5,39.544
NA,163,K,Wil Lutz (NO),K16,K2,0,8.824,11.632,9.469,7.878,NA,5,39.389
NA,171,K,Riley Patterson (DET),K17,K2,7.635,0,0,0,7.635,NA,5,38.176
NA,176,K,Joey Slye (WAS),K18,K2,7.41,7.611,6.793,0,7.398,NA,5,36.989
NA,177,K,Ryan Succop (TB),K19,K2,7.836,9.159,1.032,6.034,7.396,NA,5,36.981
NA,181,K,Zane Gonzalez (CAR),K20,K2,7.15,7.817,8.438,3.833,7.28,NA,5,36.399
NA,182,K,Brandon McManus (DEN),K21,Depth,7.067,7.882,8.105,5.168,7.279,NA,5,36.396
NA,183,K,Randy Bullock (TEN),K22,Depth,7.326,7.899,6.128,5.193,7.243,NA,5,36.214
NA,185,K,Jason Sanders (MIA),K23,Depth,5.948,11.265,5.433,4.214,7.139,NA,5,35.696
NA,188,K,Michael Badgley (FA),K24,Depth,7.626,6.374,5.606,6.569,7.058,NA,5,35.291
NA,195,K,Mason Crosby (GB),K25,Depth,7.217,6.359,6.325,8.756,6.99,NA,5,34.951
NA,202,K,Brett Maher (FA),K26,Depth,6.552,0,7.733,7.748,6.789,NA,5,33.945
NA,223,K,Eddy Pineiro (NYJ),K27,Depth,6.448,0,5.129,0,6.259,NA,5,31.296
NA,228,K,Jake Elliott (PHI),K28,Depth,7.907,1.876,5.995,7.266,6.176,NA,5,30.88
NA,233,K,Graham Gano (NYG),K29,Depth,5.502,7.644,0,4.716,6.054,NA,5,30.268
NA,244,K,Cairo Santos (CHI),K30,Depth,5.29,8.421,3.03,6.459,5.905,NA,5,29.526
NA,245,K,Jason Myers (SEA),K31,Depth,4.374,8.556,6.721,8.335,5.852,NA,5,29.261
NA,291,K,Austin Seibert (DET),K32,Depth,5.137,2.257,6.432,0,4.516,NA,5,22.578
NA,297,K,Ka'imi Fairbairn (HOU),K33,Depth,2.159,7.843,5.782,11.008,4.385,NA,5,21.923
NA,305,K,Matthew Wright (FA),K34,Depth,4.168,4.028,0,0,4.127,NA,5,20.633
NA,318,K,Chase McLaughlin (FA),K35,Depth,3.107,1.878,7.972,0,3.296,NA,5,16.481
NA,328,K,Lirim Hajrullahu (DAL),K36,Depth,3.052,0,0,0,3.052,NA,5,15.26
NA,335,K,Elliott Fry (JAC),K37,Depth,2.831,0,0,0,2.831,NA,5,14.155
NA,339,K,Matt Ammendola (FA),K38,Depth,2.699,0,0,0,2.699,NA,5,13.493
NA,340,K,Sergio Castillo (NYJ),K39,Depth,0,3.285,0,0,2.693,NA,5,13.467
NA,344,K,Brian Johnson (FA),K40,Depth,2.566,0,0,0,2.566,NA,5,12.829
NA,348,K,Tristan Vizcaino (NE),K41,Depth,2.075,0,0,0,2.075,NA,5,10.376
NA,350,K,Aldrick Rosas (FA),K42,Depth,0.943,3.556,1.26,9.417,2.052,NA,5,10.259
NA,363,K,Ryan Santoso (JAC),K43,Depth,1.22,0,0,0,1.22,NA,5,6.101
NA,368,K,Josh Lambo (FA),K44,Depth,-2.481,4.321,7.91,4.997,0.633,NA,5,3.164
NA,371,K,Cameron Nizialek (PIT),K45,Depth,0,0,0,0,0,NA,5,0
NA,372,K,Michael Palardy (FA),K46,Depth,0,0,0,0,0,NA,5,0
NA,385,K,Ty Long (FA),K47,Depth,0,-6.216,-2.373,0,-4.196,NA,5,-20.982
