Round,Rank,Pos,Player,PosRank,Role,Score2021,Score2020,Score2019,Score2018,Score,Situation,ValueFactor,AdjValue
5,43,QB,Josh Allen (BUF),QB1,QB1,25.397,26.343,18.635,14.854,24.43,0,2.75,67.182
5,47,QB,Justin Herbert (LAC),QB2,QB1,23.718,23.718,0,0,23.718,0,2.75,65.225
6,54,QB,Kyler Murray (ARI),QB3,QB1,23.099,24.39,18.906,0,22.997,0,2.75,63.242
6,57,QB,Lamar Jackson (BAL),QB4,QB1,22.996,25.11,30.823,12.699,23.792,-1,2.75,62.679
6,59,QB,Patrick Mahomes II (KC),QB5,QB1,22.243,26.901,21.643,28.463,23.658,-1,2.75,62.31
7,65,QB,Jalen Hurts (PHI),QB6,QB1,22.762,16.708,0,0,20.982,1,2.75,60.45
7,66,QB,Tom Brady (TB),QB7,QB1,23.047,21.897,16.901,17.261,21.856,0,2.75,60.103
7,67,QB,Aaron Rodgers (GB),QB8,QB1,22.12,27.385,16.057,18.758,22.662,-1,2.75,59.57
8,72,QB,Joe Burrow (CIN),QB9,QB1,20.566,16.731,0,0,19.438,2,2.75,58.954
8,74,QB,Matthew Stafford (LAR),QB10,QB1,22.497,19.098,21.094,11.36,20.95,0,2.75,57.613
8,77,QB,Dak Prescott (DAL),QB11,QB2,20.481,23.224,22.936,16.996,21.238,-1,2.75,55.655
8,78,QB,Trey Lance (SF),QB12,QB2,0,0,0,0,20,0,2.75,55
9,83,QB,Kirk Cousins (MIN),QB13,QB2,20.366,20.529,16.211,16.575,19.802,0,2.75,54.455
9,84,QB,Russell Wilson (DEN),QB14,QB2,17.642,24.239,19.962,19.627,19.623,0,2.75,53.962
11,107,QB,Ryan Tannehill (TEN),QB15,QB2,17.377,22.938,22.092,10.675,18.904,-1,2.75,49.236
12,111,QB,Jameis Winston (NO),QB16,QB2,14.651,0,20.974,16.836,15.639,2,2.75,48.508
13,128,QB,Tua Tagovailoa (MIA),QB17,QB2,14.832,13.58,0,0,14.464,2,2.75,45.276
13,129,QB,Derek Carr (LV),QB18,QB2,15.213,16.814,15.527,10.913,15.429,1,2.75,45.181
15,145,QB,Matt Ryan (IND),QB19,QB2,11.276,18.056,18.632,22.556,14.271,1,2.75,41.995
NA,152,QB,Deshaun Watson (CLE),QB20,QB2,0,26.183,21.687,20.297,19.945,-5,2.75,41.1
NA,153,QB,Carson Wentz (WAS),QB21,Depth,14.808,17.13,18.279,17.914,15.891,-1,2.75,40.95
NA,154,QB,Mitch Trubisky (PIT),QB22,Depth,0,18.343,13.084,16.151,13.738,1,2.75,40.531
NA,165,QB,Jared Goff (DET),QB23,Depth,12.953,15.92,15.706,17.868,14.216,0,2.75,39.093
NA,172,QB,Daniel Jones (NYG),QB24,Depth,14.002,12.197,17.147,0,13.859,0,2.75,38.111
NA,173,QB,Baker Mayfield (CAR),QB25,Depth,13.03,14.043,15.251,17.904,13.749,0,2.75,37.811
NA,178,QB,Gardner Minshew II (PHI),QB26,Depth,0,19.389,17.01,0,15.342,-2,2.75,36.689
NA,186,QB,Trevor Lawrence (JAC),QB27,Depth,10.936,0,0,0,10.936,2,2.75,35.575
NA,187,QB,Mac Jones (NE),QB28,Depth,11.911,0,0,0,11.911,1,2.75,35.506
NA,203,QB,Teddy Bridgewater (MIA),QB29,Depth,13.954,16.325,11.583,0,14.328,-2,2.75,33.903
NA,205,QB,Taysom Hill (NO),QB30,Depth,14.372,13.604,0,0,14.146,-2,2.75,33.403
NA,207,QB,Zach Wilson (NYJ),QB31,Depth,10.093,0,0,0,10.093,2,2.75,33.255
NA,213,QB,Justin Fields (CHI),QB32,Depth,8.846,0,0,0,8.846,3,2.75,32.578
NA,217,QB,Jimmy Garoppolo (SF),QB33,Depth,15.911,7.957,14.664,0,13.687,-2,2.75,32.139
NA,224,QB,Tyrod Taylor (NYG),QB34,Depth,11.346,0,0,0,11.346,0,2.75,31.202
NA,226,QB,Jacoby Brissett (CLE),QB35,Depth,8.626,0,13.293,0,9.293,2,2.75,31.056
NA,227,QB,Davis Mills (HOU),QB36,Depth,10.275,0,0,0,10.275,1,2.75,31.006
NA,230,QB,Taylor Heinicke (WAS),QB37,Depth,13.21,0,0,0,13.21,-2,2.75,30.826
NA,247,QB,Trevor Siemian (CHI),QB38,Depth,12.544,0,0,0,12.544,-2,2.75,28.997
NA,252,QB,Andy Dalton (NO),QB39,Depth,10.735,12.986,15.929,15.053,12.033,-2,2.75,27.591
NA,256,QB,Nick Mullens (LV),QB40,Depth,0,11.714,0,14.213,9.947,0,2.75,27.355
NA,275,QB,Sam Darnold (CAR),QB41,Depth,11.492,9.191,14.204,10.592,11.143,-2,2.75,25.143
NA,285,QB,Nick Foles (IND),QB42,Depth,0,12.316,5.237,10.547,8.467,0,2.75,23.283
NA,290,QB,Joe Flacco (NYJ),QB43,Depth,0,10.228,7.655,14.048,8.251,0,2.75,22.69
NA,294,QB,Tyler Huntley (BAL),QB44,Depth,9.098,0,0,0,9.098,-1,2.75,22.271
NA,310,QB,Drew Lock (SEA),QB45,Depth,3.855,13.225,11.126,0,7.086,0,2.75,19.486
NA,311,QB,Mike White (NYJ),QB46,Depth,7.802,0,0,0,7.802,-1,2.75,18.707
NA,320,QB,C.J. Beathard (JAC),QB47,Depth,0,6.275,0,11.962,5.923,0,2.75,16.289
NA,327,QB,Jake Luton (JAC),QB48,Depth,0,6.845,0,0,5.613,0,2.75,15.435
NA,332,QB,Brandon Allen (CIN),QB49,Depth,0,6.44,0,0,5.281,0,2.75,14.523
NA,334,QB,Ben Roethlisberger (FA),QB50,Depth,12.952,19.382,0,21.516,15.213,-10,2.75,14.337
NA,345,QB,Mike Glennon (FA),QB51,Depth,2.241,9.809,0,0,4.467,0,2.75,12.283
NA,352,QB,Cam Newton (FA),QB52,Depth,12.101,16.05,0,21.003,13.692,-10,2.75,10.153
