Round,Rank,Pos,Player,PosRank,Role,Score2021,Score2020,Score2019,Score2018,Score,Situation,ValueFactor,AdjValue
1,2,RB,Christian McCaffrey (CAR),RB1,RB1,18.211,29.037,33.616,26.978,22.896,0,5,114.481
1,3,RB,Jonathan Taylor (IND),RB2,RB1,24.191,18.157,0,0,22.416,0,5,112.08
1,4,RB,Austin Ekeler (LAC),RB3,RB1,24.783,18.613,21.774,11.737,22.288,0,5,111.438
1,5,RB,Alvin Kamara (NO),RB4,RB1,21.271,27.065,20.157,26.299,22.859,-1,5,109.296
1,6,RB,Derrick Henry (TEN),RB5,RB1,24.323,22.428,21.197,10.7,22.856,-1,5,109.278
1,8,RB,Najee Harris (PIT),RB6,RB1,21.199,0,0,0,21.199,0,5,105.997
1,9,RB,Dalvin Cook (MIN),RB7,RB1,18.028,27.814,24.896,14.265,20.973,0,5,104.866
2,14,RB,D'Andre Swift (DET),RB8,RB1,18.066,15.924,0,0,17.436,1,5,92.182
2,15,RB,Aaron Jones (GB),RB9,RB1,15.933,20.287,19.741,14.335,17.322,1,5,91.611
2,16,RB,Joe Mixon (CIN),RB10,RB1,19.872,14.687,15.265,20.046,18.124,0,5,90.618
2,18,RB,Josh Jacobs (LV),RB11,RB2,18.505,16.881,15.986,0,17.812,0,5,89.061
2,20,RB,Leonard Fournette (TB),RB12,RB2,20.224,8.74,20.709,14.946,17.138,0,5,85.689
3,21,RB,Ezekiel Elliott (DAL),RB13,RB2,16.841,17.082,24.238,25.809,18.089,-1,5,85.446
3,22,RB,Nick Chubb (CLE),RB14,RB2,16.578,19.473,16.986,10.764,17.052,0,5,85.26
3,24,RB,James Conner (ARI),RB15,RB2,17.82,13.566,14.828,23.532,16.743,0,5,83.715
3,26,RB,David Montgomery (CHI),RB16,RB2,15.303,20.348,10.837,0,16.16,0,5,80.8
3,30,RB,Saquon Barkley (NYG),RB17,RB2,9.731,0,20.513,29.112,12.461,3,5,77.303
4,32,RB,Javonte Williams (DEN),RB18,RB2,12.197,0,0,0,12.197,3,5,75.987
4,34,RB,Breece Hall (NYJ),RB19,RB2,0,0,0,0,15,0,5,75
4,35,RB,Travis Etienne Jr. (JAC),RB20,RB2,0,0,0,0,15,0,5,75
4,39,RB,Elijah Mitchell (SF),RB21,RB3,14.719,0,0,0,14.719,-1,5,68.596
4,40,RB,Antonio Gibson (WAS),RB22,RB3,16.091,14.715,0,0,15.687,-2,5,68.433
6,51,RB,Cam Akers (LAR),RB23,RB3,0,7.192,0,0,5.898,7,5,64.489
6,56,RB,Kareem Hunt (CLE),RB24,RB3,12.837,14.316,11.005,23.261,13.545,-1,5,62.724
7,61,RB,Melvin Gordon III (DEN),RB25,RB3,13.008,14.228,17.032,27.115,14.421,-2,5,62.103
7,64,RB,Clyde Edwards-Helaire (KC),RB26,RB3,12.144,15.487,0,0,13.128,-1,5,60.638
7,70,RB,Damien Harris (NE),RB27,RB3,14.595,8.566,0,0,12.821,-1,5,59.107
8,75,RB,Miles Sanders (PHI),RB28,RB3,9.642,15.016,14.047,0,11.52,0,5,57.599
9,86,RB,Devin Singletary (BUF),RB29,RB3,11.28,8.241,12.839,0,10.645,0,5,53.223
9,87,RB,Cordarrelle Patterson (ATL),RB30,RB3,14.59,0,0,0,14.59,-4,5,52.95
10,92,RB,AJ Dillon (GB),RB31,RB4,10.342,0,0,0,10.342,0,5,51.709
10,93,RB,J.K. Dobbins (BAL),RB32,RB4,0,10.158,0,0,8.33,2,5,51.649
10,94,RB,Chase Edmonds (MIA),RB33,RB4,11.802,10.033,2.191,0,10.324,0,5,51.622
10,99,RB,Dameon Pierce (HOU),RB34,RB4,0,0,0,0,10,0,5,50
11,106,RB,Rashaad Penny (SEA),RB35,RB4,10.303,0,4.586,1.269,8.938,1,5,49.692
11,110,RB,James Robinson (JAC),RB36,RB4,12.424,20.554,0,0,14.815,-5,5,49.074
12,115,RB,J.D. McKissic (WAS),RB37,RB4,11.348,12.109,1.798,0,10.542,-1,5,47.712
12,117,RB,Rhamondre Stevenson (NE),RB38,RB4,7.463,0,0,0,7.463,2,5,47.317
12,120,RB,Darrell Henderson Jr. (LAR),RB39,RB4,14.609,6.965,0,0,12.361,-3,5,46.803
14,131,RB,Ken Walker III (SEA),RB40,RB4,0,0,0,0,9,0,5,45
15,148,RB,Tony Pollard (DAL),RB41,Depth,10.727,4.866,2.646,0,8.334,0,5,41.67
NA,161,RB,Michael Carter (NYJ),RB42,Depth,9.987,0,0,0,9.987,-2,5,39.933
NA,164,RB,Darrel Williams (ARI),RB43,Depth,10.827,0,0,0,10.827,-3,5,39.137
NA,166,RB,Jamaal Williams (DET),RB44,Depth,7.96,7.275,9.751,4.255,7.783,0,5,38.913
NA,170,RB,D'Onta Foreman (CAR),RB45,Depth,9.648,0,0,0,9.648,-2,5,38.24
NA,184,RB,Mark Ingram II (NO),RB46,Depth,6.051,1.084,17.199,11.655,6.204,1,5,36.022
