Round,Rank,Pos,Player,PosRank,Role,Score2021,Score2020,Score2019,Score2018,Score,Situation,ValueFactor,AdjValue
2,11,TE,Travis Kelce (KC),TE1,TE1,18.218,24.541,18.999,20.154,19.974,0,5,99.87
2,17,TE,Mark Andrews (BAL),TE2,TE1,19.012,13.292,14.472,0,17.029,1,5,90.144
4,36,TE,George Kittle (SF),TE3,TE1,13.495,14.958,18.642,17.945,14.598,0,5,72.991
5,41,TE,Darren Waller (LV),TE4,TE1,13.115,18.187,14.644,0,14.61,-1,5,68.051
5,46,TE,Kyle Pitts (ATL),TE5,TE1,10.208,0,0,0,10.208,3,5,66.039
6,55,TE,Dalton Schultz (DAL),TE6,TE1,12.858,8.674,0,0,11.627,1,5,63.136
8,76,TE,Zach Ertz (ARI),TE7,TE1,10.575,6.278,15.255,18.648,10.372,1,5,56.862
9,85,TE,T.J. Hockenson (DET),TE8,TE1,12.97,11.782,4.575,0,11.773,-1,5,53.867
9,88,TE,Pat Freiermuth (PIT),TE9,TE1,9.514,0,0,0,9.514,1,5,52.572
9,89,TE,Dawson Knox (BUF),TE10,TE1,11.49,0,0,0,11.49,-1,5,52.449
12,114,TE,Hunter Henry (NE),TE11,TE2,9.893,11.074,13.316,0,10.564,-1,5,47.821
12,118,TE,Dallas Goedert (PHI),TE12,TE2,10.673,9.974,9.609,0,10.377,-1,5,46.886
13,123,TE,Noah Fant (SEA),TE13,TE2,9.64,10.131,5.099,0,9.291,0,5,46.456
13,126,TE,Tyler Higbee (LAR),TE14,TE2,9.842,6.864,10.126,0,9.088,0,5,45.441
14,140,TE,Hayden Hurst (CIN),TE15,TE2,0,9.121,0,0,7.48,1,5,42.398
15,142,TE,Mike Gesicki (MIA),TE16,TE2,9.684,9.658,7.502,0,9.447,-1,5,42.237
15,143,TE,Logan Thomas (WAS),TE17,TE2,10.044,11.358,0,0,10.43,-2,5,42.152
NA,158,TE,Cole Kmet (CHI),TE18,TE2,6.05,0,0,0,6.05,2,5,40.251
NA,169,TE,Gerald Everett (LAC),TE19,TE2,6.44,3.969,5.299,0,5.669,2,5,38.347
NA,180,TE,Evan Engram (JAC),TE20,TE2,5.134,9.06,13.432,12.363,7.307,0,5,36.535
NA,199,TE,Austin Hooper (TEN),TE21,Depth,4.28,8.509,16.394,9.833,6.826,0,5,34.13
NA,208,TE,Tyler Conklin (NYJ),TE22,Depth,7.64,0,0,0,7.64,-1,5,33.198
NA,211,TE,James O'Shaughnessy (CHI),TE23,Depth,6.315,0,8.07,0,6.566,0,5,32.831
NA,241,TE,O.J. Howard (BUF),TE24,Depth,0,7.712,3.741,12.303,5.98,0,5,29.902
NA,253,TE,Jonnu Smith (NE),TE25,Depth,0,7.948,0,0,6.518,-1,5,27.588
NA,273,TE,Albert Okwuegbunam (DEN),TE26,Depth,0,4.936,0,0,4.048,1,5,25.239
NA,279,TE,C.J. Uzomah (NYJ),TE27,Depth,5.982,0,0,4.598,5.875,-1,5,24.376
NA,284,TE,Dan Arnold (JAC),TE28,Depth,5.661,0,0,0,5.661,-1,5,23.306
NA,298,TE,Adam Trautman (NO),TE29,Depth,3.376,0,0,0,3.376,1,5,21.88
NA,304,TE,Ricky Seals-Jones (NYG),TE30,Depth,4.281,0,0,2.334,4.131,0,5,20.655
NA,307,TE,Jordan Akins (NYG),TE31,Depth,0,4.963,0,0,4.07,0,5,20.348
NA,316,TE,Rob Gronkowski (FA),TE32,Depth,15.582,8.759,0,9.729,13.362,-10,5,16.808
NA,378,TE,Jared Cook (FA),TE33,Depth,7.736,7.642,12.243,11.875,8.37,-10,5,-8.149
