Round,Rank,Pos,Player,PosRank,Role,Score2021,Score2020,Score2019,Score2018,Score,Situation,ValueFactor,AdjValue
1,1,WR,Cooper Kupp (LAR),WR1,WR1,29.537,13.678,16.672,14.906,23.554,0,5,117.771
1,2,RB,Christian McCaffrey (CAR),RB1,RB1,18.211,29.037,33.616,26.978,22.896,0,5,114.481
1,3,RB,Jonathan Taylor (IND),RB2,RB1,24.191,18.157,0,0,22.416,0,5,112.08
1,4,RB,Austin Ekeler (LAC),RB3,RB1,24.783,18.613,21.774,11.737,22.288,0,5,111.438
1,5,RB,Alvin Kamara (NO),RB4,RB1,21.271,27.065,20.157,26.299,22.859,-1,5,109.296
1,6,RB,Derrick Henry (TEN),RB5,RB1,24.323,22.428,21.197,10.7,22.856,-1,5,109.278
1,7,WR,Justin Jefferson (MIN),WR2,WR1,20.641,16.276,0,0,19.357,2,5,106.787
1,8,RB,Najee Harris (PIT),RB6,RB1,21.199,0,0,0,21.199,0,5,105.997
1,9,RB,Dalvin Cook (MIN),RB7,RB1,18.028,27.814,24.896,14.265,20.973,0,5,104.866
1,10,WR,Davante Adams (LV),WR3,WR1,22.34,25.806,19.981,26.618,23.185,-3,5,100.923
2,11,TE,Travis Kelce (KC),TE1,TE1,18.218,24.541,18.999,20.154,19.974,0,5,99.87
2,12,WR,Ja'Marr Chase (CIN),WR4,WR1,16.63,0,0,0,16.63,3,5,98.151
2,13,WR,Stefon Diggs (BUF),WR5,WR1,18.571,22.258,11.917,17.968,18.797,0,5,93.987
2,14,RB,D'Andre Swift (DET),RB8,RB1,18.066,15.924,0,0,17.436,1,5,92.182
2,15,RB,Aaron Jones (GB),RB9,RB1,15.933,20.287,19.741,14.335,17.322,1,5,91.611
2,16,RB,Joe Mixon (CIN),RB10,RB1,19.872,14.687,15.265,20.046,18.124,0,5,90.618
2,17,TE,Mark Andrews (BAL),TE2,TE1,19.012,13.292,14.472,0,17.029,1,5,90.144
2,18,RB,Josh Jacobs (LV),RB11,RB2,18.505,16.881,15.986,0,17.812,0,5,89.061
2,19,WR,Keenan Allen (LAC),WR6,WR1,18.074,18.196,15.704,16.539,17.791,0,5,88.954
2,20,RB,Leonard Fournette (TB),RB12,RB2,20.224,8.74,20.709,14.946,17.138,0,5,85.689
3,21,RB,Ezekiel Elliott (DAL),RB13,RB2,16.841,17.082,24.238,25.809,18.089,-1,5,85.446
3,22,RB,Nick Chubb (CLE),RB14,RB2,16.578,19.473,16.986,10.764,17.052,0,5,85.26
3,23,WR,Deebo Samuel (SF),WR7,WR1,22.92,8.831,11.217,0,17.981,-1,5,84.903
3,24,RB,James Conner (ARI),RB15,RB2,17.82,13.566,14.828,23.532,16.743,0,5,83.715
3,25,WR,Tyreek Hill (MIA),WR8,WR1,15.869,21.888,15.043,19.992,17.498,-1,5,82.488
3,26,RB,David Montgomery (CHI),RB16,RB2,15.303,20.348,10.837,0,16.16,0,5,80.8
3,27,WR,Diontae Johnson (PIT),WR9,WR1,19.42,15.144,7.739,0,17.065,-1,5,80.325
3,28,WR,Mike Evans (TB),WR10,WR1,16.005,14.393,15.685,18.653,15.702,0,5,78.512
3,29,WR,DJ Moore (CAR),WR11,WR2,13.752,13.992,15.805,7.012,13.68,2,5,78.401
3,30,RB,Saquon Barkley (NYG),RB17,RB2,9.731,0,20.513,29.112,12.461,3,5,77.303
