Round,Rank,Pos,Player,PosRank,Role,Score2021,Score2020,Score2019,Score2018,Score,Situation,ValueFactor,AdjValue
1,1,WR,Cooper Kupp (LAR),WR1,WR1,29.537,13.678,16.672,14.906,23.554,0,5,117.771
1,7,WR,Justin Jefferson (MIN),WR2,WR1,20.641,16.276,0,0,19.357,2,5,106.787
1,10,WR,Davante Adams (LV),WR3,WR1,22.34,25.806,19.981,26.618,23.185,-3,5,100.923
2,12,WR,Ja'Marr Chase (CIN),WR4,WR1,16.63,0,0,0,16.63,3,5,98.151
2,13,WR,Stefon Diggs (BUF),WR5,WR1,18.571,22.258,11.917,17.968,18.797,0,5,93.987
2,19,WR,Keenan Allen (LAC),WR6,WR1,18.074,18.196,15.704,16.539,17.791,0,5,88.954
3,23,WR,Deebo Samuel (SF),WR7,WR1,22.92,8.831,11.217,0,17.981,-1,5,84.903
3,25,WR,Tyreek Hill (MIA),WR8,WR1,15.869,21.888,15.043,19.992,17.498,-1,5,82.488
3,27,WR,Diontae Johnson (PIT),WR9,WR1,19.42,15.144,7.739,0,17.065,-1,5,80.325
3,28,WR,Mike Evans (TB),WR10,WR1,16.005,14.393,15.685,18.653,15.702,0,5,78.512
3,29,WR,DJ Moore (CAR),WR11,WR2,13.752,13.992,15.805,7.012,13.68,2,5,78.401
4,31,WR,Jaylen Waddle (MIA),WR12,WR2,15.269,0,0,0,15.269,0,5,76.344
4,33,WR,CeeDee Lamb (DAL),WR13,WR2,13.182,13.185,0,0,13.183,2,5,75.913
4,37,WR,A.J. Brown (PHI),WR14,WR2,11.842,18.149,11.406,0,13.455,1,5,72.277
4,38,WR,Tee Higgins (CIN),WR15,WR2,14.168,10.862,0,0,13.196,1,5,70.978
5,42,WR,Chris Godwin (TB),WR16,WR2,18.346,16.115,19.363,9.291,17.437,-4,5,67.186
5,44,WR,Brandin Cooks (HOU),WR17,WR2,14.325,13.87,5.192,15.019,13.332,0,5,66.662
5,45,WR,Michael Pittman Jr. (IND),WR18,WR2,12.896,4.047,0,0,10.293,3,5,66.466
5,48,WR,Marquise Brown (ARI),WR19,WR2,13.673,9.847,7.438,0,12.01,1,5,65.049
5,49,WR,Terry McLaurin (WAS),WR20,WR2,10.614,14.981,12.952,0,12.009,1,5,65.046
5,50,WR,Robert Woods (TEN),WR21,WR3,14.562,15.294,15.221,16.894,14.927,-2,5,64.636
6,52,WR,Darnell Mooney (CHI),WR22,WR3,12.363,7.25,0,0,10.859,2,5,64.297
6,53,WR,DK Metcalf (SEA),WR23,WR3,13.28,16.694,9.792,0,13.811,-1,5,64.054
6,58,WR,Adam Thielen (MIN),WR24,WR3,14.298,15.908,8.785,20.843,14.477,-2,5,62.384
6,60,WR,Tyler Lockett (SEA),WR25,WR3,13.499,13.54,12.825,13.887,13.461,-1,5,62.304
7,62,WR,Michael Thomas (NO),WR26,WR3,0,9.786,25.923,19.932,12.372,0,5,61.862
7,63,WR,Amari Cooper (CLE),WR27,WR3,11.209,14.406,14.005,11.175,12.286,0,5,61.43
7,68,WR,Gabriel Davis (BUF),WR28,WR3,4.791,5.19,0,0,4.908,7,5,59.542
7,69,WR,Amon-Ra St. Brown (DET),WR29,WR3,12.892,0,0,0,12.892,-1,5,59.46
8,71,WR,Allen Robinson II (LAR),WR30,WR3,4.126,16.804,16.362,10.039,8.815,3,5,59.074
8,73,WR,Mike Williams (LAC),WR31,WR4,13.857,7.592,9.161,8.565,11.556,0,5,57.781
8,79,WR,Hunter Renfrow (LV),WR32,WR4,15.574,5.167,7.361,0,11.971,-1,5,54.856
8,80,WR,Elijah Moore (NYJ),WR33,WR4,10.938,0,0,0,10.938,0,5,54.692
9,81,WR,Russell Gage (TB),WR34,WR4,11.328,9.43,2.52,0,9.901,1,5,54.505
9,82,WR,Brandon Aiyuk (SF),WR35,WR4,7.545,15.536,0,0,9.896,1,5,54.478
9,90,WR,DeAndre Hopkins (ARI),WR36,WR4,14.281,19.152,19.362,22.797,16.432,-6,5,52.162
10,91,WR,Julio Jones (TB),WR37,WR4,4.487,14.793,18.813,22.874,9.416,1,5,52.078
10,95,WR,Chase Claypool (PIT),WR38,WR4,9.638,11.375,0,0,10.149,0,5,50.743
10,96,WR,Allen Lazard (GB),WR39,WR4,7.263,6.573,0,0,7.06,3,5,50.301
10,97,WR,Tyler Boyd (CIN),WR40,WR4,9.942,11.941,12.938,15.577,11.024,-1,5,50.118
10,98,WR,JuJu Smith-Schuster (KC),WR41,Depth,2.848,14.746,6.615,19.116,7.013,3,5,50.064
10,100,WR,Treylon Burks (TEN),WR42,Depth,0,0,0,0,10,0,5,50
11,101,WR,Drake London (ATL),WR43,Depth,0,0,0,0,10,0,5,50
11,102,WR,George Pickens (PIT),WR44,Depth,0,0,0,0,10,0,5,50
11,105,WR,Jakobi Meyers (NE),WR45,Depth,10.898,7.703,0,0,9.958,0,5,49.792
11,109,WR,Courtland Sutton (DEN),WR46,Depth,5.706,0,14.013,5.814,6.82,3,5,49.101
12,112,WR,Jarvis Landry (NO),WR47,Depth,9.811,11.156,13.751,12.937,10.697,-1,5,48.487
12,116,WR,Jamison Crowder (BUF),WR48,Depth,6.446,12.947,10.707,6.436,8.497,1,5,47.483
13,122,WR,DeVante Parker (NE),WR49,Depth,8.633,10.366,14.598,1.529,9.307,0,5,46.537
13,124,WR,Marvin Jones Jr. (JAC),WR50,Depth,8.704,12.843,12.847,11.037,10.27,-1,5,46.349
13,125,WR,DJ Chark Jr. (DET),WR51,Depth,8.343,9.373,13.515,0,9.159,0,5,45.794
13,127,WR,Christian Kirk (JAC),WR52,Depth,10.792,8.247,11.14,8.319,10.067,-1,5,45.336
13,130,WR,Robbie Anderson (CAR),WR53,Depth,5.449,14.143,7.73,8.534,8.005,1,5,45.024
14,133,WR,DeVonta Smith (PHI),WR54,Depth,8.842,0,0,0,8.842,0,5,44.21
14,134,WR,Rashod Bateman (BAL),WR55,Depth,5.762,0,0,0,5.762,3,5,43.812
14,136,WR,Curtis Samuel (WAS),WR56,Depth,0,13.691,8.494,8.031,9.581,-1,5,42.905
15,141,WR,Jerry Jeudy (DEN),WR57,Depth,6.177,7.099,0,0,6.448,2,5,42.242
15,149,WR,Corey Davis (NYJ),WR58,Depth,9.23,11.786,3.875,9.133,9.329,-1,5,41.645
NA,160,WR,Garrett Wilson (NYJ),WR59,Depth,0,0,0,0,8,0,5,40
NA,168,WR,Michael Gallup (DAL),WR60,Depth,8.471,8.274,14.971,2.142,8.755,-1,5,38.777
NA,175,WR,K.J. Osborn (MIN),WR61,Depth,6.488,0,0,0,6.488,1,5,37.442
NA,179,WR,Van Jefferson (LAR),WR62,Depth,7.333,0,0,0,7.333,0,5,36.666
