Player,FPMD,NFLMD1,NFLMD2,NFLMD3
Cooper Kupp (LAR),1,1,1,1
Christian McCaffrey (CAR),1,1,1,1
Jonathan Taylor (IND),1,1,1,1
Austin Ekeler (LAC),1,1,1,1
Najee Harris (PIT),1,1,1,1
Alvin Kamara (NO),3,3,2,3
Derrick Henry (TEN),1,1,1,1
Davante Adams (LV),2,2,2,2
Dalvin Cook (MIN),1,1,1,1
Justin Jefferson (MIN),1,1,1,1
Travis Kelce (KC),2,2,1,2
Stefon Diggs (BUF),2,1,2,2
Ja'Marr Chase (CIN),1,2,2,2
Aaron Jones (GB),2,2,2,1
Joe Mixon (CIN),1,1,1,1
Deebo Samuel (SF),2,2,2,2
Josh Jacobs (LV),7,4,5,5
Keenan Allen (LAC),3,3,4,3
D'Andre Swift (DET),2,2,2,2
Leonard Fournette (TB),3,4,3,3
Ezekiel Elliott (DAL),3,3,2,3
Diontae Johnson (PIT),4,4,4,4
Nick Chubb (CLE),2,2,2,2
Mark Andrews (BAL),3,2,2,2
James Conner (ARI),4,5,5,5
Tyreek Hill (MIA),3,3,3,3
David Montgomery (CHI),5,3,3,3
Mike Evans (TB),3,4,3,3
Antonio Gibson (WAS),6,3,3,4
Jaylen Waddle (MIA),4,5,4,4
Javonte Williams (DEN),2,3,3,4
CeeDee Lamb (DAL),3,3,3,2
Breece Hall (NYJ),7,9,9,7
Travis Etienne Jr. (JAC),6,5,6,5
DJ Moore (CAR),3,6,6,6
George Kittle (SF),4,4,4,4
Chris Godwin (TB),5,6,5,6
Elijah Mitchell (SF),8,5,5,5
Darren Waller (LV),5,4,6,5
Kareem Hunt (CLE),9,8,10,8
Josh Allen (BUF),2,2,3,3
Brandin Cooks (HOU),6,5,5,6
Michael Pittman Jr. (IND),4,5,6,6
Kyle Pitts (ATL),3,3,4,4
Tee Higgins (CIN),4,4,4,4
Justin Herbert (LAC),4,4,4,3
Marquise Brown (ARI),5,11,10,9
Terry McLaurin (WAS),5,5,5,5
Robert Woods (TEN),9,8,7,7
DK Metcalf (SEA),4,4,4,4
Kyler Murray (ARI),6,5,4,5
Dalton Schultz (DAL),6,6,7,5
Lamar Jackson (BAL),6,6,6,6
Adam Thielen (MIN),8,7,7,7
Patrick Mahomes II (KC),4,3,3,4
Tyler Lockett (SEA),7,7,7,8
Saquon Barkley (NYG),2,2,3,2
A.J. Brown (PHI),4,4,4,3
DeAndre Hopkins (ARI),6,6,6,6
Michael Thomas (NO),7,8,NA,8
Clyde Edwards-Helaire (KC),8,6,6,8
Jalen Hurts (PHI),6,7,6,6
Tom Brady (TB),7,13,12,11
Aaron Rodgers (GB),13,10,7,7
Amon-Ra St. Brown (DET),7,12,12,7
Darnell Mooney (CHI),7,9,9,9
Damien Harris (NE),8,6,5,7
Joe Burrow (CIN),6,7,7,7
T.J. Hockenson (DET),11,7,7,7
Mike Williams (LAC),5,7,7,9
Matthew Stafford (LAR),13,10,7,11
Miles Sanders (PHI),9,8,10,8
Melvin Gordon III (DEN),10,11,11,10
Amari Cooper (CLE),5,6,5,4
Chase Claypool (PIT),10,10,10,10
Dak Prescott (DAL),7,11,11,11
Tyler Boyd (CIN),12,13,15,12
Trey Lance (SF),7,12,12,11
Hunter Renfrow (LV),8,5,10,8
Elijah Moore (NYJ),8,6,6,7
Russell Gage (TB),9,14,NA,NA
Brandon Aiyuk (SF),9,9,9,9
Kirk Cousins (MIN),NA,NA,14,14
James Robinson (JAC),12,10,11,10
Allen Robinson II (LAR),6,11,8,10
Russell Wilson (DEN),12,9,8,12
Devin Singletary (BUF),10,12,12,11
Cordarrelle Patterson (ATL),10,12,12,6
J.D. McKissic (WAS),NA,NA,15,14
Pat Freiermuth (PIT),NA,11,12,10
Dawson Knox (BUF),NA,11,11,8
Julio Jones (TB),NA,NA,NA,NA
Zach Ertz (ARI),12,7,7,10
AJ Dillon (GB),9,7,10,6
J.K. Dobbins (BAL),8,5,5,5
Chase Edmonds (MIA),10,13,11,10
Treylon Burks (TEN),9,14,13,12
Drake London (ATL),9,13,13,8
Garrett Wilson (NYJ),11,14,13,15
Jakobi Meyers (NE),12,10,NA,NA
Ryan Tannehill (TEN),NA,NA,14,NA
Jameis Winston (NO),NA,NA,NA,NA
Jarvis Landry (NO),NA,NA,NA,NA
Hunter Henry (NE),NA,15,14,14
Jamison Crowder (BUF),NA,NA,NA,NA
Rhamondre Stevenson (NE),11,13,15,13
Dallas Goedert (PHI),11,7,6,9
Darrell Henderson Jr. (LAR),13,12,12,10
DeVante Parker (NE),NA,14,13,13
Noah Fant (SEA),NA,NA,NA,NA
Marvin Jones Jr. (JAC),NA,12,NA,NA
DJ Chark Jr. (DET),10,12,12,12
Tyler Higbee (LAR),NA,NA,NA,NA
Christian Kirk (JAC),9,12,12,11
Tua Tagovailoa (MIA),NA,14,NA,NA
Derek Carr (LV),13,NA,NA,12
JuJu Smith-Schuster (KC),8,NA,15,11
Robbie Anderson (CAR),NA,NA,NA,NA
Ken Walker III (SEA),10,15,15,12
Rashaad Penny (SEA),10,6,8,6
Cam Akers (LAR),5,10,5,5
DeVonta Smith (PHI),8,10,10,9
Courtland Sutton (DEN),5,10,11,8
Rashod Bateman (BAL),8,12,15,9
Kenyan Drake (LV),NA,NA,NA,NA
Curtis Samuel (WAS),NA,NA,NA,NA
New Orleans Saints (NO),15,12,11,13
Evan McPherson (CIN),14,10,13,15
Hayden Hurst (CIN),NA,NA,NA,NA
Justin Tucker (BAL),14,8,8,9
Mike Gesicki (MIA),12,14,14,12
Logan Thomas (WAS),NA,15,14,NA
Indianapolis Colts (IND),14,8,8,8
Matt Ryan (IND),NA,NA,NA,NA
Matt Gay (LAR),15,NA,10,13
New England Patriots (NE),15,15,9,15
Tony Pollard (DAL),10,11,11,9
Corey Davis (NYJ),NA,14,13,NA
Dallas Cowboys (DAL),14,9,9,14
James White (NE),NA,NA,NA,NA
Deshaun Watson (CLE),NA,15,14,NA
Carson Wentz (WAS),NA,NA,NA,NA
Daniel Carlson (LV),15,14,9,14
Mitch Trubisky (PIT),NA,NA,NA,NA
Buffalo Bills (BUF),9,8,8,11
Allen Lazard (GB),10,11,NA,NA
Los Angeles Rams (LAR),14,9,9,13
Michael Carter (NYJ),11,10,10,9
Greg Zuerlein (NYJ),NA,NA,NA,NA
Harrison Butker (KC),15,9,9,13
Gabriel Davis (BUF),7,7,12,11
Darrel Williams (ARI),NA,NA,NA,NA
Jared Goff (DET),NA,NA,NA,NA
Jamaal Williams (DET),NA,NA,NA,NA
Miami Dolphins (MIA),NA,NA,11,NA
Gerald Everett (LAC),NA,NA,NA,NA
D'Onta Foreman (CAR),NA,NA,NA,NA
Daniel Jones (NYG),NA,NA,NA,NA
Nick Folk (NE),NA,11,10,15
Baker Mayfield (CAR),NA,NA,NA,NA
Tampa Bay Buccaneers (TB),11,8,8,11
K.J. Osborn (MIN),NA,NA,NA,NA
Jerry Jeudy (DEN),5,11,11,7
Gardner Minshew II (PHI),NA,NA,NA,NA
Van Jefferson (LAR),14,13,13,13
Tyler Bass (BUF),14,8,8,11
Evan Engram (JAC),NA,NA,15,NA
Rodrigo Blankenship (IND),NA,NA,NA,NA
Younghoe Koo (ATL),15,8,8,11
Mark Ingram II (NO),NA,NA,NA,NA
Chris Boswell (PIT),NA,NA,NA,NA
Trevor Lawrence (JAC),NA,NA,NA,NA
Mac Jones (NE),NA,NA,NA,NA
Cole Kmet (CHI),12,NA,NA,NA
Randall Cobb (GB),NA,NA,NA,NA
Robbie Gould (SF),NA,NA,NA,NA
Pittsburgh Steelers (PIT),NA,15,NA,NA
Raheem Mostert (MIA),14,14,14,15
Mike Davis (BAL),NA,NA,NA,NA
James Cook (BUF),12,NA,NA,14
Chris Olave (NO),11,NA,NA,12
Nyheim Hines (IND),13,NA,NA,10
Emmanuel Sanders (BUF),NA,NA,NA,NA
Dustin Hopkins (LAC),15,NA,NA,NA
Matt Prater (ARI),NA,9,9,15
